FRAMES (MILLIONS),TIME (S),TIME (STEV)
1,0.3435,0.006
5,1.6669,0.0045
10,3.277,0.00803
20,6.625,0.7024
40,16.1573,3.124
80,26.854,0.838
120,43.857,6.5084
3 ITERATIONS,,
