FRAMES (MILLIONS),GPU TIME (S),GPU TIME (STEV)
2,0.03031,0.002
4,0.05208,0.004
8,0.08882,0.0056
16,0.17612,0.0108
32,0.37699,0.01587
64,0.70194,0.01848
128,1.36778,0.06145
256,3.09965,0.21796
512,17.9707,10.5061
NVIDIA GeForce RTX 4070,,
time window = 2.5s @ 30 FPS,,
3 ITERATIONS,,
