N FRAMES (win=30),MEAN (S),SD (S),FRAMES/S
**1k**,0.0006,0.0001,**1.8m**
**10k**,0.0006,0.0001,**16.3m**
**100k**,0.0013,0.0001,**74.5m**
**1m**,0.0079,0.0005,**126.6m**
**10m**,0.0720,0.0012,**138.9m**
**100m**,0.7497,0.0212,**133.4m**
**300m**,2.5143,0.1128,**119.3m**
NVIDIA GeForce RTX 4070 (12GB),,,
window=30 frames (1.0s / 30fps); mean +/- SD of 3 runs,,,
(n x 2) float64 input binds memory (~300m ceiling; 500m OOMs); ~1061x vs CPU at 1m,,,
