IMAGE SIZE,FPS,STDEV (FPS)
320x256,1799.3,105.4
640x512,1691.2,35.8
1280x1024,730.7,1.9
1920x1536,346.7,0.4
NVIDIA GeForce RTX 4070,,
NVENC h264; 1802 frames; 3 runs,,
