OBSERVATIONS (THOUSANDS),TIME (S),STDEV (S)
1.8,1.205733333,0.041036732
3.6,2.376,0.12985592
5.4,3.556166667,0.131753267
7.2,4.624466667,0.116711196
9,6.3948,0.798469906
18,12.24,0.781892576
27,19.2576,0.257472387
36,23.74796667,0.237322151
REPEATS = 3,,
RESOLUTION: 670 x 530,,
