N FRAMES (win=30),MEAN (S),SD (S),FRAMES/S
**1k**,0.0012,0.0003,**0.8m**
**10k**,0.0011,0.0001,**9.2m**
**100k**,0.0017,0.0001,**60.0m**
**1m**,0.0105,0.0007,**95.0m**
**10m**,0.1184,0.0140,**84.5m**
**100m**,0.9274,0.0041,**107.8m**
**500m**,5.2044,0.5351,**96.1m**
NVIDIA GeForce RTX 4070,,,
window=30 frames (1.0s / 30fps); 1 window; mean +/- SD of 3 runs; float64,,,
z-score vs the last trailing window covering each frame; ~11x vs CPU at 1m,,,
