FRAMES (MILLIONS),TIME (S),TIME (STEV)
1,0.03,3.00E-03
10,0.312,0.032
20,0.648,0.0302
40,1.283,0.709
80,2.722,0.19358
160,5.769,0.58872
ITERATIONS:3,,
Intel(R) Core(TM) i9-14900KF,,
