FRAMES (MILLIONS),GPU (s),GPU (STDEV)
2,0.0219,0
4,0.0387,0.002
8,0.0809,0.015
16,0.1304,0.008
32,0.3135,0.043
64,0.593,0.054
128,1.2028,0.156
256,2.3236,0.101
512,4.9477,0.538
1024,10.266,1.351
NVIDIA GeForce RTX 4070,,
BATCH_SIZE: 3e+7,,
REPEATS 5,,
