FRAMES (MILLIONS),TIME (S),TIME (STEV)
1,0.00856,3.80E-04
5,0.03462,0.00238
10,0.06935,0.00038
20,0.13041,0.00238
40,0.2574,0.0026
80,0.5196,0.0038
120,0.79483,0.01722
160,1.05319,0.008966
240,1.70739,0.1392068
ITERATIONS:3,,
Intel(R) Core(TM) i9-14900KF,,
