N FRAMES,MEAN (S),SD (S),FRAMES/S
**1k**,0.0011,0.0002,**0.9m**
**10k**,0.0012,0.0003,**8.0m**
**100k**,0.0033,0.0003,**30.4m**
**1m**,0.0288,0.0031,**34.7m**
**10m**,0.2461,0.0085,**40.6m**
**100m**,2.2989,0.0337,**43.5m**
**500m**,11.8696,0.4545,**42.1m**
NVIDIA GeForce RTX 4070,,,
max_lag=0.5s / window=1.0s / fps=30,,,
mean +/- SD of 3 runs; float32 storage,,,
