N FRAMES,MEAN (S),SD (S),FRAMES/S
**1k**,0.0008,0.0002,**1.3m**
**10k**,0.0008,0.0002,**12.2m**
**100k**,0.0013,0.0002,**76.5m**
**1m**,0.0068,0.0004,**147.7m**
**10m**,0.0552,0.0003,**181.1m**
**100m**,0.5605,0.0546,**178.4m**
**500m**,2.8866,0.2679,**173.2m**
NVIDIA GeForce RTX 4070 (12GB),,,
1 window (1.0s) / sr=30 / normalize / lag=0.2s,,,
mean +/- SD of 3 runs; ~70x vs CPU jit; float32 storage,,,
