N FRAMES,MEAN (S),SD (S),FRAMES/S
**1k**,0.0005,0.0001,**2.0m**
**10k**,0.0008,0.0004,**12.4m**
**100k**,0.0021,0.0001,**48.4m**
**1m**,0.0162,0.0003,**61.8m**
**10m**,0.1683,0.0018,**59.4m**
**100m**,1.3993,0.1364,**71.5m**
NVIDIA GeForce RTX 4070 (12GB),,,
window=1.0s / fps=30; mean +/- SD of 3 runs,,,
float64 (n x 2) input + int32 (n x 4) output ~32 B/frame; ~300m ceiling (500m OOMs); ~590x vs CPU at 1m,,,
