N FRAMES (win=30),MEAN (S),SD (S),FRAMES/S
**1k**,0.0008,0.0001,**1.2m**
**10k**,0.0009,0.0001,**11.6m**
**100k**,0.0033,0.0002,**30.1m**
**1m**,0.0193,0.0007,**51.9m**
**10m**,0.1689,0.0014,**59.2m**
**100m**,1.6521,0.0050,**60.5m**
**500m**,8.6633,0.0426,**57.7m**
NVIDIA GeForce RTX 4070,,,
window=30 frames (1.0s / 30fps); 1 time-window; mean +/- SD of 3 runs,,,
two per-window medians (window + MAD); runtime grows with window (max 512); ~46x vs CPU at 1m,,,
