VIDEOS (COUNT),FRAMES (COUNT),TIME (S),STDEV(S)
**5**,**9010**,11.2562,0.569887814
**10**,**18020**,20.87785,0.145593286
**20**,**36040**,41.24536667,1.867777656
BATCH SIZE: 10,,,
IMGSZ: 256,,,
ORIGINAL SIZE: 1280x1024,,,
NVIDIA GeForce RTX 4070 (NVDECs: 1),,,
3 runs,,,
