FRAMES (MILLIONS),TIME (S)
2,0.003
4,0.016
8,0.012
16,0.049
32,0.053
64,0.099
128,0.211
256,0.495
512,1.031
NVIDIA GeForce RTX 4070,
time window = 1s / 10 FPS,
