VIDEO,ANIMAL 1,ANIMAL 2,ANIMAL 2 KEYPOINT,MEASUREMENT,VALUE
termites_test,Animal_5,Animal_2,None,INTERACTION BOUT MEAN (s),4.0
termites_test,Animal_5,Animal_2,Abdomen,INTERACTION BOUT MEAN (s),0.0333
termites_test,Animal_5,Animal_2,Head,INTERACTION BOUT MEAN (s),0.9333
termites_test,Animal_5,Animal_2,Tail,INTERACTION BOUT MEAN (s),0.1833
termites_test,Animal_5,Animal_2,Thorax,INTERACTION BOUT MEAN (s),0.3333
termites_test,Animal_5,Animal_4,None,INTERACTION BOUT MEAN (s),1.9667
termites_test,Animal_5,Animal_4,Head,INTERACTION BOUT MEAN (s),0.0667
termites_test,Animal_1,Animal_2,None,INTERACTION BOUT MEDIAN (s),1.0333
termites_test,Animal_1,Animal_3,None,INTERACTION BOUT MEDIAN (s),0.2333
termites_test,Animal_1,Animal_3,Tail,INTERACTION BOUT MEDIAN (s),1.9
termites_test,Animal_1,Animal_4,None,INTERACTION BOUT MEDIAN (s),0.4667
termites_test,Animal_1,Animal_4,Head,INTERACTION BOUT MEDIAN (s),0.8667
termites_test,Animal_1,Animal_4,Tail,INTERACTION BOUT MEDIAN (s),0.4
termites_test,Animal_2,Animal_1,None,INTERACTION BOUT MEDIAN (s),1.0333
termites_test,Animal_2,Animal_1,Abdomen,INTERACTION BOUT MEDIAN (s),0.0833
termites_test,Animal_2,Animal_1,Tail,INTERACTION BOUT MEDIAN (s),0.6
termites_test,Animal_2,Animal_5,None,INTERACTION BOUT MEDIAN (s),4.0
termites_test,Animal_2,Animal_5,Abdomen,INTERACTION BOUT MEDIAN (s),0.1
termites_test,Animal_2,Animal_5,Head,INTERACTION BOUT MEDIAN (s),0.9333
termites_test,Animal_2,Animal_5,Tail,INTERACTION BOUT MEDIAN (s),0.0333
termites_test,Animal_2,Animal_5,Thorax,INTERACTION BOUT MEDIAN (s),0.1333
termites_test,Animal_3,Animal_1,None,INTERACTION BOUT MEDIAN (s),0.2333
termites_test,Animal_3,Animal_4,None,INTERACTION BOUT MEDIAN (s),0.7
termites_test,Animal_3,Animal_4,Abdomen,INTERACTION BOUT MEDIAN (s),0.1
termites_test,Animal_3,Animal_4,Head,INTERACTION BOUT MEDIAN (s),0.35
termites_test,Animal_3,Animal_4,Tail,INTERACTION BOUT MEDIAN (s),2.2333
termites_test,Animal_3,Animal_4,Thorax,INTERACTION BOUT MEDIAN (s),0.2333
termites_test,Animal_4,Animal_1,None,INTERACTION BOUT MEDIAN (s),0.4667
termites_test,Animal_4,Animal_1,Head,INTERACTION BOUT MEDIAN (s),0.8667
termites_test,Animal_4,Animal_1,Tail,INTERACTION BOUT MEDIAN (s),0.5833
termites_test,Animal_4,Animal_3,None,INTERACTION BOUT MEDIAN (s),0.7
termites_test,Animal_4,Animal_3,Abdomen,INTERACTION BOUT MEDIAN (s),0.8333
termites_test,Animal_4,Animal_3,Head,INTERACTION BOUT MEDIAN (s),0.35
termites_test,Animal_4,Animal_3,Tail,INTERACTION BOUT MEDIAN (s),0.4333
termites_test,Animal_4,Animal_3,Thorax,INTERACTION BOUT MEDIAN (s),0.9333
termites_test,Animal_4,Animal_5,None,INTERACTION BOUT MEDIAN (s),1.9667
termites_test,Animal_4,Animal_5,Head,INTERACTION BOUT MEDIAN (s),0.0667
termites_test,Animal_5,Animal_2,None,INTERACTION BOUT MEDIAN (s),4.0
termites_test,Animal_5,Animal_2,Abdomen,INTERACTION BOUT MEDIAN (s),0.0333
termites_test,Animal_5,Animal_2,Head,INTERACTION BOUT MEDIAN (s),0.9333
termites_test,Animal_5,Animal_2,Tail,INTERACTION BOUT MEDIAN (s),0.2333
termites_test,Animal_5,Animal_2,Thorax,INTERACTION BOUT MEDIAN (s),0.3333
termites_test,Animal_5,Animal_4,None,INTERACTION BOUT MEDIAN (s),1.9667
termites_test,Animal_5,Animal_4,Head,INTERACTION BOUT MEDIAN (s),0.0667
termites_test,Animal_1,Animal_2,None,INTERACTION TIME (s),2.0667
termites_test,Animal_1,Animal_3,None,INTERACTION TIME (s),2.3
termites_test,Animal_1,Animal_3,Tail,INTERACTION TIME (s),1.9
termites_test,Animal_1,Animal_4,None,INTERACTION TIME (s),6.1667
termites_test,Animal_1,Animal_4,Head,INTERACTION TIME (s),0.8667
termites_test,Animal_1,Animal_4,Tail,INTERACTION TIME (s),0.4
termites_test,Animal_2,Animal_1,None,INTERACTION TIME (s),2.0667
termites_test,Animal_2,Animal_1,Abdomen,INTERACTION TIME (s),0.1667
termites_test,Animal_2,Animal_1,Tail,INTERACTION TIME (s),1.2
termites_test,Animal_2,Animal_5,None,INTERACTION TIME (s),4.0
termites_test,Animal_2,Animal_5,Abdomen,INTERACTION TIME (s),0.1
termites_test,Animal_2,Animal_5,Head,INTERACTION TIME (s),1.8667
termites_test,Animal_2,Animal_5,Tail,INTERACTION TIME (s),0.0333
termites_test,Animal_2,Animal_5,Thorax,INTERACTION TIME (s),1.5667
termites_test,Animal_3,Animal_1,None,INTERACTION TIME (s),2.3
termites_test,Animal_3,Animal_4,None,INTERACTION TIME (s),10.8333
termites_test,Animal_3,Animal_4,Abdomen,INTERACTION TIME (s),1.7333
termites_test,Animal_3,Animal_4,Head,INTERACTION TIME (s),0.7
termites_test,Animal_3,Animal_4,Tail,INTERACTION TIME (s),4.4667
termites_test,Animal_3,Animal_4,Thorax,INTERACTION TIME (s),0.6667
termites_test,Animal_4,Animal_1,None,INTERACTION TIME (s),6.1667
termites_test,Animal_4,Animal_1,Head,INTERACTION TIME (s),0.8667
