,VIDEO,ANIMAL,BODY-PART,SHAPE NAME,START TIME,END TIME,START FRAME,END FRAME,DURATION (S)
286,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,227.8333333,243,6835,7289,15.16666667
287,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,253.4,254.7,7602,7640,1.3
288,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,254.7666667,254.8333333,7643,7644,0.066666667
289,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,255,255.0333333,7650,7650,0.033333333
290,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,255.4,255.4333333,7662,7662,0.033333333
291,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,255.4666667,255.5,7664,7664,0.033333333
292,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,255.5333333,263.1,7666,7892,7.566666667
293,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,263.3666667,263.4333333,7901,7902,0.066666667
294,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,264.4666667,264.7,7934,7940,0.233333333
295,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,284.2333333,284.3666667,8527,8530,0.133333333
296,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,288.9,289.0333333,8667,8670,0.133333333
297,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,302.5333333,303.4333333,9076,9102,0.9
298,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,303.5333333,306.1666667,9106,9184,2.633333333
299,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,306.3666667,306.6,9191,9197,0.233333333
300,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,306.9666667,307.1,9209,9212,0.133333333
301,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,307.2,307.2333333,9216,9216,0.033333333
302,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,307.3,307.3666667,9219,9220,0.066666667
303,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,307.5333333,307.6666667,9226,9229,0.133333333
304,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,308.3333333,308.4666667,9250,9253,0.133333333
305,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,308.5333333,308.6,9256,9257,0.066666667
306,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,308.8666667,308.9333333,9266,9267,0.066666667
307,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,309,309.0666667,9270,9271,0.066666667
308,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,309.9666667,318.0666667,9299,9541,8.1
309,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,319.8333333,320.2333333,9595,9606,0.4
310,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,320.7,321.5666667,9621,9646,0.866666667
311,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,321.6333333,321.8,9649,9653,0.166666667
312,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,322.0666667,351.8,9662,10553,29.73333333
313,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,354.6333333,508.2666667,10639,15247,153.6333333
314,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,508.3,508.4333333,15249,15252,0.133333333
315,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,510.7,510.9333333,15321,15327,0.233333333
316,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,511.2333333,511.3333333,15337,15339,0.1
317,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,511.7666667,512.0333333,15353,15360,0.266666667
318,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,512.1333333,512.1666667,15364,15364,0.033333333
319,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,512.7,512.9666667,15381,15388,0.266666667
320,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,513.3,513.5666667,15399,15406,0.266666667
321,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,513.9,514,15417,15419,0.1
322,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,519.6,519.7333333,15588,15591,0.133333333
323,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,521.4333333,521.4666667,15643,15643,0.033333333
324,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,521.8666667,522.1666667,15656,15664,0.3
325,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,522.2,522.3,15666,15668,0.1
326,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,522.4,522.6333333,15672,15678,0.233333333
327,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,522.7333333,522.8666667,15682,15685,0.133333333
328,501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,523.0333333,523.8666667,15691,15715,0.833333333
