ANIMAL,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1,Animal_1
SHAPE,My_circle,My_circle,My_circle,My_circle,My_circle,My_circle,My_circle,My_polygon,My_polygon,My_polygon,My_polygon,My_polygon,My_polygon,My_polygon,My_rectangle,My_rectangle,My_rectangle,My_rectangle,My_rectangle,My_rectangle,My_rectangle
MEASUREMENT,AVERAGE ROI VELOCITY (CM/S),FIRST ROI ENTRY TIME (S),LAST ROI ENTRY TIME (S),MEAN ROI BOUT TIME (S),ROI ENTRIES (COUNTS),TOTAL ROI MOVEMENT (CM),TOTAL ROI TIME (S),AVERAGE ROI VELOCITY (CM/S),FIRST ROI ENTRY TIME (S),LAST ROI ENTRY TIME (S),MEAN ROI BOUT TIME (S),ROI ENTRIES (COUNTS),TOTAL ROI MOVEMENT (CM),TOTAL ROI TIME (S),AVERAGE ROI VELOCITY (CM/S),FIRST ROI ENTRY TIME (S),LAST ROI ENTRY TIME (S),MEAN ROI BOUT TIME (S),ROI ENTRIES (COUNTS),TOTAL ROI MOVEMENT (CM),TOTAL ROI TIME (S)
VIDEO,,,,,,,,,,,,,,,,,,,,,
501_MA142_Gi_CNO_0521,8.566301668828677,182.63333333333333,890.5666666666667,0.6791666666666667,8.0,27.101303497246754,5.433333333333334,1.4993051532052022,12.3,1175.1666666666667,2.9958525345622116,217.0,685.1131662359611,650.0999999999999,3.0065244889923157,319.43333333333334,934.1666666666666,0.6266666666666667,5.0,9.288943218045878,3.1333333333333333
501_MA142_Gi_DCZ_0603,2.0899485991661173,740.0,740.9,0.3222222222222222,3.0,1.0847060323644584,0.9666666666666666,2.69933390843767,768.7666666666667,768.7666666666667,0.5333333333333333,1.0,1.349666954218835,0.5333333333333333,1.5154818435294732,18.233333333333334,1233.6666666666667,3.5838435374149658,196.0,991.9277908015109,702.4333333333333
501_MA142_Gi_Saline_0513,4.854212669330298,90.16666666666667,1180.0666666666666,2.074324324324324,74.0,535.5049886690614,153.5,2.561499825734031,61.2,1205.4666666666667,1.323076923076923,91.0,222.31641440725122,120.39999999999999,4.392221836979373,86.83333333333333,1054.5666666666666,1.4411522633744855,81.0,320.98740248810486,116.73333333333333
502_MA141_Gi_CNO_0516,2.3547628480901994,234.73333333333332,915.7,1.5517241379310345,29.0,66.75887823067747,45.0,1.5984811365349,16.233333333333334,1204.3333333333333,1.93015873015873,21.0,53.883061778681196,40.53333333333333,2.2840207622343187,66.53333333333333,878.4666666666667,0.5632478632478632,39.0,38.8122326079214,21.96666666666667
502_MA141_Gi_Saline_0513,2.5052616114008512,2.2666666666666666,1186.4666666666667,4.537275985663083,93.0,607.9799998777803,421.9666666666667,5.006462571999267,301.46666666666664,886.0333333333333,0.2833333333333333,2.0,2.267297920883691,0.5666666666666667,3.6528920425210396,1.5333333333333334,863.4333333333333,6.985185185185185,9.0,80.9510780161885,62.86666666666667
502_MA141_Gi_Saline_0515,2.1834523158308397,120.3,1080.3,4.979166666666667,8.0,74.40108776267157,39.833333333333336,1.3538618442664643,0.0,1207.0,3.281326352530541,191.0,736.6198770004565,626.7333333333333,1.4344789476395035,1069.8333333333333,1076.0,1.7444444444444445,3.0,7.398709526054466,5.233333333333333
502_MA141_Gi_Saline_0517,3.1709406299035727,386.43333333333334,449.6333333333333,0.3466666666666667,5.0,7.122901974264826,1.7333333333333334,1.6929197164521508,257.8,1202.0,0.5807017543859649,19.0,11.550270465441743,11.033333333333333,3.106126507024806,289.0,311.76666666666665,2.1083333333333334,4.0,23.705056578063058,8.433333333333334
503_MA109_Gi_CNO_0514,5.719425425355874,8.0,1062.1666666666667,1.27,10.0,68.23218563191377,12.700000000000001,1.4242363455146176,23.666666666666668,1191.2,4.774945533769063,153.0,535.7206139179194,730.5666666666667,3.5867883136839285,2.3666666666666667,1084.3333333333333,4.890476190476191,7.0,70.07863274677703,34.233333333333334
503_MA109_Gi_CNO_0516,2.3288502023684012,10.866666666666667,1134.8,6.1455555555555526,30.0,328.44860058466173,184.3666666666666,1.751236625612455,275.3333333333333,958.4,1.19375,32.0,51.110049237899865,38.2,2.203629268738119,3.066666666666667,713.0,6.283333333333333,18.0,162.57302555410723,113.1
503_MA109_Gi_CNO_0521,1.5209411367723409,230.13333333333333,913.9333333333333,3.038461538461538,39.0,205.63949456035627,118.49999999999997,1.6248262633008965,206.26666666666668,1101.4333333333334,0.7598039215686275,34.0,41.990923616247386,25.833333333333336,2.8419710951690287,2.033333333333333,1178.9666666666667,10.497222222222222,24.0,311.33569270123695,251.93333333333334
503_MA109_Gi_DCZ_0603,None,None,None,None,0.0,0.0,0.0,1.3507124472691312,429.6666666666667,483.5,0.3,6.0,1.4255714914090936,1.7999999999999998,1.58406378310826,18.8,1051.5,10.046666666666667,40.0,496.3769712844057,401.8666666666667
503_MA109_Gi_Saline_0513,3.6401211843535983,225.86666666666667,1108.5333333333333,1.4391304347826086,69.0,314.1855409235183,99.3,1.972690974146387,6.5,1143.9,2.773049645390071,47.0,154.36302643864295,130.33333333333334,3.3192616612695582,102.93333333333334,1138.5666666666666,1.4902777777777778,24.0,82.64230167257665,35.766666666666666
