,Ear_left_x,Ear_left_y,Ear_left_p,Ear_right_x,Ear_right_y,Ear_right_p,Nose_x,Nose_y,Nose_p,Center_x,Center_y,Center_p,Lat_left_x,Lat_left_y,Lat_left_p,Lat_right_x,Lat_right_y,Lat_right_p,Tail_base_x,Tail_base_y,Tail_base_p,Tail_end_x,Tail_end_y,Tail_end_p,MY_CUE_LIGHT,MY_CUE_LIGHT_INTENSITY
746,722.26904,225.27975,0,719.213,216.04094,0,700.0698,178.52628,0,693.4127,182.61267,0,697.46606,177.95392,0,690.3362,195.58656,0,674.6418,189.65175,0,413.59225,254.04106,0,1,133.9710754
747,750.559,276.29074,0,748.6626,257.79083,0,729.6693,214.45744,0,728.9204,223.13507,0,733.04474,220.91447,0,722.0977,233.772,0,714.14594,226.55716,0,451.55954,283.75552,0,1,133.994237
748,705.796,328.65,0,794.5224,309.0258,0,687.88776,262.6135,0,691.45526,273.9425,0,720.18756,266.2742,0,700.50165,281.64093,0,704.04834,268.42795,0,446.67294,321.17502,0,1,133.920898
749,644.9767,379.32532,0,770.2918,353.56647,0,628.6742,312.43756,0,635.8628,326.05707,0,690.78046,311.38983,0,663.7048,331.48828,0,678.76385,310.55606,0,435.3766,357.87692,0,1,133.920898
750,611.93445,419.35388,0,752.745,394.54156,0,600.3084,354.76358,0,613.08765,373.7569,0,674.99115,358.7251,0,645.04675,378.4668,0,663.1127,353.79886,0,434.5122,397.36533,0,1,134.0090827
751,573.92236,459.8246,0,723.4464,431.7593,0,564.1275,400.50488,0,576.5618,412.9912,0,644.3969,396.69116,0,610.9517,416.1614,0,626.52893,383.7726,0,400.40317,429.07715,0,1,134.0090827
752,530.3677,490.14023,0,684.9226,461.11615,0,520.7703,437.85382,0,530.9605,441.86377,0,603.2885,423.5526,0,561.9718,444.0381,0,575.96954,401.73813,0,417.45255,423.6375,0,1,134.0055785
753,482.2959,499.4105,0,633.6107,468.85437,0,478.20392,467.43536,0,481.79898,459.71017,0,554.07684,438.82388,0,516.27576,459.77985,0,529.04895,419.46927,0,430.61063,414.87247,0,1,134.0440222
754,447.59875,500.7284,0,587.68677,469.74146,0,435.41403,484.12943,0,440.28043,469.2921,0,511.25897,447.17548,0,471.13745,469.2631,0,483.14047,421.5641,0,440.28946,403.3579,0,1,133.9341892
755,428.93915,487.51273,0,554.6304,455.31653,0,414.67297,473.68164,0,414.20044,449.80283,0,482.11124,428.17773,0,442.44348,456.1357,0,451.12164,399.20065,0,411.99667,401.41174,0,1,134.073247
756,421.3922,473.5235,0,533.1692,449.99872,0,406.3993,469.65543,0,401.84988,436.8512,0,464.70007,415.994,0,427.0406,444.05545,0,430.23297,385.31885,0,388.74643,387.57434,0,1,133.9788139
757,476.25113,459.3309,0,495.3438,435.48138,0,458.48764,455.90878,0,449.70972,416.25015,0,485.73044,403.07028,0,454.12656,424.32043,0,448.43314,368.0418,0,408.25333,364.18295,0,1,133.9961386
758,524.34094,446.29987,0,518.8764,427.0565,0,503.77948,443.76532,0,490.6653,397.6479,0,504.96442,390.86404,0,476.82123,406.28873,0,463.4587,351.65808,0,426.25702,339.9585,0,1,133.9236704
759,525.147,440.4722,0,518.35046,419.08173,0,501.02612,438.99823,0,481.52866,384.31708,0,495.34567,376.0705,0,467.11935,392.08298,0,454.85556,336.17978,0,423.47382,313.504,0,1,133.7508748
760,524.8796,430.45374,0,515.9073,409.7315,0,499.8515,431.54202,0,476.12653,375.9433,0,489.31937,367.3571,0,461.87228,383.8725,0,449.53476,326.7021,0,441.93234,291.33838,0,1,133.7289367
761,525.9064,425.2836,0,515.7554,406.18732,0,500.87494,428.97134,0,474.28345,372.70425,0,486.87854,364.2175,0,459.81323,380.87228,0,446.32828,323.81802,0,435.81073,281.52884,0,1,133.7603348
762,529.414,426.7619,0,518.83154,408.04907,0,503.94656,430.98953,0,475.28867,375.59854,0,487.7229,366.9006,0,460.8703,384.23254,0,447.06522,326.6583,0,430.0095,277.0156,0,1,133.7542944
763,534.66534,431.25543,0,524.02246,413.2478,0,509.31235,435.48828,0,478.40198,381.45444,0,490.78473,372.02728,0,464.44296,390.54507,0,449.37366,334.12683,0,431.4059,284.10187,0,1,133.7726238
764,540.3934,435.70163,0,529.4645,417.92618,0,514.954,439.671,0,482.64328,387.34238,0,494.63156,377.20547,0,469.58298,397.2022,0,451.93497,342.58444,0,427.9013,298.5923,0,1,133.740384
765,547.10034,440.09448,0,535.4048,422.23074,0,521.29755,443.68817,0,487.74503,393.44257,0,499.5084,382.74637,0,475.18604,403.7656,0,455.50385,351.23926,0,427.90414,312.54062,0,1,133.7689799
766,554.4255,444.12674,0,542.1535,426.24536,0,528.5062,447.45444,0,493.56873,399.46228,0,505.1304,388.0616,0,481.49823,410.34616,0,459.4901,359.68967,0,427.1979,326.06543,0,1,133.7445383
767,562.4946,447.8621,0,549.84064,429.72305,0,536.7098,450.82404,0,500.12393,405.04657,0,511.5731,393.06528,0,488.7617,416.63943,0,464.17764,367.99518,0,425.0491,339.54492,0,1,133.8598552
768,572.4897,451.4633,0,558.1751,432.76038,0,545.74945,453.80475,0,507.08643,410.41742,0,518.3325,397.96912,0,496.73413,422.6598,0,468.93875,376.2743,0,421.4423,352.14874,0,1,133.8610591
769,582.86957,455.30807,0,567.23193,435.88205,0,555.4012,456.9186,0,514.4055,415.93546,0,525.1647,402.9661,0,504.85327,428.93295,0,473.94064,384.97995,0,419.27008,364.70844,0,1,133.9119587
770,592.7224,458.05582,0,576.0383,438.65857,0,564.7778,459.8664,0,521.95056,421.38412,0,532.3311,407.77576,0,513.4297,434.86234,0,479.95654,392.86966,0,423.1159,373.37845,0,1,133.9081722
771,601.1012,459.4338,0,583.5674,440.1649,0,573.03235,461.75998,0,528.9886,425.2077,0,538.70056,411.3102,0,521.13165,439.0202,0,484.06808,399.6064,0,426.35004,381.43716,0,1,133.8673589
772,608.7673,460.06717,0,590.7651,441.426,0,581.0464,463.3874,0,535.43274,428.53058,0,544.29785,414.5626,0,528.23376,442.88718,0,488.30957,405.37744,0,423.0071,382.09567,0,1,133.8549819
773,615.6526,460.5936,0,597.3666,442.76648,0,588.4899,464.9451,0,540.63556,431.6565,0,548.95746,417.41647,0,534.15234,446.4302,0,491.9017,410.5095,0,423.95026,382.36823,0,1,133.8549819
774,622.15015,460.50894,0,603.633,443.7854,0,595.54095,466.28595,0,545.6379,434.5566,0,553.0565,419.77838,0,540.20056,450.01434,0,495.15234,416.04102,0,422.28165,385.45276,0,1,133.8549819
775,629.158,459.5708,0,609.88135,444.45084,0,603.0719,467.2927,0,551.4617,437.91183,0,557.79846,422.86356,0,547.2888,453.87057,0,499.47916,423.04718,0,405.9004,394.9997,0,1,133.8696442
776,635.2506,457.91183,0,615.0877,444.44537,0,609.6561,467.74356,0,556.65094,440.95422,0,561.8955,425.67108,0,553.6372,457.37973,0,503.4453,429.93256,0,388.56732,405.86093,0,1,133.8696442
777,640.5877,455.62073,0,620.35504,443.91498,0,616.4435,467.60165,0,562.4252,443.76477,0,566.5833,428.27502,0,560.40375,460.42395,0,508.09375,435.7493,0,393.10452,419.9144,0,1,133.8696442
778,646.2263,453.13852,0,625.3662,443.1721,0,622.97394,467.24002,0,568.58563,446.09583,0,571.72546,430.5093,0,567.72723,462.8392,0,513.1918,440.73007,0,375.62756,430.4025,0,1,133.8696442
779,652.5148,450.6279,0,630.7311,442.18317,0,629.7293,466.68668,0,574.8874,447.95248,0,576.8044,432.1977,0,574.76624,464.5685,0,518.8669,445.23425,0,356.79172,439.49887,0,1,133.8696442
780,659.0189,448.51382,0,636.1763,441.31332,0,636.69464,466.1261,0,581.2999,449.42413,0,581.8878,433.5685,0,582.1952,465.96622,0,524.7994,448.91998,0,359.11877,448.08536,0,1,133.8696442
781,665.58856,447.55542,0,641.66473,440.72543,0,643.2387,465.65213,0,587.8425,450.7155,0,587.26434,434.75208,0,589.58856,466.9237,0,530.751,451.8181,0,365.08212,455.8296,0,1,133.7592132
782,672.4886,447.02222,0,647.6442,440.0733,0,650.0183,465.00656,0,594.6675,451.5995,0,593.0338,435.61572,0,597.03754,467.56024,0,536.78796,454.09268,0,376.0123,462.00415,0,1,128.5145971
783,678.53925,447.35632,0,653.1095,439.43695,0,656.1709,464.43695,0,600.9837,452.14154,0,598.4411,436.21234,0,604.06335,467.87418,0,542.297,455.43552,0,388.78378,466.40213,0,0,93.04777838
784,683.0861,448.24335,0,657.5255,438.89465,0,660.70306,463.8698,0,605.8504,451.89062,0,602.71277,435.94046,0,609.2497,467.6048,0,546.3638,455.22314,0,417.24695,465.61734,0,0,93.04777838
