,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Nose_1-Center_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Nose_1-Lat_left_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Nose_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Nose_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Center_1-Lat_left_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Center_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Center_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Lat_left_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Lat_left_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Nose_1-Center_1-Lat_left_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Nose_1-Center_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Nose_1-Center_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Nose_1-Lat_left_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Nose_1-Lat_left_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Nose_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Center_1-Lat_left_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Center_1-Lat_left_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Center_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Lat_left_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Nose_1-Center_1-Lat_left_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Nose_1-Center_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Nose_1-Center_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Nose_1-Lat_left_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Nose_1-Lat_left_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Nose_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Center_1-Lat_left_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Center_1-Lat_left_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Center_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Lat_left_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Nose_1-Center_1-Lat_left_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Nose_1-Center_1-Lat_left_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Nose_1-Center_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Nose_1-Lat_left_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Center_1-Lat_left_1-Lat_right_1-Tail_base_1,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Nose_2-Center_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Nose_2-Lat_left_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Nose_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Nose_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Center_2-Lat_left_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Center_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Center_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Lat_left_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Lat_left_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Nose_2-Center_2-Lat_left_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Nose_2-Center_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Nose_2-Center_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Nose_2-Lat_left_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Nose_2-Lat_left_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Nose_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Center_2-Lat_left_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Center_2-Lat_left_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Center_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Lat_left_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Nose_2-Center_2-Lat_left_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Nose_2-Center_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Nose_2-Center_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Nose_2-Lat_left_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Nose_2-Lat_left_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Nose_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Center_2-Lat_left_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Center_2-Lat_left_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Center_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Lat_left_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Nose_2-Center_2-Lat_left_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Nose_2-Center_2-Lat_left_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Nose_2-Center_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Nose_2-Lat_left_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Center_2-Lat_left_2-Lat_right_2-Tail_base_2
20,156.76,161.87,150.94,269.32,159.64,169.18,256.25,184.21,258.71,272.95,174.33,167.11,267.95,185.9,272.46,273.27,186.75,259.39,271.58,276.09,134.44,130.97,229.41,146.02,232.57,234.74,133.45,192.63,219.63,222.79,137.83,221.85,208.9,227.17,195.54,153.81,156.65,197.38,262.21,164.45,193.73,254.87,212.87,240.26,284.72,175.17,192.98,265.61,217.62,262.2,289.49,212.84,254.86,284.71,284.71,145.61,168.93,236.03,188.07,232.63,259.92,162.46,201.14,234.32,234.32,176.65,224.64,244.86,248.53,185.07
21,145.62,1103.32,153.79,264.82,1108.48,157.94,254.68,1104.17,1154.11,266.54,1103.16,155.25,263.84,1092,1153.12,268.18,1103.16,1153.12,265.55,1153.12,1070.52,120.42,224.68,1066.21,1116.15,229.02,1064.75,1110.38,211.03,1110.38,1037.93,1090.51,203.38,1090.27,1052.08,147.93,148.76,190.65,257.65,159.51,188.07,253.51,205.52,239.02,281.06,167.66,186.63,261.67,208.99,257.65,284.53,205.52,253.51,281.06,281.06,135.57,159.45,229.6,176.9,225.58,252.46,152.67,197.69,228.22,228.22,167.39,220.16,240.43,243.02,182.15
22,1109.76,1086.88,1097.13,1154.83,1109.76,1109.76,1154.83,1097.13,1154.83,1154.83,1109.76,156.43,259.59,1097.13,1154.83,264.07,1109.76,1154.83,261.61,1154.83,1047.55,1047.55,1093.79,1025.43,1092.66,1092.66,1011.58,1055.82,1057.83,1041.82,1047.55,1093.79,200.98,1092.66,1057.83,158.48,150.33,196.92,258.53,156.27,189.13,248.76,200.08,231.62,275.53,170.67,194.84,263.16,208.67,258.53,284.12,200.08,248.76,275.53,275.53,137.97,165.01,231.01,175.97,226.38,251.97,144.56,191.88,220.56,220.56,165.13,221.19,241,242.16,172.62
23,1116.55,1093.1,1100.72,1156.07,1116.55,1116.55,1156.07,1100.72,1156.07,1156.07,1116.55,161.13,252.82,1100.72,1156.07,258.36,1116.55,1156.07,256.89,1156.07,1051.35,1051.35,1092.71,1027.36,1092.5,1092.5,1011.58,1044.96,1052.95,1045.37,1051.35,1092.71,192.82,1092.5,1052.95,152.2,149.88,198.13,250.77,148.12,186.56,237.88,197.36,220.69,267.71,165.96,197.39,255.72,209.32,250.77,279.67,197.36,237.88,267.71,267.71,133.46,165.61,225.11,176.82,220.16,249.06,141.85,183.29,214.1,214.1,168.88,218.48,242.15,242.44,168.05
24,151.58,1129.2,162.23,249.48,1131.15,170.11,240.84,1129.2,1161.67,257.74,1120.67,160.09,246.03,1106.08,1158.22,254.76,1120.67,1158.22,254.29,1158.22,1091.26,128.35,207.25,1089.31,1121.78,215.99,1083.01,1113.22,202.43,1113.53,1052.15,1091.73,185.94,1091.48,1056.52,156.34,147.54,159.05,249.34,152.31,168.18,237.83,178.44,217.26,265.76,169.44,172.06,254.96,183.79,249.34,271.11,181.28,237.83,265.76,265.76,134.33,137.76,221.42,148.69,215.8,237.57,129.67,181.43,215.71,215.71,144.15,214.49,229.24,230.64,186.96
25,144.45,141.21,179.97,247.98,148.39,180.91,240.25,192.93,247.75,262.43,157.35,161.09,241.47,192.91,257.03,255.92,193.81,249.3,255.92,271.48,120.21,135.3,202.37,155.78,219.89,216.82,146.94,189.13,205.85,224.61,156.67,219.89,182.28,234.34,224.61,166.08,153.21,167.16,248.93,162.75,181.04,241.94,189.02,220.45,271.88,178.09,184.6,257.28,192.86,248.93,275.73,193.06,241.94,271.88,271.88,131.62,135.78,214.28,146.39,205.92,232.72,128.07,174.55,210.37,210.37,146.7,210.83,228.75,229.28,185.95
26,146.76,148,200.07,246.53,146.85,200.07,240.51,208.36,247.33,268.44,152.41,168.62,235.87,205.7,254.54,257.77,205.81,248.51,257.77,276.45,116.65,150.61,196.4,170.64,216.14,218.99,165.1,193.08,210.16,233.18,168.09,216.14,180.11,238.73,233.18,171.91,157.09,176.52,242.92,164.47,186.7,236.18,193.76,212.74,267.96,181.93,192.58,253.63,199.72,242.92,273.91,196.72,236.18,267.96,267.96,137.73,146.5,214.01,155.52,203.3,234.29,135.29,175.83,211.11,211.11,151.76,209.07,229.34,229.35,176.14
27,150.17,156.35,213.74,246.06,150.95,213.74,241.45,222.37,249.17,272.85,150.56,172.06,231.01,215.54,254.61,257.8,215.54,250,257.8,281.41,121.46,162.74,193.16,186.92,217.34,221.85,183.72,200.45,215.43,242.83,180.09,217.26,179.34,245.96,242.76,179.21,163.43,186.31,247.86,173.99,198.21,244,205.62,220.93,277.63,189.33,202.93,259.35,210.42,247.87,282.43,208.32,244,277.63,277.63,142.47,154.47,216.6,163.55,205.12,239.68,144.25,180.62,217.68,217.68,158.66,211.04,234.12,234.12,176.56
28,156.99,166.77,230.61,246.33,156.87,230.61,243.19,240.39,252.07,279.79,148.79,175.72,225.58,227.6,254.85,259.05,227.6,251.71,259.05,288.31,130.7,178.7,190.52,208.21,220.03,227.74,207.33,211.5,226.67,256,195.42,218.78,183.17,256.14,255.26,178.5,166.28,193.1,251.94,174.1,201.62,247.06,211.14,227.06,282.88,189.08,206.6,262.04,216.12,251.95,287.86,212.21,247.06,282.88,282.88,138.74,153.86,216.35,165.78,206.25,242.16,143.12,180.11,218.43,218.43,160.98,212.15,237.97,237.97,175.74
29,166.85,175.08,246.9,248.88,162.07,246.9,246.07,255.14,253.24,287.57,146.63,183.22,223.12,233.26,252.21,261.81,233.26,249.39,261.81,290.9,142.27,196.74,194.21,226.57,224.04,234.42,226.83,219.55,237.41,266.71,204.96,219.4,189.24,262.33,262.59,174.64,166.16,194.66,252.5,174.43,197.75,248.01,210.88,227.71,280.08,187.89,202.92,261.48,216.2,252.5,285.39,211,248.01,280.08,280.08,139.14,152.58,216.01,167.45,207.03,239.92,143.78,181.74,216.13,216.13,160.37,210.08,233.96,233.99,169.05
30,1124.24,1112.87,1114.43,1154.92,1124.24,1124.24,1154.92,1114.43,1154.92,1154.92,1124.24,138.14,226.15,1114.43,1154.92,235.36,1124.24,1154.92,235.28,1154.92,1060.47,1060.47,1092.64,1041.79,1091.58,1091.58,1036.74,1063.73,1068.92,1053.03,1060.47,1092.64,171.97,1091.58,1068.92,174.21,166.61,194.6,251.8,178.27,198.32,248.09,214.37,226.54,279.87,190.41,201.9,260.23,218.62,251.8,284.12,214.51,248.09,279.87,279.87,141.68,152.28,213.32,169.9,204.89,237.2,146.62,178.56,213.78,213.78,163.26,206.84,230,230.73,171.08
31,1125.64,1114.47,1115.61,1155.66,1125.64,1125.64,1155.66,1115.61,1155.66,1155.66,1125.64,148.01,227.69,1115.61,1155.66,238.52,1125.64,1155.66,238.46,1155.66,1055.98,1055.98,1089.41,1038.34,1089.37,1089.37,1026.26,1049.63,1059.69,1051.58,1055.98,1089.41,171.46,1089.37,1059.69,176.07,172.84,197.59,251.84,180.81,200.74,246.91,218,225.55,279.4,193.35,203.6,259.45,222.22,251.84,283.62,218.02,246.91,279.4,279.4,144.25,155.11,211.84,173.12,204.24,236.01,148.93,175.01,211.8,211.8,164.26,203.57,227.11,227.74,166.63
32,1125.81,1116.73,1117.39,1159.51,1125.81,1125.81,1159.51,1117.38,1159.51,1159.51,1125.81,144.93,232.76,1117.39,1159.51,245.79,1125.81,1159.51,245.79,1159.51,1054.32,1054.32,1091.3,1039.03,1091.09,1091.09,1030.67,1062.13,1067.65,1053.42,1054.32,1091.3,176.32,1091.09,1067.65,177.46,174.52,194.28,251.03,181.11,200.72,245.59,216.88,224.18,278.61,193.89,202.09,258.37,220.38,251.03,282.1,217.15,245.59,278.61,278.61,146.89,157.04,212.47,173.38,205.13,236.2,151.88,175.62,214.43,214.43,161.49,201.47,224.68,225.2,167.93
33,145.98,140.5,155.37,242.06,146.6,162.42,236.2,167.71,233.58,250.61,149.57,148.69,237.65,164.73,239.16,246.2,166.01,233.31,246.2,247.71,107.2,117.08,196.72,122.37,196.72,205.27,115.92,170.59,197.53,197.53,103.06,176.21,171.16,184.76,166.48,174.08,170.6,194.12,251.15,177.13,198.12,245.03,213.71,224.9,277.28,189.76,199.95,257.66,217.51,251.15,281.08,213.8,245.03,277.28,277.28,140.9,152.71,210.08,168.64,203.57,233.5,144.72,171.89,209.49,209.49,158.93,201.09,223.8,224.51,166.77
