,Distance (mm) Tail_base_1-Center_1,Distance (mm) Tail_base_1-Lat_left_1,Distance (mm) Tail_base_1-Lat_right_2,Distance (mm) Tail_base_1-Nose_2,Distance (mm) Tail_base_1-Lat_left_2,Distance (mm) Tail_base_1-Ear_left_2,Distance (mm) Tail_base_1-Ear_right_1,Distance (mm) Tail_base_1-Lat_right_1,Distance (mm) Tail_base_1-Tail_base_2,Distance (mm) Tail_base_1-Ear_right_2,Distance (mm) Tail_base_1-Ear_left_1,Distance (mm) Tail_base_1-Center_2,Distance (mm) Tail_base_1-Nose_1,Distance (mm) Center_1-Lat_left_1,Distance (mm) Center_1-Lat_right_2,Distance (mm) Center_1-Nose_2,Distance (mm) Center_1-Lat_left_2,Distance (mm) Center_1-Ear_left_2,Distance (mm) Center_1-Ear_right_1,Distance (mm) Center_1-Lat_right_1,Distance (mm) Center_1-Tail_base_2,Distance (mm) Center_1-Ear_right_2,Distance (mm) Center_1-Ear_left_1,Distance (mm) Center_1-Center_2,Distance (mm) Center_1-Nose_1,Distance (mm) Lat_left_1-Lat_right_2,Distance (mm) Lat_left_1-Nose_2,Distance (mm) Lat_left_1-Lat_left_2,Distance (mm) Lat_left_1-Ear_left_2,Distance (mm) Lat_left_1-Ear_right_1,Distance (mm) Lat_left_1-Lat_right_1,Distance (mm) Lat_left_1-Tail_base_2,Distance (mm) Lat_left_1-Ear_right_2,Distance (mm) Lat_left_1-Ear_left_1,Distance (mm) Lat_left_1-Center_2,Distance (mm) Lat_left_1-Nose_1,Distance (mm) Lat_right_2-Nose_2,Distance (mm) Lat_right_2-Lat_left_2,Distance (mm) Lat_right_2-Ear_left_2,Distance (mm) Lat_right_2-Ear_right_1,Distance (mm) Lat_right_2-Lat_right_1,Distance (mm) Lat_right_2-Tail_base_2,Distance (mm) Lat_right_2-Ear_right_2,Distance (mm) Lat_right_2-Ear_left_1,Distance (mm) Lat_right_2-Center_2,Distance (mm) Lat_right_2-Nose_1,Distance (mm) Nose_2-Lat_left_2,Distance (mm) Nose_2-Ear_left_2,Distance (mm) Nose_2-Ear_right_1,Distance (mm) Nose_2-Lat_right_1,Distance (mm) Nose_2-Tail_base_2,Distance (mm) Nose_2-Ear_right_2,Distance (mm) Nose_2-Ear_left_1,Distance (mm) Nose_2-Center_2,Distance (mm) Nose_2-Nose_1,Distance (mm) Lat_left_2-Ear_left_2,Distance (mm) Lat_left_2-Ear_right_1,Distance (mm) Lat_left_2-Lat_right_1,Distance (mm) Lat_left_2-Tail_base_2,Distance (mm) Lat_left_2-Ear_right_2,Distance (mm) Lat_left_2-Ear_left_1,Distance (mm) Lat_left_2-Center_2,Distance (mm) Lat_left_2-Nose_1,Distance (mm) Ear_left_2-Ear_right_1,Distance (mm) Ear_left_2-Lat_right_1,Distance (mm) Ear_left_2-Tail_base_2,Distance (mm) Ear_left_2-Ear_right_2,Distance (mm) Ear_left_2-Ear_left_1,Distance (mm) Ear_left_2-Center_2,Distance (mm) Ear_left_2-Nose_1,Distance (mm) Ear_right_1-Lat_right_1,Distance (mm) Ear_right_1-Tail_base_2,Distance (mm) Ear_right_1-Ear_right_2,Distance (mm) Ear_right_1-Ear_left_1,Distance (mm) Ear_right_1-Center_2,Distance (mm) Ear_right_1-Nose_1,Distance (mm) Lat_right_1-Tail_base_2,Distance (mm) Lat_right_1-Ear_right_2,Distance (mm) Lat_right_1-Ear_left_1,Distance (mm) Lat_right_1-Center_2,Distance (mm) Lat_right_1-Nose_1,Distance (mm) Tail_base_2-Ear_right_2,Distance (mm) Tail_base_2-Ear_left_1,Distance (mm) Tail_base_2-Center_2,Distance (mm) Tail_base_2-Nose_1,Distance (mm) Ear_right_2-Ear_left_1,Distance (mm) Ear_right_2-Center_2,Distance (mm) Ear_right_2-Nose_1,Distance (mm) Ear_left_1-Center_2,Distance (mm) Ear_left_1-Nose_1,Distance (mm) Center_2-Nose_1
44,54.37,75.48,262.3,239.99,211.7,217.51,112.02,69.03,226.37,244.67,132.06,233.79,91.14,21.28,224.17,195.04,173.79,168.17,60.41,35.48,199.9,203.39,87.52,196.54,39.18,213.97,181.26,164.4,151.77,44.39,41.54,195.91,191.69,76.59,187.16,24.99,51.71,50.71,92.15,171.31,194.83,67.94,27.55,137.44,28.64,188.98,47.97,41.46,136.94,170.97,98.89,25.29,108.3,47.05,156.94,69.61,122.83,144.12,56.79,36.56,87.85,22.79,139.44,107.91,149.7,126.35,64.69,87.19,80.15,129.02,50.46,160.38,148.13,36.16,145.36,21.25,165.75,176.11,63.24,166.59,34.85,77.36,124.4,52.44,172.27,115.9,25.1,166.82,110.59,51.61,162.19
45,506.63,519.37,429.67,472.15,431.96,500.47,501.74,474.82,374.13,448.05,468.04,425.21,501.83,27.15,224.27,195.04,173.79,159.68,60.41,35.48,202.93,203.39,100.78,196.54,39.18,211.67,178.01,162.54,139.28,41.11,45.15,198.5,189.06,87.86,185.24,23.42,50.43,51.01,95.15,171.15,195.1,68.61,26.56,124.1,29.22,188.93,47.97,46.87,136.94,170.97,99.46,25.29,95.63,47.05,156.94,69.06,122.83,144.12,58.28,36.56,74.69,22.79,139.44,99.43,141.38,127.33,68.6,69.35,81.82,120.54,50.46,163.22,148.13,48.5,145.36,21.25,168.8,176.11,75.39,166.59,34.85,77.49,116.12,52.75,175.22,102.61,25.1,166.82,97.38,64.88,162.19
46,506.63,513.82,442.88,472.15,431.96,499.6,501.74,474.82,373.82,462.39,461.86,425.21,501.83,35.92,210.19,195.04,173.79,152.11,60.41,35.48,206.2,158.99,107.31,196.54,39.18,183.68,165.24,150.19,119.24,28.35,43.06,190.39,131.02,83.01,172.85,12.68,32.52,40.41,80.96,155.51,182.33,73.46,53.11,102.9,24.22,173.95,47.97,52.39,136.94,170.97,99.16,37.83,90.63,47.05,156.94,69.45,122.83,144.12,59.17,31.74,67.3,22.79,139.44,91.86,133.97,128.54,37.79,61.54,84,112.96,50.46,166.02,102.73,56.26,145.36,21.25,172.15,133.57,80.52,166.59,34.85,90.75,110.9,52.23,178.24,53.06,48.71,121.75,90.05,72.14,162.19
47,506.63,510.44,446.99,472.15,431.96,497.03,501.74,474.82,375.2,462.39,450.92,425.21,501.83,43.2,210.15,195.04,173.79,144.91,60.41,35.48,208.77,158.99,117.07,196.54,39.18,174.52,156.54,141.89,103.7,19.67,44.04,185.04,122.38,86.6,164.51,9.41,29.05,42.14,81.85,154.9,182.76,74.93,52.23,94.55,27.58,173.59,47.97,57.01,136.94,170.97,97.35,37.83,85.27,47.05,156.94,68.75,122.83,144.12,58.7,31.74,56.72,22.79,139.44,84.75,126.52,127.25,37.1,57.7,84.94,105.79,50.46,167.82,102.73,68.42,145.36,21.25,174.87,133.57,88.23,166.59,34.85,90.4,99.84,50.31,180.37,47.49,48.71,121.75,79.49,83.3,162.19
48,506.63,501.36,450.16,472.15,431.96,491.72,501.74,474.82,376.28,462.39,444.57,425.21,501.83,55.11,208.65,195.04,173.79,137.17,60.41,35.48,209.91,158.99,125.44,196.54,39.18,157.52,141.8,126.65,82.48,5.33,45.94,171.28,107.27,80.63,149.26,15.94,25.67,42.34,81.73,153.01,181.63,76.13,50.28,86.64,29.48,171.88,47.97,61.47,136.94,170.97,96.11,37.83,80.33,47.05,156.94,66.44,122.83,144.12,58.21,31.74,48.47,22.79,139.44,77.35,117.87,123.96,35.73,51.41,84.42,98.18,50.46,168.51,102.73,77.46,145.36,21.25,176.12,133.57,95.8,166.59,34.85,89.94,91.47,49.06,181.25,43.12,48.71,121.75,71.15,92.18,162.19
49,29.95,87.98,234.66,223.97,200.39,162.11,90.33,56.9,232.73,187.43,156.87,223.01,69.09,58.09,206.59,195.04,173.79,132.45,60.41,35.48,209.96,158.99,130.38,196.54,39.18,152.15,138.65,123.65,74.65,2.84,47.62,168.56,104.12,82.44,146.24,18.92,23.16,41.49,83.18,150.75,179.78,76.93,48.03,80.37,30.06,169.71,47.97,65.9,136.94,170.97,95.64,37.83,76.38,47.05,156.94,68.56,122.83,144.12,57.87,31.74,43.52,22.79,139.44,72.62,113.33,125.33,38.6,50.2,87.27,93.46,50.46,168.44,102.73,82.01,145.36,21.25,176.19,133.57,100.7,166.59,34.85,89.61,87.18,48.59,181.23,39.61,48.71,121.75,66.2,97,162.19
50,26.18,85.46,230.83,220.87,198.07,151.66,86.57,55.24,230.99,184.52,157.05,220.74,65.36,59.28,205.53,195.04,173.79,125.52,60.41,35.48,209.57,158.99,132.87,196.54,39.18,149.85,137.4,122.47,66.7,2.33,48.34,167.14,102.89,83.58,145.06,20.11,22.52,40.67,86.61,149.69,178.74,76.83,46.96,76.96,29.75,168.65,47.97,71.52,136.94,170.97,95.53,37.83,74.27,47.05,156.94,69.63,122.83,144.12,57.62,31.74,41.02,22.79,139.44,66,105.95,125.02,41.37,46.87,89.46,86.64,50.46,168.06,102.73,84.24,145.36,21.25,175.8,133.57,103.21,166.59,34.85,89.35,84.87,48.48,180.85,37.77,48.71,121.75,63.7,99.38,162.19
51,24.24,84.29,228.83,219.15,196.79,146.99,84.52,54.44,230,182.91,155.3,219.48,63.34,60.11,205.06,195.04,173.79,122.75,60.41,35.48,209.33,158.99,132.47,196.54,39.18,148.39,136.44,121.43,62.89,2.71,48.63,165.88,101.88,82.63,144.01,20.96,22.45,40.17,89.52,149.24,178.25,76.47,46.52,77.43,29.4,168.19,47.97,74.71,136.94,170.97,95.39,37.83,75.55,47.05,156.94,72.67,122.83,144.12,57.41,31.74,41.57,22.79,139.44,63.05,103.74,127.55,44.64,49.88,92.65,83.8,50.46,167.81,102.73,84.36,145.36,21.25,175.56,133.57,102.57,166.59,34.85,89.14,84.21,48.34,180.6,39.18,48.71,121.75,64.19,99.25,162.19
52,24.33,84.6,227.45,219.25,196.87,142.35,84.61,54.51,230.35,183,150.32,219.56,63.43,60.31,203.58,195.04,173.79,118.02,60.41,35.48,209.57,158.99,127.44,196.54,39.18,146.53,136.16,121.09,57.98,3,48.62,165.61,101.57,77.76,143.67,21.18,21.06,39.44,91.6,147.67,176.88,76.52,44.96,81.08,29.65,166.66,47.97,78.97,136.94,170.97,94.9,37.83,79.8,47.05,156.94,74.71,122.83,144.12,57.14,31.74,46.65,22.79,139.44,58.44,98.95,128.65,47.79,47.82,95.22,79.11,50.46,167.9,102.73,79.91,145.36,21.25,175.84,133.57,97.49,166.59,34.85,88.88,88.27,47.85,180.76,42.92,48.71,121.75,69.26,94.45,162.19
53,25.41,85.64,224.13,220.22,197.61,139.81,85.76,54.98,231.91,183.91,151.26,220.29,64.56,60.24,199.35,195.04,173.79,114.43,60.41,35.48,210.57,158.99,127.68,196.54,39.18,142.29,136.25,121.19,54.73,2.92,48.61,166.34,101.67,78.18,143.78,21.1,18.49,36.87,89.24,143.33,172.81,76.01,40.63,77.23,29.7,162.36,47.97,81.74,136.94,170.97,93.75,37.83,79.8,47.05,156.94,74.86,122.83,144.12,56.71,31.74,46.45,22.79,139.44,55.26,94.73,127.97,49.26,45.57,95.88,75.68,50.46,168.5,102.73,80.23,145.36,21.25,176.93,133.57,97.68,166.59,34.85,88.44,88.44,46.72,181.52,42.96,48.71,121.75,69.04,94.74,162.19
54,26.08,86.3,224.79,220.8,198.04,141.94,86.46,55.25,234.33,184.45,154.08,220.71,65.25,60.22,199.5,195.04,173.79,115.93,60.41,35.48,212.56,158.99,130.11,196.54,39.18,142.67,136.36,121.42,56.37,2.56,48.81,167.94,101.83,80.84,144,21.07,19.09,36.6,87.94,143.56,172.89,73.36,40.85,75.19,29.15,162.55,47.97,80.16,136.94,170.97,91.85,37.83,78.18,47.05,156.94,73.45,122.83,144.12,56.24,31.74,44.09,22.79,139.44,56.83,96.02,127.12,47.68,46.22,94.39,77.21,50.46,169.78,102.73,82.6,145.36,21.25,179.09,133.57,100.03,166.59,34.85,87.91,87.28,44.93,183.11,41.65,48.71,121.75,66.65,97.18,162.19
55,25.16,85.67,217.87,219.95,197.34,143.3,85.52,54.71,236.99,183.65,156.28,220.02,64.32,60.52,193.14,195.04,173.79,118.16,60.41,35.48,215.54,158.99,133.01,196.54,39.18,134.98,136.01,121.04,58.03,2.8,48.9,169.72,101.46,83.18,143.62,21.37,9.46,39.21,78.46,136.08,167.79,80.61,34.29,70.16,37.7,155.58,47.97,78.53,136.94,170.97,89.77,37.83,76.03,47.05,156.94,73.76,122.83,144.12,56.3,31.74,41.22,22.79,139.44,58.72,98.79,128.84,47.03,49.53,94.34,79.3,50.46,171.89,102.73,85.3,145.36,21.25,182.28,133.57,102.89,166.59,34.85,87.76,86.64,43.21,185.6,39.91,48.71,121.75,63.76,100.01,162.19
56,22.7,84.06,216.24,184.07,193.73,145.31,82.95,53.31,239.25,181.45,157.71,218.14,61.78,61.39,193.74,161.4,172.36,122.6,60.41,35.48,219.11,158.99,136.25,196.54,39.18,134.21,100.69,119.32,61.34,4.83,48.49,170.52,99.95,84.09,141.84,22.38,35.8,46.29,75.25,136.75,168.3,78.41,34.84,67.44,37.12,156.22,52.97,40.11,102.8,138.79,101.67,16.36,51.5,60.41,123,74.58,123.1,141.84,53.78,37.33,36.13,25.04,138.94,63.08,103.17,128.27,43.7,50.31,91.53,83.72,50.46,174.61,102.73,88.11,145.36,21.25,186.08,133.57,106.22,166.59,34.85,88.24,86.54,42.21,188.69,37.53,48.71,121.75,60.46,103.07,162.19
57,19.11,82.19,211.36,182.52,190.84,146.09,79.11,51.14,239.46,163.26,158.65,215.17,57.99,63.15,192.28,163.42,172.36,127.1,60.41,35.48,221.7,144.38,140.1,196.54,39.18,130.2,100.46,115.64,63.97,9.1,47.73,168.6,84.9,83.7,138.36,24.7,33.02,43.79,70.45,135.56,166.57,75.34,51.15,61.63,35.1,154.89,51.82,38.13,104.94,140.59,99.69,35.89,49.67,58.53,125.08,72.59,123.1,141.84,54.87,32.67,32.34,25.04,138.94,67.53,107.55,126.83,41.43,50.95,88.67,88.2,50.46,176.52,91.81,91.45,145.36,21.25,188.87,116.5,110.16,166.59,34.85,87.54,85.12,41.47,190.9,13.83,53.55,108.96,56.55,106.7,162.19
58,14.79,80.06,211.43,180.6,187.04,144.12,74.35,48.37,236.39,159.17,159.29,211.28,53.28,65.47,196.66,166,172.36,129.83,60.41,35.48,222,144.38,144.58,196.54,39.18,131.87,100.55,111.84,64.94,13.33,47.72,164.54,81.35,84.02,134.73,27.75,35.88,43.05,74.83,140.45,170.37,68.62,54.27,59.81,31.06,159.56,50.38,39.48,107.67,142.87,96.09,36.42,47.95,56.11,127.74,73.61,123.1,141.84,54.34,32.67,27.94,25.04,138.94,70.01,110.8,126.66,43.1,54.54,88.82,90.84,50.46,176.37,91.81,95.54,145.36,21.25,189.31,116.5,114.68,166.59,34.85,87.01,80.94,40.07,190.94,12.74,53.55,108.96,52.04,111.02,162.19
59,10.53,77.31,207.99,180.34,182.81,144.15,69.16,45.51,231.5,154.63,159.02,206.94,48.16,67.57,197.96,170.64,172.36,135.07,60.41,35.48,220.97,144.38,148.6,196.54,39.18,130.92,103.07,109.31,68.66,15.64,48.78,160.77,78.88,85.35,132.23,30.15,32.43,42.92,73.59,141.9,171.49,65.45,55.25,56.98,29.91,160.94,48.23,41.36,112.57,147.03,90.4,37.99,47,51.99,132.52,73.88,123.1,141.84,52.92,32.67,23.99,25.04,138.94,75.06,116.42,124.57,44.67,57.97,87.66,96.01,50.46,175.11,91.81,99.3,145.36,21.25,188.37,116.5,118.7,166.59,34.85,85.58,75.98,38.42,189.77,13.33,53.55,108.96,48.01,114.95,162.19
60,7.72,74.7,204.16,179.72,178.69,145.4,64.09,43.14,226.93,150.23,157.25,202.71,43.18,69.64,198.75,174.81,172.36,141.45,60.41,35.48,220.18,144.38,151,196.54,39.18,129.54,105.17,107.04,73.51,17.6,50.12,157.66,76.62,85.44,129.97,32.38,29.32,43.3,70.82,142.71,172.25,64.3,55.99,55.64,29.81,161.75,47.92,41.58,116.81,150.98,87.16,40.63,47.82,49.65,136.73,74.08,123.1,141.84,52.01,32.67,21.62,25.04,138.94,81.31,123.05,122.68,46.71,60.82,86.09,102.34,50.46,174.24,91.81,101.61,145.36,21.25,187.61,116.5,121.08,166.59,34.85,84.67,72.87,37.53,188.93,14.36,53.55,108.96,45.61,117.33,162.19
61,7.92,73,204.25,176.57,175.25,141.73,59.7,41.67,224.35,146.5,154.56,199.15,38.91,71.87,202.73,175.92,172.36,142.45,60.41,35.48,220.74,144.38,151.8,196.54,39.18,131.25,104.09,104.62,73.63,19.75,51.64,155.86,74.21,83.86,127.55,34.78,34.24,44.99,77.99,146.87,175.99,62.51,59.6,58.08,29.11,165.83,50.55,43.87,117.63,152.48,89.68,43,50.46,51.66,137.7,78.87,123.1,141.84,52.62,32.67,20.79,25.04,138.94,82.11,125.19,127.6,51.83,66.49,90.21,103.28,50.46,174.83,91.81,102.45,145.36,21.25,188.16,116.5,121.82,166.59,34.85,85.28,72.62,38.09,189.51,15.03,53.55,108.96,44.84,118.16,162.19
62,9.84,72.53,201.58,172.27,172.57,141.43,56.23,40.91,223.24,143.59,152.17,196.37,35.59,74.4,203.14,175.08,172.36,145.74,60.41,35.48,222.03,144.38,152.08,196.54,39.18,129.05,100.92,101.93,75.11,22.2,53.46,154.56,71.52,81.52,124.85,37.46,37.7,45.13,76.98,147.31,176.37,63.25,59.96,58.28,29,166.26,53.76,39.48,116.44,152.22,94.47,44.55,53.01,55.21,136.68,79.31,123.1,141.84,54.01,32.67,20.46,25.04,138.94,85.37,128.57,128.68,53.22,68.06,89.74,106.56,50.46,176.2,91.81,102.81,145.36,21.25,189.4,116.5,122.06,166.59,34.85,86.67,73.63,39.37,190.85,15.44,53.55,108.96,44.58,118.48,162.19
63,11.17,71.97,198.3,166.02,169.08,136.87,52.66,38.76,220.78,140.02,149.75,192.85,31.98,77.34,203.57,172.72,172.36,144.85,60.41,35.48,222.94,144.38,153.18,196.54,39.18,126.38,96.11,98.86,72.74,25.02,55.71,152.5,68.42,79.49,121.76,40.55,42.21,46.75,78.82,147.48,177.03,65.86,60.72,58.51,30.96,166.54,58.37,36.96,113.59,150.76,101,46.37,55.74,60.79,134.08,81.95,123.1,141.84,55.01,32.67,19.39,25.04,138.94,84.44,128.29,132.38,55.56,70.73,92.46,105.67,50.46,177.18,91.81,103.83,145.36,21.25,190.29,116.5,123.17,166.59,34.85,87.67,73.65,40.3,191.8,15.94,53.55,108.96,43.47,119.55,162.19
64,12.14,70.76,189,161.8,163.93,128.78,48.82,33.76,215.22,135.07,147.61,187.77,27.77,80.82,199.23,172.72,172.36,140.51,60.41,35.48,222.69,144.38,156.21,196.54,39.18,118.41,92.88,95.33,67.76,28.29,58.53,148.78,64.84,78.79,118.19,44.13,33.94,49.63,77.38,142.19,173.75,74.14,58.43,56.02,37.72,161.69,58.37,43.51,113.59,150.76,100.73,46.37,54.57,60.79,134.08,87.24,123.1,141.84,54.73,32.67,16.54,25.04,138.94,80.12,125.22,138.04,59.65,75.82,98.54,101.37,50.46,176.9,91.81,106.57,145.36,21.25,190.04,116.5,126.27,166.59,34.85,87.39,70.86,40.03,191.54,17.41,53.55,108.96,40.4,122.45,162.19
65,12.99,71.98,185.72,159.73,160.02,122.85,47.75,27.86,209.8,131.67,149.07,184.06,26.51,84.91,198.7,172.72,172.36,135.32,60.41,35.48,221.64,144.38,161.49,196.54,39.18,113.87,88.97,91.44,63.01,31.89,62.17,143.83,60.8,80.07,114.18,48.21,30.35,53.96,82.18,141,174.02,78.72,59.83,56,43.44,160.81,58.37,51.88,113.59,150.76,99.33,46.37,54.2,60.79,134.08,94.29,123.1,141.84,53.42,32.67,11.43,25.04,138.94,75.17,121.82,144.36,65.55,85.07,106.44,96.36,50.46,175.69,91.81,111.7,145.36,21.25,189.07,116.5,131.48,166.59,34.85,86.08,64.74,38.62,190.39,21.56,53.55,108.96,35.15,127.7,162.19
66,15.19,75,182.73,159.18,157.27,124.82,48.83,22.01,205.29,129.59,153.29,181.53,27.95,89.22,196.76,172.72,172.36,135.87,60.41,35.48,220.48,144.38,168.37,196.54,39.18,107.75,84.88,87.35,63.28,35.81,66.05,138.35,56.54,83.2,109.97,52.51,27.54,54.78,82.31,138.83,172.42,78.97,58.92,55.13,45.5,158.75,58.37,55.02,113.59,150.76,97.06,46.37,56.72,60.79,134.08,98.54,123.1,141.84,51.66,32.67,4.16,25.04,138.94,76,123.44,146.29,69.89,95.21,110.41,97.08,50.46,174.16,91.81,118.95,145.36,21.25,188.04,116.5,138.01,166.59,34.85,84.29,55.78,36.38,189.01,28.62,53.55,108.96,28.65,134.83,162.19
67,19.26,77.49,178.9,158.22,154.35,129.62,118.74,16.62,201.01,127.29,156.02,178.77,29.75,93.63,194.23,172.72,172.36,139.04,136.04,35.48,219.58,144.38,174.17,196.54,39.18,101.52,81.75,81.86,70.79,43.72,69.02,131.31,51.39,84.36,104.68,57.57,24.31,55.25,82.96,66.3,170.23,78.44,57.5,58.23,47.41,156.11,58.37,59.44,53.8,150.76,94.26,46.37,62.13,60.79,134.08,105.35,38.46,141.84,49.91,32.67,3.94,25.04,138.94,78.04,128.24,149.93,77.19,109.23,116.39,100.65,107.69,88.3,9.02,41.28,61,101.19,187.35,116.5,143.25,166.59,34.85,82.45,47.05,33.69,187.78,35.97,53.55,108.96,24.6,141.2,162.19
68,24.33,81.72,175.58,155.27,150.04,136.79,114.78,11.52,194.98,123.41,156.36,174.56,123.34,102.14,193.86,172.72,172.36,147.21,136.04,35.48,218.03,144.38,179.13,196.54,146.76,94.83,76.06,72.19,79.92,34.28,75.72,119.63,42.3,80.36,95.28,54.37,22.53,58.28,78.19,67.52,170.4,79.48,58.83,65.09,51.11,85.45,58.37,58.42,53.8,150.76,91.56,46.37,67.49,60.79,78.31,107.87,38.46,141.84,47.81,32.67,10.33,25.04,32.74,82.86,136.65,148.25,81.2,118.11,117.23,114.41,107.69,86.25,9.02,47.42,61,31.61,185.98,116.5,147.72,166.59,114.1,80.26,39.31,31.03,71.96,42.41,53.55,34.26,22.94,35.12,57
69,29.93,83.09,171.33,150.58,144.47,140.52,109.4,7.22,186.31,118.07,155.44,169.03,117.65,108.94,194.38,172.72,172.36,154.23,136.04,35.48,215.01,144.38,183.94,196.54,146.76,89.65,70.75,65.39,83.95,27.4,82.03,109.88,35.46,78.75,88.4,48.8,22.68,59.49,74.62,68.45,171.07,78.89,59.8,67.9,52.25,86.59,58.37,56.49,53.8,150.76,89.37,46.37,70.58,60.79,78.31,108.49,38.46,141.84,44.82,32.67,15,25.04,32.74,85.63,143.38,145.04,83.28,122.64,116.38,116.98,107.69,83.24,9.02,52.51,61,31.61,182.99,116.5,152.35,166.59,114.1,77.3,31.27,28.67,69,47.42,53.55,34.26,21.06,39.16,57
70,35.99,82.94,165.62,144.96,138.14,139.27,103.19,7.13,176.44,111.89,153.79,162.72,111.32,115.34,194.59,172.72,172.36,156.86,136.04,35.48,211.49,144.38,188.66,196.54,146.76,84.78,66.85,58.62,87.4,20.77,87.74,99.68,29.08,76.65,81.73,42.87,23.21,58.66,75.8,68.18,171.12,76.44,59.48,67.53,51.19,85.97,58.37,57.31,53.8,150.76,87.27,46.37,72.66,60.79,78.31,110.16,38.46,141.84,41.48,32.67,19.11,25.04,32.74,87.95,146.21,143.89,85.42,127.09,117.52,119.23,107.69,79.87,9.02,57.06,61,31.61,179.48,116.5,157.01,166.59,114.1,74.03,23.08,26.48,65.49,51.74,53.55,34.26,19.14,43.63,57
71,42.4,78.04,158.49,139.09,131.51,134.7,96.69,11.7,169.8,105.42,151.98,156.11,104.7,117.27,193.68,172.72,172.36,155.53,136.04,35.48,211.49,144.38,193.54,196.54,146.76,82.94,66.83,56.16,90.94,18.77,89.15,97.09,27.38,78.97,79.52,39.91,22.77,57.17,79.78,66.85,170.05,75.28,58.13,67.54,49.92,84.48,58.37,60.82,53.8,150.76,87.27,46.37,75.44,60.79,78.31,113.2,38.46,141.84,41.48,32.67,23.78,25.04,32.74,90.23,145.67,147.25,87.96,133.75,120.9,121.62,107.69,79.87,9.02,61.92,61,31.61,179.48,116.5,161.8,166.59,114.1,74.03,18.14,26.48,65.49,56.45,53.55,34.26,18.67,48.21,57
72,49.17,79.01,149.53,137.92,124.62,130.48,89.96,17.86,470.72,98.73,151.57,149.24,97.8,125.79,190.82,172.2,172.36,155,136.04,35.48,506.63,144.38,200.11,196.54,146.76,75.95,79.85,46.96,94.95,11.57,96.65,447.04,20.59,76.23,70.76,31.14,39.28,56.46,77.87,64.6,167.33,475.76,55.96,70.78,50.55,83.03,82.97,38.86,71.26,154.81,508.23,65.66,104.98,85.83,99.51,113.45,38.46,141.84,425.45,32.67,30.32,25.04,32.74,90.29,145.24,537.52,88.08,139.13,121.26,121.7,107.69,448.71,9.02,68.58,61,31.61,474.82,116.5,168.24,166.59,114.1,449.67,404.99,425.21,417.18,62.98,53.55,34.26,20.33,54.42,57
73,56.45,79.66,139.97,132.44,117.24,124.07,82.79,24.91,466.68,91.6,151.51,141.88,90.42,134.27,187.2,172.2,172.36,150.62,136.04,35.48,506.63,144.38,207.51,196.54,146.76,70.55,80.22,38.18,100.33,8.99,104.46,441.01,16.07,74.7,62.34,23.94,34.61,57.83,78.36,62.92,164.24,478.86,54.51,77.77,53.83,83,82.97,44.43,71.26,154.81,508.23,65.66,109.8,85.83,99.51,116.79,38.46,141.84,425.45,32.67,37.61,25.04,32.74,91.99,141.96,540.02,90.36,148.82,125.55,123.55,107.69,448.71,9.02,75.96,61,31.61,474.82,116.5,175.53,166.59,114.1,449.67,401.66,425.21,417.18,70.21,53.55,34.26,24.04,61.58,57
74,64.82,77.57,132.39,125.6,108.56,117.38,74.21,33.52,462.93,83.06,146.54,133.2,81.94,141.12,187.01,172.2,172.36,147.41,136.04,35.48,506.63,144.38,211.12,196.54,146.76,69.26,80.4,31.26,103.81,11.73,110.99,437.05,14.74,71.21,55.64,20.16,32.2,60.23,78.92,64.11,164.47,481.54,55.84,81.84,56.53,84.92,82.97,47.44,71.26,154.81,508.23,65.66,111.61,85.83,99.51,118.09,38.46,141.84,425.45,32.67,40.95,25.04,32.74,92.28,139.3,540.66,91.01,152.97,127.5,123.89,107.69,448.71,9.02,79.36,61,31.61,474.82,116.5,179.15,166.59,114.1,449.67,400.83,425.21,417.18,73.48,53.55,34.26,25.8,65.2,57
75,75.32,73.16,118.51,110.94,97.57,109.52,119.41,44.62,459.43,72,148.64,122.16,71.56,147.84,182.31,163.91,172.36,143.43,194.6,35.48,506.63,144.38,223.95,196.54,146.76,66.34,81.48,24.52,107.99,47.39,117.57,434.11,15.63,77.38,49.02,19.31,34.92,62.45,76.74,74.46,160.5,485.43,54.59,94.67,60.95,85.21,87.08,42.05,104.08,147.84,512.48,66.26,127.5,92.38,100.51,120.4,23.58,141.84,425.45,32.67,53.61,25.04,32.74,140.45,136.16,542,92.54,166.29,130.59,124.95,163.15,411.03,56.14,30.08,15.38,49.98,474.82,116.5,191.86,166.59,114.1,449.67,396.04,425.21,417.18,85.97,53.55,34.26,35.76,77.81,57
76,89.56,66.95,104.45,100.28,83.24,105.73,105.09,58.77,452.85,58.35,147.03,107.87,57.6,155.98,180.8,159.49,172.36,140.03,194.6,35.48,506.63,144.38,236.58,196.54,146.76,60.64,84.12,16.38,114.06,39.41,125.63,431.2,19.52,82.21,40.97,21.81,41.26,59.17,82.3,71.48,158.53,482.39,51.56,101.94,58.15,81.95,89.65,41.35,107.42,144.18,514.79,67.18,141.99,96.15,101.42,123.36,23.58,141.84,425.45,32.67,66.33,25.04,32.74,143.76,133.75,543.96,94.86,181.07,134.19,126.8,163.15,411.03,56.14,42.82,15.38,49.98,474.82,116.5,204.33,166.59,114.1,449.67,390.88,425.21,417.18,98.59,53.55,34.26,47.37,90.23,57
