,Distance (mm) Tail_base_1-Center_1,Distance (mm) Tail_base_1-Lat_left_1,Distance (mm) Tail_base_1-Lat_right_2,Distance (mm) Tail_base_1-Nose_2,Distance (mm) Tail_base_1-Lat_left_2,Distance (mm) Tail_base_1-Ear_left_2,Distance (mm) Tail_base_1-Ear_right_1,Distance (mm) Tail_base_1-Lat_right_1,Distance (mm) Tail_base_1-Tail_base_2,Distance (mm) Tail_base_1-Ear_right_2,Distance (mm) Tail_base_1-Ear_left_1,Distance (mm) Tail_base_1-Center_2,Distance (mm) Tail_base_1-Nose_1,Distance (mm) Center_1-Lat_left_1,Distance (mm) Center_1-Lat_right_2,Distance (mm) Center_1-Nose_2,Distance (mm) Center_1-Lat_left_2,Distance (mm) Center_1-Ear_left_2,Distance (mm) Center_1-Ear_right_1,Distance (mm) Center_1-Lat_right_1,Distance (mm) Center_1-Tail_base_2,Distance (mm) Center_1-Ear_right_2,Distance (mm) Center_1-Ear_left_1,Distance (mm) Center_1-Center_2,Distance (mm) Center_1-Nose_1,Distance (mm) Lat_left_1-Lat_right_2,Distance (mm) Lat_left_1-Nose_2,Distance (mm) Lat_left_1-Lat_left_2,Distance (mm) Lat_left_1-Ear_left_2,Distance (mm) Lat_left_1-Ear_right_1,Distance (mm) Lat_left_1-Lat_right_1,Distance (mm) Lat_left_1-Tail_base_2,Distance (mm) Lat_left_1-Ear_right_2,Distance (mm) Lat_left_1-Ear_left_1,Distance (mm) Lat_left_1-Center_2,Distance (mm) Lat_left_1-Nose_1,Distance (mm) Lat_right_2-Nose_2,Distance (mm) Lat_right_2-Lat_left_2,Distance (mm) Lat_right_2-Ear_left_2,Distance (mm) Lat_right_2-Ear_right_1,Distance (mm) Lat_right_2-Lat_right_1,Distance (mm) Lat_right_2-Tail_base_2,Distance (mm) Lat_right_2-Ear_right_2,Distance (mm) Lat_right_2-Ear_left_1,Distance (mm) Lat_right_2-Center_2,Distance (mm) Lat_right_2-Nose_1,Distance (mm) Nose_2-Lat_left_2,Distance (mm) Nose_2-Ear_left_2,Distance (mm) Nose_2-Ear_right_1,Distance (mm) Nose_2-Lat_right_1,Distance (mm) Nose_2-Tail_base_2,Distance (mm) Nose_2-Ear_right_2,Distance (mm) Nose_2-Ear_left_1,Distance (mm) Nose_2-Center_2,Distance (mm) Nose_2-Nose_1,Distance (mm) Lat_left_2-Ear_left_2,Distance (mm) Lat_left_2-Ear_right_1,Distance (mm) Lat_left_2-Lat_right_1,Distance (mm) Lat_left_2-Tail_base_2,Distance (mm) Lat_left_2-Ear_right_2,Distance (mm) Lat_left_2-Ear_left_1,Distance (mm) Lat_left_2-Center_2,Distance (mm) Lat_left_2-Nose_1,Distance (mm) Ear_left_2-Ear_right_1,Distance (mm) Ear_left_2-Lat_right_1,Distance (mm) Ear_left_2-Tail_base_2,Distance (mm) Ear_left_2-Ear_right_2,Distance (mm) Ear_left_2-Ear_left_1,Distance (mm) Ear_left_2-Center_2,Distance (mm) Ear_left_2-Nose_1,Distance (mm) Ear_right_1-Lat_right_1,Distance (mm) Ear_right_1-Tail_base_2,Distance (mm) Ear_right_1-Ear_right_2,Distance (mm) Ear_right_1-Ear_left_1,Distance (mm) Ear_right_1-Center_2,Distance (mm) Ear_right_1-Nose_1,Distance (mm) Lat_right_1-Tail_base_2,Distance (mm) Lat_right_1-Ear_right_2,Distance (mm) Lat_right_1-Ear_left_1,Distance (mm) Lat_right_1-Center_2,Distance (mm) Lat_right_1-Nose_1,Distance (mm) Tail_base_2-Ear_right_2,Distance (mm) Tail_base_2-Ear_left_1,Distance (mm) Tail_base_2-Center_2,Distance (mm) Tail_base_2-Nose_1,Distance (mm) Ear_right_2-Ear_left_1,Distance (mm) Ear_right_2-Center_2,Distance (mm) Ear_right_2-Nose_1,Distance (mm) Ear_left_1-Center_2,Distance (mm) Ear_left_1-Nose_1,Distance (mm) Center_2-Nose_1
34,53.48,58.18,265.11,256.93,228.95,201.08,81.73,65.46,218.64,236.12,115.46,242.21,81.8,20.02,233.46,220.19,201.15,158.48,36.04,21.7,200.11,202.51,62.52,212.7,29.47,250.21,235.48,218.98,171.88,23.56,40.51,219.37,218.9,60.72,230.09,40.11,32,39.81,92.35,246.98,211.93,75.17,31.96,219.95,24.82,211.29,53.07,67.97,229.59,199.23,94.1,26.24,199.23,41.65,195.64,81.1,218.39,179.46,41.18,29.1,195.73,15.01,181.49,163.68,138.77,112.28,62.04,131.59,82.77,131.78,49.27,223.17,215.19,40.76,228.38,37.6,178.86,181.11,61.31,191.04,21.11,70.08,207.38,53.35,185.58,188.01,22.7,179.73,203.84,40.28,191.92
35,68.57,61.27,264.66,258.46,230.12,203.97,86.88,64.62,219.5,237.53,115.74,237.51,84.31,22.71,224.94,212.19,195.77,149.93,24.61,24.99,197.27,195.49,47.52,200.21,21.56,247.65,234.71,218.35,171.83,27.06,43.64,218.95,218.19,63.87,222.9,43.99,30.82,38.49,90.73,234.44,209.11,74.34,30.07,199.43,27.95,203.94,53.07,67.78,218.84,199.13,94,26.24,181.66,40.89,190.73,81.87,208,177.77,41.09,29.1,176.17,12.36,175.56,153.57,140.85,113.31,62.41,115.12,77.28,128.42,48.69,213.53,204.52,40.13,211.19,34.75,175.91,180.4,57.56,183.28,23.68,69.99,187.37,53.1,179.2,169.36,18.53,174.36,177.89,33.9,179.58
36,71.45,63.37,262.59,239.54,209.76,208.49,95.37,63.69,220.41,239.4,116.94,236.3,88.07,22.02,220.03,188.63,170.88,151.84,24.06,31.85,197.03,195.49,48.99,197.39,28.74,242.05,210.45,192.78,173.22,38.43,47.59,217.8,217.52,68.7,219.33,50.74,44.45,53.2,84.08,212.07,204.11,75.49,24.65,180.58,28.46,191.33,49.77,41.64,177.38,177.64,96.07,28.32,145.04,46.54,160.61,63.01,165.75,152.53,51.44,32.53,135.95,26.82,142.19,138.41,145.09,114.35,62.28,105.94,75.94,124.91,49.51,197.48,187.42,32.48,191.51,30.79,172.46,180.14,57.85,179.36,27.34,69.99,171.49,51.97,169.73,155.97,18.59,166.82,161.08,30.51,168.66
37,54.97,65.9,261.27,241.2,209.28,213.37,105.05,62.74,221.05,241.17,124.22,235.35,90.38,22.28,224.48,199,174.9,166.68,50.3,27,197.95,203.39,73.65,201.07,39.18,237.46,209.41,189.53,174.46,50.54,48.28,216.06,216.13,80.82,215.4,49.35,39.86,52.51,80.05,192.62,202.49,75.06,21.44,159.04,28.31,188.13,49.54,41.4,161.83,179.75,94.34,25.91,128.93,44,160.83,64.12,148.11,151.7,51.37,34.75,114.85,26.27,140.36,125.13,150.7,115.48,61.55,93.79,74.39,127.6,52.32,182.22,171.18,33.6,172.94,22.56,171.91,181.77,62.69,177.96,31.66,70.64,151.24,51.76,169.38,137.6,18.98,166.82,139.45,34.55,166.13
38,56.1,73.5,261.01,243.79,209.03,216.25,110.98,67.31,221.15,242.38,124.88,234.37,91.6,21.29,224.88,200.46,173.79,168.45,55.94,31.64,197.39,203.39,76.32,199,39.18,228.17,199.85,178.37,165.08,47.72,47.16,206.69,205.41,75.74,203.05,38.93,47.15,51.99,85.34,185.13,197.69,67.92,25.65,152.87,26.69,189.34,51.87,41.07,153.67,177.2,95.8,25.34,124.59,44.08,162.3,64.7,137.61,145.97,51.41,36.56,104.34,25.43,139.44,117.7,148.94,116.02,60.09,92.33,72.53,129.38,52.99,172.83,161.3,33.64,161.19,21.6,166.53,177.48,58.13,171.37,31.41,72.27,139.48,52.41,169.08,129.74,19.86,166.82,128.33,37.72,164.14
39,56.1,73.44,262.73,243.38,209.03,215.81,111.19,67.49,220.11,242.38,120.89,232.81,91.6,19.15,226.71,200.49,173.79,168.33,57.15,35.48,196.86,203.39,73.92,197.67,39.18,225.61,196.1,173.83,161.47,47.45,47.32,201.63,201.09,70.61,197.36,34.43,46.2,53.72,85.39,181.77,197.73,70.73,27.47,155.04,29.97,191.2,49.73,41.36,149.66,176.12,95.17,22.6,126.61,42.58,162.48,62.64,131.98,144.12,52.91,36.56,103.79,23.98,139.44,114.12,148.54,115.51,58.34,95.3,70.86,129.3,53.62,166.81,156.24,29.73,154.71,19.99,162.87,176.11,54.44,168.09,34.85,74.36,137.08,53.02,168.88,130.54,21.38,166.82,127.05,36.28,162.94
40,506.63,519.91,429.36,466.78,431.96,494.56,504.93,474.82,377.71,448.05,486.75,426.6,501.83,16.42,225.02,199.51,173.79,168.45,56.63,35.48,196.49,203.39,73.31,197.18,39.18,224.49,196.28,174.03,162.78,50.01,45.57,200.95,201.65,70.34,197.31,34.84,44.15,51.73,85.42,176.85,195.82,69.76,27.3,154.41,28.8,189.7,46.22,42.69,146.68,174.64,93.06,19,126.37,40.72,161.7,62.6,127.78,144.12,54.27,36.56,104.68,23.39,139.44,112.82,148.65,116.86,58.23,95.86,72.16,129.43,49.37,161.59,153,23.56,150.63,17.8,162.39,176.11,54.26,167.38,34.85,76.18,138.21,52.77,168.79,131.31,23.44,166.82,127.72,35.52,162.66
41,506.63,520.72,428.19,465,431.96,495.39,504.22,474.82,376.91,448.05,484.44,425.03,501.83,18.48,223.31,198.67,173.79,169.99,59.98,35.48,196.39,203.39,75.41,197.02,39.18,221.51,193.89,172.76,162.29,51.56,46.11,200.23,200.11,71.32,196.01,33.39,42.99,49.88,84.85,172.22,194,68.67,26.79,150.27,27.42,188.11,44.31,42.78,142.7,173.57,92.06,17.41,123.35,40.46,160.97,63.45,124.78,144.12,55.06,36.56,101.98,23.27,139.44,110.86,150.29,118.49,58.1,95.81,73.83,130.95,51.56,159.38,149.74,23.85,147.75,21.01,162.24,176.11,55.28,167.06,34.85,77.15,135.55,52.09,168.84,128.86,25.08,166.82,125.13,37.97,162.68
42,506.63,519.99,428.61,465.84,431.96,495.41,501.74,474.82,376.5,448.05,478.92,425.21,501.83,18.44,223.66,197.95,173.79,172.23,60.41,35.48,196.76,203.39,79.77,196.54,39.18,220.75,192.07,171.69,163.58,51.7,45.32,199.58,199.07,75.59,194.46,32.34,43.96,50.27,83.54,170.72,194.38,69.39,26.76,145.17,28.31,188.42,44.5,40.18,140.5,172.96,93.01,18.4,118.22,41.07,160.19,63.54,122.83,144.12,55.47,36.56,96.28,22.79,139.44,112.25,152.45,118.93,56.9,95.19,72.93,133.19,50.46,157.47,148.13,27.84,145.36,21.25,162.6,176.11,57.31,166.59,34.85,77.44,129.67,52.4,169.25,123.88,25.1,166.82,118.99,43.26,162.19
43,54.37,67.49,262.38,241.31,211.7,219.83,112.02,69.03,224.31,244.67,128.96,233.79,91.14,17.81,224.08,196.89,173.79,171.12,60.41,35.48,197.85,203.39,84.35,196.54,39.18,227.41,197.12,177.89,168.55,58.03,48.94,206.31,205.39,87.09,200.66,38.62,46.81,50.74,85.66,171.08,194.85,69.51,26.86,140.39,28.83,188.81,46.03,39.58,139.16,172.29,95.48,21.3,113.05,43.63,158.99,65.1,122.83,144.12,55.9,36.56,90.86,22.79,139.44,111.05,151.68,120.92,58.96,91.69,74.82,132.05,50.46,158.48,148.13,33.67,145.36,21.25,163.7,176.11,60.19,166.59,34.85,77.38,124.84,52.38,170.3,119.07,25.1,166.82,113.61,48.58,162.19
