Feature,Description
dam_back_top_angle_roll_mean_1s,"1S between dam back 1s, back 1 center, and top back_top_angle_roll_mean points"
dam_back_top_angle_roll_mean_2s,"2S between dam back 2s, back 1 center, and top back_top_angle_roll_mean points"
dam_nose_movement_roll_mean_1s,Mean movement of the dam nose point over a centered 1 second window
dam_nose_movement_roll_mean_1ds,Mean movement of the dam nose point over a centered 1 decisecond
dam_nose_movement_roll_mean_2s,Mean movement of the dam nose point over a centered 2 second window
eye_movement_roll_mean_1s,Mean movement of the dam eye point over a centered 1 second window
eye_movement_roll_mean_1ds,Mean movement of the dam eye point over a centered 1 decisecond
eye_movement_roll_mean_2s,Mean movement of the dam eye point over a centered 2 second window
ear_movement_roll_mean_1s,Mean movement of the dam ear point over a centered 1 second window
ear_movement_roll_mean_1ds,Mean movement of the dam ear point over a centered 1 decisecond
ear_movement_roll_mean_2s,Mean movement of the dam ear point over a centered 2 second window
top_head_dam_movement_roll_mean_1s,Mean movement of the dam top head point over a centered 1 second window
top_head_dam_movement_roll_mean_1ds,Mean movement of the dam top head point over a centered 1 decisecond
top_head_dam_movement_roll_mean_2s,Mean movement of the dam top head point over a centered 2 second window
wrist_movement_roll_mean_1s,Mean movement of the dam wrist point over a centered 1 second window
wrist_movement_roll_mean_1ds,Mean movement of the dam wrist point over a centered 1 decisecond
wrist_movement_roll_mean_2s,Mean movement of the dam wrist point over a centered 2 second window
armpit_movement_roll_mean_1s,Mean movement of the dam armpit point over a centered 1 second window
armpit_movement_roll_mean_1ds,Mean movement of the dam armpit point over a centered 1 decisecond
armpit_movement_roll_mean_2s,Mean movement of the dam armpit point over a centered 2 second window
dam_convex_hull_roll_mean_1s,Mean movement of the dam convex hull perimeter over a centered 1 second window
dam_convex_hull_roll_mean_1ds,Mean movement of the dam convex hull perimeter over a centered 1 decisecond
dam_convex_hull_roll_mean_2s,Mean movement of the dam convex hull perimeter over a centered 2 second window
head_convex_hull_roll_mean_1s,Mean movement of the dam head convex hull perimeter over a centered 1 second window
head_convex_hull_roll_mean_1ds,Mean movement of the dam head convex hull perimeter over a centered 1 decisecond
head_convex_hull_roll_mean_2s,Mean movement of the dam head convex hull perimeter over a centered 2 second window
high_p_pup_bp_roll_mean_1s,Mean number of high probability pup points over a centered 1 second window
high_p_pup_bp_roll_mean_1ds,Mean number of high probability pup points over a centered 1 decisecond
high_p_pup_bp_roll_mean_2s,Mean number of high probability pup points over a centered 2 second window
high_p_dam_bp_roll_mean_1s,Mean number of high probability dam points over a centered 1 second window
high_p_dam_bp_roll_mean_1ds,Mean number of high probability dam points over a centered 1 decisecond
high_p_dam_bp_roll_mean_2s,Mean number of high probability dam points over a centered 2 second window
nose_back10_length_roll_mean_1s,Mean nose_back10_length over a centered 1 second window
nose_back10_length_roll_mean_1ds,Mean nose_back10 length over a centered 1 decisecond
nose_back10_length_roll_mean_2s,Mean nose_back10_length over a centered 2 second window
head_avg_movement_roll_sum_1s,Sum movement of dam head points over a centered 1 second window
head_avg_movement_roll_sum_1ds,Sum movement of dam head points over a centered 1 decisecond
head_avg_movement_roll_sum_2s,Sum movement of dam head points over a centered 2 second window
head_max_movement_roll_sum_1s,Sum of maximum movement of dam head points over a centered 1 second window
head_max_movement_roll_sum_1ds,Sum of maximum movement of dam head points over a centered 1 decisecond
head_max_movement_roll_sum_2s,Sum of maximum movement of dam back head over a centered 2 second window
back_avg_movement_roll_sum_1s,Sum of mean back movement over a centered 1 second window
back_avg_movement_roll_sum_1ds,Sum of mean back movement over a centered 1 decisecond window
back_avg_movement_roll_sum_2s,Sum of mean back movement over a centered 2 second window
head_back_rel_roll_sum_1s,Sum of head_back_rel movementover a centered 1 second window
head_back_rel_roll_sum_1ds,Sum of head_back_rel movementover a centered 1 decisecond window
head_back_rel_roll_sum_2s,Sum of head_back_rel movementover a centered 2 second window
pups_convex_hull_roll_sum_1s,Sum perimeter of pup convex hall over a centered 1 second window 
pups_convex_hull_roll_sum_1ds,Sum perimeter of pup convex hall over a centered 1 decisecond 
pups_convex_hull_roll_sum_2s,Sum perimeter of pup convex hall over a centered 2 second window 
dam_pup_distance_roll_sum_1s,Sum distance between the dam centroid and pup centroid over a centered 1 second window
dam_pup_distance_roll_sum_1ds,Sum distance between the dam centroid and pup centroid over a centered 1 decisecond
dam_pup_distance_roll_sum_2s,Sum distance between the dam centroid and pup centroid over a centered 2 second window
dam_pup30m_distance_roll_sum_1ds,Sum distance between the dam centroid and pup 30 minute centroid over a centered 1 decisecond
dam_pup30m_distance_roll_sum_2s,Sum distance between the dam centroid and pup 30 minute centroid over a centered 2 second window
dam_pup60m_distance_roll_sum_1s,Sum distance between the dam centroid and pup 60 minute centroid over a centered 1 second window
dam_pup60m_distance_roll_sum_1ds,Sum distance between the dam centroid and pup 60 minute centroid over a centered 1 decisecond
dam_pup60m_distance_roll_sum_2s,Sum distance between the dam centroid and pup 60 minute centroid over a centered 2 second window
top_head_dam_movement_roll_sum_1s,Sum movement of the dam top head point over a centered 1 second window
top_head_dam_movement_roll_sum_1ds,Sum movement of the dam top head point over a centered 1 decisecond
top_head_dam_movement_roll_sum_2s,Sum movement of the dam top head point over a centered 2 second window
dam_back_angle_roll_sum_1s,Sum back_angle over a centered 1 second window
dam_back_angle_roll_sum_1ds,Sum back_angle over a centered 1 decisecond
dam_back_angle_roll_sum_2s,Sum back_angle over a centered 2 second window
dam_nose_movement_roll_sum_1s,Sum movement of the dam nose point over a centered 1 second window
dam_nose_movement_roll_sum_1ds,Sum movement of the dam nose point over a centered 1 decisecond
dam_nose_movement_roll_sum_2s,Sum movement of the dam nose point over a centered 2 second window
eye_movement_roll_sum_1s,Sum movement of the dam eye point over a centered 1 second window
eye_movement_roll_sum_1ds,Sum movement of the dam eye point over a centered 1 decisecond
eye_movement_roll_sum_2s,Sum movement of the dam eye point over a centered 2 second window
ear_movement_roll_sum_1s,Sum movement of the dam ear point over a centered 1 second window
ear_movement_roll_sum_1ds,Sum movement of the dam ear point over a centered 1 decisecond
ear_movement_roll_sum_2s,Sum movement of the dam ear point over a centered 2 second window
wrist_movement_roll_sum_1s,Sum movement of the dam wrist point over a centered 1 second window
wrist_movement_roll_sum_1ds,Sum movement of the dam wrist point over a centered 1 decisecond
wrist_movement_roll_sum_2s,Sum movement of the dam wrist point over a centered 2 second window
armpit_movement_roll_sum_1s,Sum movement of the dam armpit point over a centered 1 second window
armpit_movement_roll_sum_1ds,Sum movement of the dam armpit point over a centered 1 decisecond
armpit_movement_roll_sum_2s,Sum movement of the dam armpit point over a centered 2 second window
dam_convex_hull_roll_sum_1s,Sum movement of the dam convex hull perimeter over a centered 1 second window
dam_convex_hull_roll_sum_1ds,Sum movement of the dam convex hull perimeter over a centered 1 decisecond
dam_convex_hull_roll_sum_2s,Sum movement of the dam convex hull perimeter over a centered 2 second window
high_p_pup_bp_roll_sum_1s,Sum of number of high probability pup points over a centered 1 second window
high_p_pup_bp_roll_sum_1ds,Sum of number of high probability pup points over a centered 1 decisecond
high_p_pup_bp_roll_sum_2s,Sum of number of high probability pup points over a centered 2 second window
high_p_dam_bp_roll_sum_1s,Sum of number of high probability dam points over a centered 1 second window
high_p_dam_bp_roll_sum_1ds,Sum of number of high probability dam points over a centered 1 decisecond
high_p_dam_bp_roll_sum_2s,Sum of number of high probability dam points over a centered 2 second window
nose_back10_length_roll_sum_1s,Sum of the distance between the dam nose and back 10 over a centered 1 second window
nose_back10_length_roll_sum_1ds,Sum of the distance between the dam nose and back 10 over a centered 1 decisecond
nose_back10_length_roll_sum_2s,Sum of the distance between the dam nose and back 10 over a centered 2 second window
head_avg_movement_roll_std_1s,Standard deviation of the Mean movement of dam head points over a centered 1 second window
head_avg_movement_roll_std_2s,Standard deviation of the Mean movement of dam head points over a centered 2 second window
back_avg_movement_roll_std_1s,Standard deviation of the Mean movement of dam back points over a centered 1 second window
back_avg_movement_roll_std_2s,Standard deviation of the Mean movement of dam back points over a centered 2 second window
pups_convex_hull_roll_std_1s,Standard deviation of the pup point convex hull perimeter over a centered 1 second window
pups_convex_hull_roll_std_2s,Standard deviation of the pup point convex hull perimeter over a centered 2 second window
dam_pup_distance_roll_std_1s,Standard deviation of the distance between dam centroid and pup centroid over a centered 1 second window
dam_pup_distance_roll_std_2s,Standard deviation of the distance between dam centroid and pup centroid over a centered 2 second window
dam_pup30m_distance_roll_std_1s,Standard deviation of the distance between dam centroid and pup 30 minute centroid over a centered 1 second window
dam_pup30m_distance_roll_std_2s,Standard deviation of the distance between dam centroid and pup 30 minute centroid over a centered 2 second window
dam_pup60m_distance_roll_std_1s,Standard deviation of the distance between dam centroid and pup 60 minute centroid over a centered 1 second window
dam_pup60m_distance_roll_std_2s,Standard deviation of the distance between dam centroid and pup 60 minute centroid over a centered 2 second window
eye_movement_roll_std_1s,Standard deviation of dam eye movement over a centered 1 seceond
eye_movement_roll_std_2s,Standard deviation of dam eye movement over a centered 2 seceonds
ear_movement_roll_std_1s,Standard deviation of dam ear movement over a centered 1 seceond
ear_movement_roll_std_2s,Standard deviation of dam ear movement over a centered 2 seceonds
wrist_movement_roll_std_1s,Standard deviation of dam wrist movement over a centered 1 seceond
wrist_movement_roll_std_2s,Standard deviation of dam wrist movement over a centered 2 seceonds
armpit_movement_roll_std_1s,Standard deviation of dam armpit movement over a centered 1 seceond
armpit_movement_roll_std_2s,Standard deviation of dam armpit movement over a centered 2 seceonds
dam_convex_hull_roll_std_1s,Standard deviation of dam convex hull perimeter over a centered 1 second window
dam_convex_hull_roll_std_2s,Standard deviation of dam convex hull perimeter over a centered 2 second window
head_convex_hull_roll_std_1s,Standard deviation of dam head convex hull perimeter over a centered 1 second window
head_convex_hull_roll_std_2s,Standard deviation of dam head convex hull perimeter over a centered 2 second window
high_p_pup_bp_roll_std_1s,Standard deviation of the number of high probability pup points over a centered 1 second window
high_p_pup_bp_roll_std_2s,Standard deviation of the number of high probability pup points over a centered 2 second window
high_p_dam_bp_roll_std_1s,Standard deviation of the number of high probability dam points over a centered 1 second window
high_p_dam_bp_roll_std_2s,Standard deviation of the number of high probability dam points over a centered 2 second window
nose_back10_length_roll_std_1s,Standard deviation of the distance between the dam nose and back 10 over a centered 1 second window
nose_back10_length_roll_std_2s,Standard deviation of the distance between the dam nose and back 10 over a centered 2 second window
dam_head_angle_roll_std_1s,Standard deviation of the dam head angle over a centered 1 second window
dam_head_angle_roll_std_2s,Standard deviation of the dam head angle over a centered 2 second window
dam_head_angle2_roll_std_1s,Standard deviation of the dam head angle2 over a centered 1 second window
dam_head_angle2_roll_std_2s,Standard deviation of the dam head angle2 over a centered 2 second window
dam_back_top_angle_roll_std_1s,Standard deviation of the dam back top angle over a centered 1 second window
dam_back_top_angle_roll_std_2s,Standard deviation of the dam back top angle over a centered 2 second window
