VIDEO,TIME BIN #,ANIMAL,BODY-PART,MEASUREMENT,VALUE
Together_1,42,Animal_1,Nose_1,Velocity (cm/s),28.6722
Together_1,43,Animal_1,Nose_1,Movement (cm),4.9402
Together_1,43,Animal_1,Nose_1,Velocity (cm/s),9.8805
Together_1,44,Animal_1,Nose_1,Movement (cm),5.9388
Together_1,44,Animal_1,Nose_1,Velocity (cm/s),11.8776
Together_1,45,Animal_1,Nose_1,Movement (cm),5.5699
Together_1,45,Animal_1,Nose_1,Velocity (cm/s),11.1399
Together_1,46,Animal_1,Nose_1,Movement (cm),2.7075
Together_1,46,Animal_1,Nose_1,Velocity (cm/s),5.4149
Together_1,47,Animal_1,Nose_1,Movement (cm),2.1644
Together_1,47,Animal_1,Nose_1,Velocity (cm/s),4.3288
Together_1,48,Animal_1,Nose_1,Movement (cm),2.0562
Together_1,48,Animal_1,Nose_1,Velocity (cm/s),4.1124
Together_1,49,Animal_1,Nose_1,Movement (cm),5.8235
Together_1,49,Animal_1,Nose_1,Velocity (cm/s),11.6471
Together_1,50,Animal_1,Nose_1,Movement (cm),1.1681
Together_1,50,Animal_1,Nose_1,Velocity (cm/s),2.3363
Together_1,51,Animal_1,Nose_1,Movement (cm),15.8542
Together_1,51,Animal_1,Nose_1,Velocity (cm/s),31.7083
Together_1,52,Animal_1,Nose_1,Movement (cm),8.3695
Together_1,52,Animal_1,Nose_1,Velocity (cm/s),16.7389
Together_1,53,Animal_1,Nose_1,Movement (cm),2.7964
Together_1,53,Animal_1,Nose_1,Velocity (cm/s),5.5928
Together_1,54,Animal_1,Nose_1,Movement (cm),9.2319
Together_1,54,Animal_1,Nose_1,Velocity (cm/s),18.4638
Together_1,55,Animal_1,Nose_1,Movement (cm),14.4562
Together_1,55,Animal_1,Nose_1,Velocity (cm/s),28.9124
Together_1,56,Animal_1,Nose_1,Movement (cm),1.9545
Together_1,56,Animal_1,Nose_1,Velocity (cm/s),3.909
Together_1,57,Animal_1,Nose_1,Movement (cm),0.991
Together_1,57,Animal_1,Nose_1,Velocity (cm/s),1.982
Together_1,58,Animal_1,Nose_1,Movement (cm),4.5623
Together_1,58,Animal_1,Nose_1,Velocity (cm/s),9.1246
Together_1,59,Animal_1,Nose_1,Movement (cm),10.7709
Together_1,59,Animal_1,Nose_1,Velocity (cm/s),21.5418
Together_1,60,Animal_1,Nose_1,Movement (cm),8.2679
Together_1,60,Animal_1,Nose_1,Velocity (cm/s),16.5358
Together_1,61,Animal_1,Nose_1,Movement (cm),2.2381
