,VIDEO,CUE LIGHT,ONSET TIME,OFFSET TIME,ONSET FRAME,OFFSET FRAME,ONSET DURATION
0,2025-05-21 16-10-06_cropped,MY_CUE_LIGHT,13.96666667,26.1,419,782,12.13333333
1,2025-05-21 16-10-06_cropped,MY_CUE_LIGHT,84,104.1333333,2520,3123,20.13333333
