Video,Measurement,Time bin #,Value
Together_1,Movement Simon (cm),0,33.62447716409339
Together_1,Movement Simon velocity (cm/s),0,2.2416318109395594
Together_1,Movement JJ (cm),0,36.88021358355315
Together_1,Movement JJ velocity (cm/s),0,2.45868090557021
Together_1,Distance Simon JJ (cm),0,66.17094022460094
Together_1,Movement Simon (cm),1,29.41887425462013
Together_1,Movement Simon velocity (cm/s),1,1.961258283641342
Together_1,Movement JJ (cm),1,45.37768754384112
Together_1,Movement JJ velocity (cm/s),1,3.025179169589408
Together_1,Distance Simon JJ (cm),1,63.26964332042877
Together_1,Movement Simon (cm),2,40.765183607552
Together_1,Movement Simon velocity (cm/s),2,2.717678907170133
Together_1,Movement JJ (cm),2,42.74197577151122
Together_1,Movement JJ velocity (cm/s),2,2.8494650514340814
Together_1,Distance Simon JJ (cm),2,103.25558019849247
Together_1,Movement Simon (cm),3,38.46212149602074
Together_1,Movement Simon velocity (cm/s),3,2.958624730463134
Together_1,Movement JJ (cm),3,39.490617735584685
Together_1,Movement JJ velocity (cm/s),3,3.0377398258142065
Together_1,Distance Simon JJ (cm),3,53.33002723748521
