VIDEO,Polygon_2 Animal_1 nose in zone,Polygon_2 Animal_1 facing,START FRAME,END FRAME,START TIME,END TIME,BOUT TIME
F1 HAB,True,False,0,2,0.0,0.1,0.1
F1 HAB,True,False,10,13,0.3333333333333333,0.4666666666666667,0.13333333333333333
