,Animal_1 three-point convex hull (area mm) Ear_left_1-Ear_right_1-Nose_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Ear_right_1-Center_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Ear_right_1-Lat_left_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Ear_right_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Ear_right_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Nose_1-Center_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Nose_1-Lat_left_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Nose_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Nose_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Center_1-Lat_left_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Center_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Center_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Lat_left_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Lat_left_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Lat_right_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Nose_1-Center_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Nose_1-Lat_left_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Nose_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Nose_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Center_1-Lat_left_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Center_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Center_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Lat_left_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Lat_left_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Lat_right_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Nose_1-Center_1-Lat_left_1,Animal_1 three-point convex hull (area mm) Nose_1-Center_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Nose_1-Center_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Nose_1-Lat_left_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Nose_1-Lat_left_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Nose_1-Lat_right_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Center_1-Lat_left_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Center_1-Lat_left_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Center_1-Lat_right_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Lat_left_1-Lat_right_1-Tail_base_1,Animal_2 three-point convex hull (area mm) Ear_left_2-Ear_right_2-Nose_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Ear_right_2-Center_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Ear_right_2-Lat_left_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Ear_right_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Ear_right_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Nose_2-Center_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Nose_2-Lat_left_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Nose_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Nose_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Center_2-Lat_left_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Center_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Center_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Lat_left_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Lat_left_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Lat_right_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Nose_2-Center_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Nose_2-Lat_left_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Nose_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Nose_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Center_2-Lat_left_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Center_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Center_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Lat_left_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Lat_left_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Lat_right_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Nose_2-Center_2-Lat_left_2,Animal_2 three-point convex hull (area mm) Nose_2-Center_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Nose_2-Center_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Nose_2-Lat_left_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Nose_2-Lat_left_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Nose_2-Lat_right_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Center_2-Lat_left_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Center_2-Lat_left_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Center_2-Lat_right_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Lat_left_2-Lat_right_2-Tail_base_2
24,116.26,142.68,1129.2,161.76,238.81,141.09,1101.24,138.8,246.03,1120.67,159.63,237.39,1106.08,1158.22,254.29,109.35,1089.31,120,207.25,1082.71,114.8,172.58,1081.06,1113.22,202.43,1052.15,89.24,177.21,1029.13,1091.48,185.68,1016.94,1049.82,145.42,1045.99,100.97,139.2,114.05,153.7,216.81,154.87,147.54,151.24,249.34,152.31,166.71,237.83,178.44,216.59,265.76,120.56,112.43,123.27,215.8,94.35,115.89,181.43,126.82,159.4,215.71,126.95,112.55,213.08,141.3,208.87,229.24,100.46,141.04,172.11,186.96
25,128.26,135.49,102.67,179.97,238.69,124.63,139.95,146.84,241.47,148.39,161.09,233.74,192.91,247.75,255.92,98.84,104.07,134.37,202.37,88.22,124.33,170.35,146.05,174.26,205.85,120.21,85.9,167.83,155.77,219.89,181.06,146.94,189.08,156.06,224.61,106.54,150.73,124.2,163.31,220.16,165.78,153.21,160.99,248.93,162.75,180.75,241.94,189.02,217.81,271.88,116.96,106.74,118.05,205.92,91.89,113.42,174.55,124.03,152.76,210.37,127.89,118.09,210.3,142.66,202.48,228.75,103.38,136.44,172.94,185.95
26,139.7,138.55,110.39,200.07,239.32,115.22,141.97,157.01,235.87,144.21,168.62,229.84,205.7,247.33,257.77,96.62,109.59,150.61,196.4,91.41,141.79,169.95,165.1,173.66,210.08,114.01,89.76,157.52,167.98,216.14,177.93,162.54,193.08,164.23,233.18,103.87,154.45,126.9,170.57,210.96,171.83,157.09,172.95,242.92,164.47,186.63,236.18,193.76,210.78,267.96,125.75,112.89,130.36,203.3,99.54,123.32,175.83,132.33,152.31,211.11,131.01,126.97,209.07,148.8,198.36,229.34,98.55,127.69,164.97,176.14
27,147.72,142.32,120.13,213.74,240.54,107.08,144.88,162.97,231.01,142.71,172.06,226.4,215.54,249.09,257.8,97.27,119,162.74,193.16,101.32,156.31,173.05,183.72,179.67,214.02,113.21,92.69,150.65,180.09,217.26,176.1,176.89,200.38,170.47,242.76,103.78,163.87,136.5,181.51,218.9,179.14,163.43,182.81,247.86,173.99,198.13,244,205.62,219.26,277.63,130.68,116.57,137.78,205.12,106.49,132.46,180.62,141.55,157.47,217.68,134.87,135.21,211.04,155.96,199.56,234.12,101.1,125.52,164.85,176.56
28,156.99,147.1,132.02,230.61,242.3,96.4,148.46,171.22,225.58,138.75,175.72,222.44,227.6,250.82,259.05,101.19,130.7,178.57,190.39,115.41,177.49,181.67,206.82,187.5,220.84,112.72,98.96,145.82,195.42,218.78,176.28,194.54,210.26,181.97,254.75,104.75,163.52,141.38,188.13,225.37,178.5,166.28,190.6,251.94,174.1,201.62,247.06,211.14,224.66,282.88,125.76,115.94,140.36,206.24,102.51,130.14,180.11,142.05,160.11,218.43,132.88,138.09,212.15,159.92,202.06,237.97,98.74,124.99,164.1,175.74
29,166.85,153.84,138.61,246.9,245,96.06,146.63,181.29,223.12,130.89,183.22,220.3,233.26,248.33,261.81,112.18,142.01,193.76,191.23,127.33,196.74,189.47,226.04,196.75,227.31,113.81,109.6,146.05,204.7,219.14,176.07,204.96,214.65,189.24,261.81,103.47,161.17,141.33,189.34,226.44,174.49,166.16,192.18,252.5,174.43,197.6,248.01,210.88,225.97,280.08,124.15,117.42,144.17,207.03,104.88,128.79,181.74,143.66,161.29,216.13,131.94,133.86,210.04,160.25,201.1,233.96,95.43,126.37,156.37,169.05
30,1112.87,1124.24,0,1114.43,1154.92,114.11,1112.87,123.14,226.15,1124.24,138.06,218.27,1114.43,1154.92,235.28,1060.47,0,1041.79,1091.58,0,1036.74,1063.73,0,0,1053.03,1060.47,73.25,162.76,1041.79,1091.58,170.91,1036.74,1063.73,146.61,1053.03,106.36,162.07,140.62,190.35,226.23,173.54,166.61,190.48,251.8,178.27,197.65,248.09,214.37,224.97,279.87,123.92,117.89,144.31,204.89,106.92,128.85,178.56,146.47,156.33,213.78,134.9,130.97,206.12,163.12,198.42,230,103.61,128.03,155.13,171.08
31,1114.47,1125.64,0,1115.61,1155.66,129.1,1114.47,127.92,227.69,1125.64,147.94,220.05,1115.61,1155.66,238.46,1055.98,0,1038.34,1089.37,0,1026.26,1049.63,0,0,1051.58,1055.98,77.53,160.62,1038.34,1089.37,171.43,1026.26,1049.63,140.54,1051.58,111.31,163.53,145.92,193.37,224.94,174.71,172.84,191.93,251.84,180.81,199.39,246.91,218,224.79,279.4,126.22,123.75,147.74,204.24,107.41,130.9,175.01,148.91,152.28,211.8,135.37,130.48,202.94,164.24,195.96,227.11,103.15,122.48,153.12,166.63
32,1116.73,1125.81,0,1117.38,1159.51,117.89,1116.73,131,232.76,1125.81,144.93,226.1,1117.38,1159.51,245.79,1054.32,0,1039.03,1091.09,0,1030.67,1062.13,0,0,1053.42,1054.32,72.18,163.28,1039.03,1091.09,176.11,1030.67,1062.13,152,1053.42,112.91,164.69,147.14,190.78,223.02,175.34,174.52,186.35,251.03,181.11,198.6,245.59,216.88,223.99,278.61,130.28,127.52,147.09,205.13,110.04,135.27,175.62,151.62,152.08,214.43,134.73,128.15,200.94,161.23,194.13,224.68,104.22,119.44,155.64,167.93
33,117.6,140.03,119.84,155.37,233.58,132.25,137.52,129.11,237.65,143.62,148.69,231.79,164.73,230.69,246.2,100.63,95.16,110.02,196.72,81,109.34,170.59,114.64,158.74,197.53,86.62,71.03,162.6,101.78,176.21,171.07,84.78,133.77,142.1,166.48,113.49,161.45,143.64,190.32,224.09,172.12,170.6,186.81,251.15,177.13,196.15,245.03,213.71,224.56,277.28,124.88,121.73,144.92,203.57,102.71,128.7,171.89,144.63,149.79,209.49,131.1,126.62,200.38,158.84,194.58,223.8,101.2,121.47,153.5,166.77
34,118.84,139.63,125.28,151.5,237.52,132.5,141.19,122.72,237.12,143.4,145.71,231.04,162.59,233.87,241.88,103.28,101.3,108.03,200.6,79.62,107.12,170.62,113.33,162.77,195.99,89.57,72.38,164.27,101.62,179.46,167.98,82.15,130.91,140.21,163.59,112.02,159.76,140.85,194.13,224.67,168.36,166.68,187.92,251.12,173.12,197.37,244.65,214.11,226.11,279.43,127.83,122.75,153.39,207.61,104.6,138.25,176.56,151.58,154.61,217.34,126.95,128.56,199.53,159.14,194.82,225.5,102.69,122.46,156.16,169.87
35,108.97,112.09,131.35,146.15,242.87,102.92,142.3,114.95,234.2,134.42,129.71,231.97,165.18,241.06,238.05,81.14,106.5,107.07,206.36,74.84,98.05,180.34,119.5,175.42,200.32,88.91,69.97,174.8,111.54,190,172.75,91.51,152.97,158.36,169.65,113.19,158.31,140.28,191.95,227.1,167.24,166.35,184.18,252.78,170.75,195.82,243.79,212,228.12,278.4,128.43,123.77,152.38,210.26,102.58,138.42,175.68,150.84,156.25,217.31,125.88,127.88,198.59,157.44,196.3,223.51,102.75,120.99,155.44,170.22
36,94.45,131.98,140.07,140.22,244.9,129.04,150.5,115.85,235.54,149.98,147.7,236.04,174.57,249.13,238.5,105.53,120.26,107.75,214.09,95.73,115.6,190.58,135.75,196.94,208.46,107.16,92.22,182.22,125.74,201.94,178.66,95.53,140.38,149.47,174.61,113.53,155.82,126.3,181.29,228.93,164.06,154.52,170.28,251.97,165.97,188.63,242.29,200.55,228.96,273.91,123.11,109.76,138.44,207.25,94.96,130.55,171.34,138.66,154.19,212.07,122.78,119.14,193.98,147.22,196.8,215.45,108.49,130.05,155.6,179.89
37,97.34,157.87,165.47,148.59,263.59,151.23,171.86,125.24,249.55,177.35,163.55,253.56,192.25,271.82,250.34,126.62,140.27,113.72,229.14,123.23,129.51,210.62,151.23,221.91,220.5,126.06,102.6,193.03,137.34,217.33,186.19,98.09,143.78,145.45,177.84,113.98,153.74,129.03,175.33,231.31,160.53,155.84,161.52,251.64,165.38,183.47,241.93,197.3,231.32,271.08,118.92,109.9,130.59,205.7,92.77,125.88,169.32,135.38,154.38,209.16,120.34,112.82,190.4,142.34,195.48,209.64,107.39,128.88,155.45,179.04
38,95.89,157.26,156.47,144.51,269.32,145.8,161.58,116.39,250.3,171.32,154.59,254.21,180.89,274.16,250.34,134.55,140.66,118.23,243.44,125.34,131.37,222.3,148.01,232.58,231.51,129.98,102.78,202.82,135.99,229.67,195.37,97.49,156.89,151.05,188.43,114.49,150.02,129.9,183.33,232.53,157.74,157.88,173.76,253.1,163.36,184.77,241.56,202.57,232.6,269.77,118.1,113.66,141.87,208.9,91.44,125.17,169.65,138.4,156.12,205.62,121.45,117.63,192.25,151.12,198.99,210.93,104.36,129.67,147.14,171.54
39,83.42,141.18,146.96,137.21,1025.84,129.46,151.35,109.65,982.14,157.73,139.44,1044.38,171.69,1077.45,1014.77,131.27,142.99,123.25,1021.62,122.19,125.86,1056.68,147.94,1079.59,1038.87,133.92,105.64,1020.32,143.82,1059.33,986.66,95.05,1043.01,993.75,1043.13,113.51,146.24,125.05,183.44,231.37,154.94,154.22,172.75,252.18,159.13,186,239.78,202.82,231.5,271.63,115.02,110.15,141.51,208.09,88.04,127.73,168.65,140.41,156.24,209.18,118.92,118.76,191.18,151.91,199.24,212.33,110.3,131.99,153.41,179.01
40,73.47,129.69,143.72,132.91,1014.52,127.63,155.13,116.39,979.4,155.96,138.84,1040.11,175.37,1076.67,1015.18,126.58,146.95,124.25,1009.22,122.98,121.89,1045.12,151.31,1074.56,1029.1,140.46,111.44,1016.08,154.33,1058.98,985.6,96.59,1039.51,987.74,1039.68,116.07,149.52,125.34,184.56,233.88,155.91,152.76,172.21,252.51,160.55,186.57,241.94,201.78,233.99,272.06,112.3,104.51,137.66,204.29,86.15,125.87,167.57,136.44,154.97,206.74,113.73,113.7,186.37,145.29,194.8,206.81,107.85,132.42,151,177.79
41,75.07,136.57,147.19,137.25,1012.19,130.47,155.91,118.05,976.53,160.95,141.32,1039.26,177.84,1075.99,1014.43,130.4,147.63,126.58,1008.3,129.23,126.41,1047.59,154.72,1076.11,1031.36,140.92,110.18,1014.89,153.3,1058.22,985.56,96.68,1041.06,986.62,1041.04,121.19,153.72,129.76,186.22,236.97,156.75,154.13,170.26,253.29,162.38,185.54,244.01,200.37,236.78,271.51,113.15,104.06,136.95,203.32,83.66,123.58,165.4,131.95,151.7,203.19,110.76,110.35,184.44,140.05,192.08,203.24,102.4,129.88,148.07,173.16
42,76.03,144.99,154.39,142.84,264.8,136.26,158.83,121.72,251.63,167.86,148.8,252.73,183.3,271.93,251.71,130.57,145.02,125.54,248.25,128.61,127.18,223.91,153.55,234.99,232.38,141.07,114.08,218.76,153.63,243.02,214.85,95.33,158.73,148.62,184.81,119.18,154.42,128.81,187.36,238.95,154.12,149.64,167.45,252.07,160.56,184.87,244.09,198.96,238.17,271.78,116.44,104.13,141.58,206.72,84.31,128.25,167.99,134.52,154.24,207.49,110.91,114.12,186.89,141.51,194.26,206.77,103.87,131.22,150.23,176.18
43,80.25,153.79,177.88,151.49,273.2,143.14,178.86,0,258.02,186.32,157.5,261.07,202.17,283.61,258.64,130.03,157.72,126.24,248.1,140.13,129.51,226.1,166.15,240.61,233.84,149.84,115.94,219.66,164.2,245.79,215.74,101.4,157.71,148.52,183.61,108.58,149.73,124.15,186.06,242.89,152.98,146.77,172.63,256.5,159.18,187.79,248.33,201.94,242.86,276.92,113.58,102.25,142.13,212.28,90.51,133.14,179.97,142.17,169.37,217.46,111.16,117.74,191.6,146.13,200.37,212.41,108.41,139.32,154.11,183.24
44,80.34,157.54,156.52,153.58,1000.84,148.22,158.94,134.05,968.61,173.76,161.25,1040.35,187.05,1065.73,1013.24,131.67,135.09,126.2,995.68,127.76,131.24,1045.26,149.74,1063.34,1026.85,133.89,115.42,1016.74,145.66,1046.56,988.11,88.32,1033.76,987.7,1032.59,105.94,153.17,133.21,192.97,252.57,158.56,154.73,184.57,266.28,165.49,196.54,258.2,211.78,252.77,286.02,113.43,106.65,145.85,218.24,96.73,137.14,189.48,149.43,181.1,223.71,113.07,123.56,198.02,151.98,205.76,218.45,106.8,140.54,154.43,181.26
45,78.53,174.46,176.92,168.01,996.88,171.13,181.74,156.17,935.48,198.97,178.32,1043.74,209.91,1074.67,1017.49,178.49,182.12,171.16,995.84,137.24,131.2,1041.99,155.81,1065.94,1023.36,202.28,179.58,1040.81,212.34,1072.91,1013.67,93.68,1040.36,986.05,1039.13,113.63,156.67,131.83,199.9,254.55,163.99,156.65,191.68,271.76,166.37,201.62,261.13,214.86,254.57,290.64,120.09,109.13,154.54,224.28,92.76,138.4,187.56,148.01,177.39,223.84,118.19,130.8,205.39,157.9,212.71,226.12,108.44,142.67,156.31,184.21
46,87.21,169.67,166.85,166.1,982.68,165.11,173.93,152.05,946.06,189.8,175.97,1033.57,202.15,1057.52,1009.15,140.79,143.47,134.91,974.11,129.94,129.43,1032.22,149.47,1050.03,1014.99,150.54,128.9,1009.11,160.58,1038.56,982.39,88.5,1030.08,981.95,1028.76,112.76,160.48,149.52,171.91,256.53,168.8,172.83,165.08,274.86,176,181.53,264.1,199.35,256.53,282.5,124.52,125.55,127.71,227.58,103.3,118.75,191.41,133.57,180.84,216.72,126.28,111.58,209.4,141.4,213.83,219.56,87.88,133.1,152.12,170.34
47,90.77,172.42,174.89,170.26,967.02,164.84,180.1,153.96,930.85,196.01,175.76,1017.74,207.98,1047.37,995.96,139,146.73,135.25,961.16,134.97,129.39,1020.39,154.07,1042.49,1005.74,150.96,123.88,995,161.35,1029.89,971.63,89.75,1023.39,971.02,1022.87,114.03,158.28,150.55,175.77,254.44,165.28,173.67,165.94,273.49,174.38,181.99,262.58,202.49,254.35,283.98,126.21,130.23,134.88,229.96,104.74,124.73,192.84,140.87,180.25,222.26,125.99,113.03,210.03,145.29,213.55,222.61,91.6,132.9,157.29,172.93
48,90.71,170.9,163.08,173.68,319.58,165.19,169.36,158.63,310.11,186.32,178.92,311.31,201.74,324.79,309.88,139.28,136.98,139.85,286.11,126.02,132.21,259.39,148.57,266.4,265.08,142.49,127.34,260.1,155.69,279.1,256.45,84.83,189.16,169.83,207.49,115.83,152.09,146.88,175.82,248.55,161.35,172.65,167.15,271.46,168.42,179.57,258.11,200.56,248.75,282.03,124.17,131.06,137.66,229.65,100.94,124.19,190.42,140.77,176.64,222.02,123.07,111.88,209.68,144.96,212.41,223.35,91.01,132.69,160.29,172.7
49,90.26,169.12,166.99,175.38,322.42,165.88,176.02,163.1,316.19,188.88,180.09,315.38,206.8,328.04,315.49,140.24,144.62,143.53,291.42,131.94,134.98,265.08,155.94,271.97,271.25,145.62,127.35,263.49,160.58,282.66,260.63,86.03,190.32,172.41,208.15,118.82,153.33,151.51,179.84,251.34,162.83,175.76,170.18,273.93,169.48,183.87,260.47,204.31,251.83,286.19,121.85,130.69,137.6,228.57,97.42,124.3,188.13,140.64,175.4,222.25,120.44,113.41,209.49,144.5,211.5,224.44,90.41,130.27,163.18,172.71
50,89.81,169.84,168.44,176.77,321.06,167.59,178.45,165.71,316.81,190.85,181.74,314.76,209.23,326.3,316.1,141.86,147.27,145.64,291.23,134.46,136.47,263.97,158.51,270.06,270.98,148.36,129.3,263.61,163.6,281.97,261.81,86.81,187.08,170.56,205.55,117.19,155.01,151.4,182.82,250.25,167.02,176.92,177.23,275.3,170.58,188.3,261.3,206.66,251.27,288.42,123.65,130.72,140.67,229.21,98.45,125.8,189.28,141.33,176.42,223.2,122.66,118.91,213.02,147.94,213.67,229.34,88.92,129.58,162.66,171.77
51,87.86,169.51,167.03,175.31,317.16,166.65,176.17,163.65,312.7,189.63,180.6,310.64,207.39,321.85,312.29,142.6,146.53,145.46,288.65,134.02,136.45,260.63,157.64,266.24,268.13,149.1,130.72,262.1,163.92,279.73,260.81,86.72,183.52,168.1,202.98,118.96,160.41,155.61,189.49,254.59,167.99,177.68,181.19,276.95,175.37,191.88,266.5,210.96,255.82,292.79,124.28,129.97,144.43,228.95,101.34,128.8,192.19,143.88,177.51,225.43,121.28,118.37,212.42,147.95,212.24,229.78,88.56,131.7,162.25,171.46
52,80.86,161,157.5,166.92,308.66,157.83,166.57,154.47,303.69,179.86,172.27,301.34,198.44,312.84,303.28,141.36,144.29,144.05,287.31,133.62,137.89,261,158.25,266.68,268.98,145.99,128.74,259.33,161.35,277.26,258.03,88.33,184.09,169.38,204.74,119.65,163.51,156.88,194,257.61,169.89,177.85,185.89,279.19,178.05,195.66,270.53,214.19,259.04,296.92,123.06,127.06,145.5,228.23,101.58,129.6,193.89,144.16,178.44,226.72,120.06,118.99,212.97,148.15,212.11,231.31,88.59,134.12,162.89,172.6
53,81.44,161.15,158.18,170.66,309.75,158.27,167.4,158.03,304.69,180.67,176.36,302.83,202.85,314.8,304.94,139.43,142.99,145.58,286.19,133.16,140.82,261.24,161.73,267.64,269.75,144.49,130.29,258.28,163.3,276.78,257.03,92.1,185.39,170.7,206.56,117.13,161.16,154.9,188.24,256.11,169.14,176.37,181.63,277.92,175.72,191.76,268.35,209.6,257.39,293.39,122.42,126.38,141.22,228,99.07,124.69,191.78,139.26,177.55,223.13,121.5,119.06,214.55,147.1,213.81,231.32,85.89,132.9,161.19,171.05
54,82.32,163.74,162.63,175.18,314.65,161.35,171.77,164.49,310.2,186.12,179.78,308.86,208.08,321.5,310.22,136.95,142.24,145.6,286.21,132.92,137.21,261.2,160.39,268.71,268.06,146.93,131.4,261.63,166.12,280.68,260.21,90.65,188.59,169.05,205.99,114.48,163.57,152.27,187.14,254.55,170.33,172.83,179.64,274.37,176.14,191.07,265.57,207.52,255.21,288.97,127.58,126.36,143.57,227.72,100.76,126.09,190.01,138.83,175.94,220.1,125.89,123.16,214.39,149.68,214.11,230.21,86.43,130.63,154.84,168.52
55,89.08,168.75,167.26,179.32,317.94,167.79,177.86,170.06,314.83,191.68,185.16,313.26,212.88,325.46,314.65,135.51,141.11,143.07,282.9,131.02,134.26,257.43,157.51,265.15,264.11,146.15,129.52,258.85,164.33,278.13,257.22,89.68,186.81,167.18,204.12,115.26,160.89,153.63,173.33,257.35,164.36,172.19,157.14,273.33,174.45,182.08,264.74,200.89,257.09,286.94,124.91,127.56,129.03,228.31,102,126.15,191.9,139.78,179.07,225.44,121.53,110.95,208.86,139.66,211.12,222.75,93.41,131.33,165.65,178.88
56,93.47,173.72,168.27,182.84,319.3,176.13,181.72,176,319.8,194.32,191.21,315.82,215.32,325.78,318.44,143.57,145.56,148.73,287.23,128.06,133.84,253.15,154.34,259.51,261.06,154.39,139.87,266.52,171.43,283.92,265.18,88.88,182.19,166.06,201.98,115.34,156.65,151.54,171.38,258.8,155.72,167.97,151.16,270.3,170.24,174.37,262.5,196.66,257.24,282.37,122.15,127.22,129.43,229.45,103.4,126.55,195.56,141.66,183.11,227.26,116.17,102.67,203.39,135.14,208.31,215.81,93.23,135.38,163.82,178.78
57,99.58,173.5,167.99,188.74,320.14,175.72,181.97,181.67,321.9,193.18,193.91,317.13,217.47,324.5,321.47,137.98,140.46,149.08,283.28,123.03,132.68,249.86,152.48,253.47,259.37,146.35,134.94,260.96,166.51,276.33,261.16,87.39,180.21,166.07,198.75,114.93,151.18,145.18,162.38,255.45,150.64,160.79,141.08,264.23,162.22,165.72,256.01,184.97,253.82,271.95,116.3,119.34,120.04,223.33,90.34,114.24,184.67,126.38,175.37,213.91,111.97,98.97,199.48,127.25,206.33,207.96,86.64,132.86,157.69,173.64
58,106.7,175.7,167.93,195.18,320.24,183.37,187.79,192.85,327.95,193.39,199.9,318.62,220.54,323.17,324.62,145.36,146.86,159.13,288.73,122.47,136.19,249.4,153.91,251.05,259.7,150.18,141.7,264.96,171.61,278.78,265.25,85.27,176.07,163.98,194.02,115.9,153.32,145.32,170.53,256.36,149.61,158.59,149.44,261.59,161.98,168.2,254.8,187.27,253.66,269.4,116.39,117.57,127.32,221.5,94.07,119.19,187.83,130.46,178.88,213.53,106.33,97.08,192.04,125.33,200.08,200.36,83.18,132.38,148.03,166.15
59,109.15,180.92,170.58,206.1,318.8,188.18,190.2,204.43,327.63,198.87,209.47,318.43,229.72,321.4,326.19,144.5,144.05,164.38,282.45,123.86,140.55,244.39,158.34,244.9,255.78,150.39,145.78,260.12,175.94,272.99,262.59,89.01,171.83,157.78,188.89,116.51,153.25,144.63,169.7,255.41,145.67,155.77,147.2,256.83,160.54,163.84,251.49,184.05,251.16,263.99,116.13,117.52,127.38,220.04,101.44,123.18,193.86,134.67,184.81,216.08,98.67,86.77,181.36,116.98,191.04,188.67,80.81,132.89,142.39,162.17
60,111.49,185.01,171.45,216.1,315.37,189.22,188.49,212.22,323,202.84,217.33,315.86,237.76,317.52,325.76,141.1,137.41,167.85,272.73,121.34,142.56,235.18,160.03,233.88,248.84,148.95,149.24,253.37,179.53,264.9,258.94,95.06,168.17,152.98,185.67,115.63,146.77,141.5,163.75,251.51,141.37,153.96,141.62,252.04,156.02,160.18,246.79,180.64,248.48,258.44,107.16,111.62,118.37,212.07,92.93,116.18,186.07,128.5,179.63,208.68,93.78,82.45,174.99,112.62,186.4,180.87,81.36,131.32,142.29,161.57
61,109.39,184.96,167.1,216.06,309.53,190.71,185.71,212.87,319.34,200.79,218.27,310.67,236.94,311.12,322.92,147.93,140.01,174.09,274.32,122.76,147.17,233.33,162.92,230.86,249.59,153.92,156.52,255.69,185.13,266.08,263,97.72,164.6,151.85,185.91,115.77,151.69,150.39,174.28,259.75,149.77,163.37,155.67,260.72,163.44,173.95,255.2,194.22,257.69,267.71,111.72,119.15,127.75,218.96,99.41,126.23,193.64,140.32,189.95,216.29,98.1,93.33,180.31,122.32,191.53,186.27,84.94,130.36,143.31,161.2
62,107.02,184.41,162.69,203.67,304.67,191.94,182.11,202.41,315.55,197.38,208.97,305.7,224.05,306.02,315.78,150.79,138.63,165,272.63,122.28,139.95,231.16,152.69,229.15,244.98,153.6,150.58,253.94,175.21,263.82,258.96,88.03,160.23,146.67,181.45,108.12,151.81,151.22,171.22,261.78,149.64,163.47,154.05,262.53,166.35,172.3,257.56,194.69,260.88,268.88,113.58,121.28,127.48,223.11,102.65,124.23,196.64,140.49,193.82,217.45,107.3,99.47,189.79,130.15,201.4,195.61,86.09,134.12,143.7,163.87
