track,frame_idx,Head.x,Head.y,Thorax.x,Thorax.y,Abdomen.x,Abdomen.y,Tail.x,Tail.y
track_0,0,592.7771606445312,97.11058807373047,576.7151489257812,100.80319213867188,553.2176513671875,113.28211212158203,532.8674926757812,133.28671264648438
track_1,0,368.6683044433594,308.0374450683594,388.0874328613281,323.8598937988281,404.666015625,336.4837341308594,424.3467102050781,355.7909240722656
track_2,0,620.3255615234375,356.6453552246094,612.2943115234375,340.9407958984375,596.6471557617188,317.06378173828125,584.4827270507812,293.44049072265625
track_3,0,659.7026977539062,380.24456787109375,672.0661010742188,368.4123840332031,683.910888671875,348.2527160644531,692.0801391601562,332.2403869628906
track_4,0,444.1688232421875,436.3778381347656,468.14227294921875,440.5752258300781,492.2550964355469,440.86602783203125,512.486083984375,444.68316650390625
track_0,1,592.859375,99.8104248046875,576.73681640625,103.73680114746094,552.9639892578125,112.41747283935547,529.1842651367188,131.86428833007812
track_1,1,364.21978759765625,308.14459228515625,383.9102783203125,323.8070983886719,403.67254638671875,335.8829040527344,423.771484375,351.74053955078125
track_2,1,620.3299560546875,356.1324462890625,612.3167114257812,343.84576416015625,596.8778076171875,319.65216064453125,584.6324462890625,295.8537292480469
track_3,1,659.8067016601562,380.4112854003906,672.0579223632812,368.48419189453125,683.9055786132812,348.2955627441406,692.0872192382812,332.2272033691406
track_4,1,444.424560546875,436.4322509765625,468.33270263671875,440.5776672363281,492.48541259765625,440.889404296875,512.7356567382812,444.6849060058594
track_0,2,595.9405517578125,103.54468536376953,579.927978515625,103.86305236816406,555.7942504882812,112.0593032836914,531.9334716796875,128.48257446289062
track_1,2,356.8968811035156,307.7701416015625,376.2462158203125,319.92120361328125,396.2880554199219,331.97113037109375,419.974853515625,347.639404296875
track_2,2,620.5882568359375,356.31048583984375,612.4625854492188,344.0020446777344,597.0619506835938,319.9261474609375,584.6954956054688,296.17877197265625
track_3,2,659.8499755859375,380.15771484375,672.10888671875,368.1881103515625,683.9189453125,348.005126953125,692.1159057617188,332.1116027832031
track_4,2,444.65252685546875,432.7370910644531,468.2637939453125,440.2060852050781,492.3597106933594,440.30859375,512.556396484375,444.176513671875
track_0,3,595.9442138671875,103.54356384277344,579.932373046875,103.8604965209961,555.7996826171875,112.05960083007812,531.9384155273438,128.48684692382812
track_1,3,356.8923645019531,307.7664489746094,376.2408447265625,319.9166259765625,396.2831726074219,331.9674987792969,419.972412109375,347.6358642578125
track_2,3,620.5851440429688,356.3036193847656,612.457763671875,343.99517822265625,597.05615234375,319.9246826171875,584.691650390625,296.1730041503906
track_3,3,659.8477783203125,380.15472412109375,672.1087036132812,368.180419921875,683.9183959960938,348.0025939941406,692.11572265625,332.1104736328125
track_4,3,444.6526794433594,432.73699951171875,468.2660217285156,440.2083435058594,492.36749267578125,440.3120422363281,512.558349609375,444.18023681640625
track_0,4,596.3998413085938,104.2114028930664,580.3773803710938,103.92959594726562,556.0293579101562,108.49574279785156,530.2921142578125,123.82070922851562
track_1,4,356.6094665527344,303.87939453125,376.0368347167969,316.1294860839844,395.8238220214844,328.4739990234375,416.3235778808594,344.08355712890625
track_2,4,620.6066284179688,356.37554931640625,612.4133911132812,344.06695556640625,597.0252685546875,319.99261474609375,584.6311645507812,296.2376403808594
track_3,4,659.8858642578125,380.0667724609375,672.1702880859375,368.1163024902344,683.9883422851562,347.97723388671875,692.1550903320312,332.081298828125
track_4,4,444.07781982421875,432.5336608886719,468.00201416015625,440.0938720703125,492.0100402832031,440.0306396484375,512.1096801757812,443.8811340332031
track_0,5,596.1488037109375,107.73443603515625,580.2903442382812,103.96450805664062,552.98486328125,107.77957916259766,529.9698486328125,116.66292572021484
track_1,5,356.8252868652344,296.9578857421875,372.66961669921875,312.2837829589844,392.4393005371094,324.9725341796875,413.1849365234375,343.82666015625
track_2,5,620.4259033203125,356.5308532714844,612.3037109375,344.1116943359375,596.9488525390625,320.0331115722656,584.57861328125,296.2492980957031
track_3,5,659.9334106445312,380.2662353515625,672.1232299804688,368.2222900390625,683.9453125,348.10333251953125,692.1344604492188,332.1898193359375
track_4,5,443.67694091796875,432.66119384765625,467.7062072753906,439.9958801269531,491.7176208496094,439.7434997558594,511.8623962402344,440.659912109375
track_0,6,592.5563354492188,108.97279357910156,579.8768920898438,104.64219665527344,552.5390625,108.26107788085938,529.77001953125,120.45088195800781
track_1,6,356.52838134765625,295.9623718261719,372.324462890625,311.94976806640625,389.08197021484375,324.5133056640625,412.1113586425781,343.62908935546875
track_2,6,620.390625,356.5141296386719,612.2974853515625,344.0998840332031,596.943115234375,320.0223388671875,584.5787963867188,296.2438049316406
track_3,6,660.015869140625,380.4530334472656,672.1468505859375,368.3457946777344,683.96923828125,348.22711181640625,692.1467895507812,332.30487060546875
track_4,6,440.8181457519531,432.70458984375,464.5733947753906,436.7885437011719,488.73492431640625,437.43841552734375,509.0687561035156,441.2177734375
track_0,7,592.4473266601562,111.96971130371094,576.5047607421875,108.05415344238281,552.3541870117188,107.84646606445312,526.5157470703125,116.43719482421875
track_1,7,355.890625,293.1575012207031,371.9609680175781,308.6868591308594,388.45916748046875,324.56939697265625,408.476806640625,344.41326904296875
track_2,7,620.3526000976562,356.52850341796875,612.2285766601562,344.07421875,596.8801879882812,320.0088806152344,584.5371704101562,296.2306213378906
track_3,7,660.03125,380.667724609375,672.0574951171875,368.5440673828125,683.8826904296875,348.42633056640625,692.0795288085938,332.52001953125
track_4,7,440.9634094238281,432.2096862792969,464.63299560546875,436.55975341796875,488.7327880859375,437.1172790527344,508.9552001953125,440.9990234375
track_0,8,592.3924560546875,112.47891998291016,576.4351806640625,108.14546203613281,552.3571166992188,104.66751098632812,526.367919921875,112.45903015136719
track_1,8,353.15478515625,292.44921875,368.8707580566406,308.2912902832031,388.5791015625,324.09521484375,408.59295654296875,340.83856201171875
track_2,8,620.2252197265625,356.5679931640625,612.1864013671875,344.10333251953125,596.8131713867188,320.0566101074219,584.4212036132812,296.2713317871094
track_3,8,660.0537109375,380.7826232910156,672.0491943359375,368.6763000488281,683.8635864257812,348.54742431640625,692.0205078125,332.6158142089844
track_4,8,440.5721130371094,428.8379211425781,464.3506774902344,436.1707763671875,488.38079833984375,436.433837890625,508.46258544921875,440.2005310058594
track_0,9,592.3799438476562,112.4716796875,576.426025390625,108.14127349853516,552.33349609375,104.66754150390625,526.3570556640625,112.45674133300781
track_1,9,353.1646728515625,292.4543762207031,368.875732421875,308.29656982421875,388.5827941894531,324.0953063964844,408.5945739746094,340.8380432128906
