VIDEO,ANIMAL 1,ANIMAL 2,ANIMAL 2 KEYPOINT,MEASUREMENT,VALUE
My_termites_video_1,Animal_1,Animal_2,None,INTERACTION BOUT COUNT,2
My_termites_video_1,Animal_1,Animal_2,None,INTERACTION TIME (s),2.0667
My_termites_video_1,Animal_1,Animal_3,None,INTERACTION BOUT COUNT,5
My_termites_video_1,Animal_1,Animal_3,Tail,INTERACTION BOUT COUNT,1
My_termites_video_1,Animal_1,Animal_3,None,INTERACTION TIME (s),2.3
My_termites_video_1,Animal_1,Animal_3,Tail,INTERACTION TIME (s),1.9
My_termites_video_1,Animal_1,Animal_4,None,INTERACTION BOUT COUNT,5
My_termites_video_1,Animal_1,Animal_4,Head,INTERACTION BOUT COUNT,1
My_termites_video_1,Animal_1,Animal_4,Tail,INTERACTION BOUT COUNT,1
My_termites_video_1,Animal_1,Animal_4,None,INTERACTION TIME (s),6.1667
My_termites_video_1,Animal_1,Animal_4,Head,INTERACTION TIME (s),0.8667
My_termites_video_1,Animal_1,Animal_4,Tail,INTERACTION TIME (s),0.4
My_termites_video_1,Animal_2,Animal_1,None,INTERACTION BOUT COUNT,2
My_termites_video_1,Animal_2,Animal_1,Abdomen,INTERACTION BOUT COUNT,2
My_termites_video_1,Animal_2,Animal_1,Tail,INTERACTION BOUT COUNT,2
My_termites_video_1,Animal_2,Animal_1,None,INTERACTION TIME (s),2.0667
My_termites_video_1,Animal_2,Animal_1,Abdomen,INTERACTION TIME (s),0.1667
My_termites_video_1,Animal_2,Animal_1,Tail,INTERACTION TIME (s),1.2
My_termites_video_1,Animal_2,Animal_5,None,INTERACTION BOUT COUNT,1
My_termites_video_1,Animal_2,Animal_5,Abdomen,INTERACTION BOUT COUNT,1
My_termites_video_1,Animal_2,Animal_5,Head,INTERACTION BOUT COUNT,2
My_termites_video_1,Animal_2,Animal_5,Tail,INTERACTION BOUT COUNT,1
My_termites_video_1,Animal_2,Animal_5,Thorax,INTERACTION BOUT COUNT,4
My_termites_video_1,Animal_2,Animal_5,None,INTERACTION TIME (s),4
My_termites_video_1,Animal_2,Animal_5,Abdomen,INTERACTION TIME (s),0.1
My_termites_video_1,Animal_2,Animal_5,Head,INTERACTION TIME (s),1.8667
My_termites_video_1,Animal_2,Animal_5,Tail,INTERACTION TIME (s),0.0333
My_termites_video_1,Animal_2,Animal_5,Thorax,INTERACTION TIME (s),1.5667
My_termites_video_1,Animal_3,Animal_1,None,INTERACTION BOUT COUNT,5
My_termites_video_1,Animal_3,Animal_1,None,INTERACTION TIME (s),2.3
My_termites_video_1,Animal_3,Animal_4,None,INTERACTION BOUT COUNT,11
My_termites_video_1,Animal_3,Animal_4,Abdomen,INTERACTION BOUT COUNT,6
My_termites_video_1,Animal_3,Animal_4,Head,INTERACTION BOUT COUNT,2
My_termites_video_1,Animal_3,Animal_4,Tail,INTERACTION BOUT COUNT,2
My_termites_video_1,Animal_3,Animal_4,Thorax,INTERACTION BOUT COUNT,3
My_termites_video_1,Animal_3,Animal_4,None,INTERACTION TIME (s),10.8333
My_termites_video_1,Animal_3,Animal_4,Abdomen,INTERACTION TIME (s),1.7333
My_termites_video_1,Animal_3,Animal_4,Head,INTERACTION TIME (s),0.7
My_termites_video_1,Animal_3,Animal_4,Tail,INTERACTION TIME (s),4.4667
My_termites_video_1,Animal_3,Animal_4,Thorax,INTERACTION TIME (s),0.6667
My_termites_video_1,Animal_4,Animal_1,None,INTERACTION BOUT COUNT,5
My_termites_video_1,Animal_4,Animal_1,Head,INTERACTION BOUT COUNT,1
My_termites_video_1,Animal_4,Animal_1,Tail,INTERACTION BOUT COUNT,2
My_termites_video_1,Animal_4,Animal_1,None,INTERACTION TIME (s),6.1667
My_termites_video_1,Animal_4,Animal_1,Head,INTERACTION TIME (s),0.8667
My_termites_video_1,Animal_4,Animal_1,Tail,INTERACTION TIME (s),1.1667
