,VIDEO,ANIMAL,BODY-PART,SHAPE,MOVEMENT INSIDE SHAPE (CM),VELOCITY INSIDE SHAPE (CM/S)
0,Together_1,Simon,Ear_left_1,Rectangle_1,33.242173767089845,7.685289337961503
1,Together_1,Simon,Ear_left_1,Polygon_1,50.17140559256076,7.547794982909079
2,Together_1,JJ,Ear_left_2,Rectangle_1,40.180477142333984,6.291083644759794
3,Together_1,JJ,Ear_left_2,Polygon_1,48.2344698548317,4.927557567606681
