issue_id,author,title,commenter_usernames,comment_count,unique_commenter_count,link,issue_post_date,last_comment_date
390,GKNM995,Trouble importing BORIS annotations,[],14,1,https://github.com/sgoldenlab/simba/issues/390,2024-09-13T06:17:29Z,
389,sara-xinyue-liang,"""Node array"" Error when trying to run the simba classifiers trained on another computer. ",[],3,1,https://github.com/sgoldenlab/simba/issues/389,2024-09-09T14:07:28Z,
388,djg9324,Training Multiple Behaviors? And Mistake in Labeling ,[],0,1,https://github.com/sgoldenlab/simba/issues/388,2024-09-06T13:19:47Z,
387,bancroftg,ROI show shape info,[],6,1,https://github.com/sgoldenlab/simba/issues/387,2024-09-05T19:36:20Z,
386,ltaxi,"Extracting Features ""numba.core.errors.UnsupportedRewriteError: Failed in nopython mode pipeline (step: convert to parfors) Only constant step size of 1 is supported for prange""",[],4,1,https://github.com/sgoldenlab/simba/issues/386,2024-08-29T13:59:52Z,
385,sara-xinyue-liang,Attribute error during training,[],4,1,https://github.com/sgoldenlab/simba/issues/385,2024-08-28T21:51:26Z,
384,djg9324,Cannot load tracking files,[],2,1,https://github.com/sgoldenlab/simba/issues/384,2024-08-28T19:03:45Z,
383,sara-xinyue-liang,"Error in ""Import MARS Annotation"" ",[],12,1,https://github.com/sgoldenlab/simba/issues/383,2024-08-27T19:15:15Z,
382,kjmartin44,No Behaviors Marked as None?,[],49,1,https://github.com/sgoldenlab/simba/issues/382,2024-08-22T18:56:47Z,
381,fidelDLC,Question about CSV files,[],6,1,https://github.com/sgoldenlab/simba/issues/381,2024-08-22T01:58:51Z,
380,gxkjj,"When I import the DLC data, it gives an error",[],3,1,https://github.com/sgoldenlab/simba/issues/380,2024-08-14T00:28:32Z,
379,leahsalinsky,Error when installing Simba on Python 3.10,[],30,1,https://github.com/sgoldenlab/simba/issues/379,2024-08-13T19:20:57Z,
378,hdsliu,ROI Analysis missing columns after update. ,[],7,1,https://github.com/sgoldenlab/simba/issues/378,2024-08-05T20:00:32Z,
377,ATAICwillbebest,Installation of simba error,[],1,1,https://github.com/sgoldenlab/simba/issues/377,2024-07-31T16:12:23Z,
376,KaiserArndt2,Import DLC data button missing,[],7,1,https://github.com/sgoldenlab/simba/issues/376,2024-07-30T16:10:52Z,
375,KaiserArndt2,Simba not running after install,[],21,1,https://github.com/sgoldenlab/simba/issues/375,2024-07-23T16:38:34Z,
374,MBRINLE1,Video Parameters Opening Black Frames,[],14,1,https://github.com/sgoldenlab/simba/issues/374,2024-07-22T13:59:26Z,
373,wallawhitecoat,Plotly Interface is not available,[],3,1,https://github.com/sgoldenlab/simba/issues/373,2024-07-17T15:46:55Z,
372,SnowySnowySnowy,New to simba - installation not working on Mac M2 Max,[],40,1,https://github.com/sgoldenlab/simba/issues/372,2024-07-16T21:31:03Z,
371,hdsliu,Remapping keyboard shortcuts for behavior annotation. ,[],9,1,https://github.com/sgoldenlab/simba/issues/371,2024-07-16T19:28:23Z,
370,SnowySnowySnowy,Should preprocessed videos be those used in SLEAP?,[],1,1,https://github.com/sgoldenlab/simba/issues/370,2024-07-15T16:56:21Z,
369,qarden,Determination of classifier thresholds,[],1,1,https://github.com/sgoldenlab/simba/issues/369,2024-07-10T14:18:29Z,
368,GKNM995,Trouble installing simba,[],26,1,https://github.com/sgoldenlab/simba/issues/368,2024-06-28T20:56:03Z,
367,wallawhitecoat,Using Random forest behavioral classifiers from OSF repository ,[],26,1,https://github.com/sgoldenlab/simba/issues/367,2024-06-10T23:03:32Z,
366,lpereiras17,How to remove video from behavioral annotation dataset,[],1,1,https://github.com/sgoldenlab/simba/issues/366,2024-06-09T12:56:47Z,
365,wallawhitecoat,SIMBA VALUE ERROR- Issue Importing H5 and slp tracking data ,[],10,1,https://github.com/sgoldenlab/simba/issues/365,2024-05-30T16:04:17Z,
364,AndyWeasley2004,Undersample still results serious imbalance,[],2,1,https://github.com/sgoldenlab/simba/issues/364,2024-05-28T21:17:11Z,
363,breannashi,Analyze ROI data not working for multiple videos,[],13,1,https://github.com/sgoldenlab/simba/issues/363,2024-05-28T17:35:34Z,
362,breannashi,Unable to add ROIs Ubuntu,[],3,1,https://github.com/sgoldenlab/simba/issues/362,2024-05-16T19:00:09Z,
361,NSGregory,Certain filename patterns prevent importing SLEAP H5 files,[],10,1,https://github.com/sgoldenlab/simba/issues/361,2024-05-15T21:42:08Z,
360,AndyWeasley2004,SHAP Multiprocessing Failed,[],4,1,https://github.com/sgoldenlab/simba/issues/360,2024-05-09T21:09:50Z,
359,AndyWeasley2004,SHAP visualization failed,[],7,1,https://github.com/sgoldenlab/simba/issues/359,2024-05-08T17:36:26Z,
358,Monica9577,Problem analyzing ROI data Aggregates,[],26,1,https://github.com/sgoldenlab/simba/issues/358,2024-04-26T10:06:28Z,
357,fidelDLC,labelling behavior,[],22,1,https://github.com/sgoldenlab/simba/issues/357,2024-04-17T21:53:05Z,
356,idawettergren,Segementation fault when creating a new project,[],9,1,https://github.com/sgoldenlab/simba/issues/356,2024-04-17T11:54:12Z,
