,Angle (degrees) Ear_left_1-Ear_right_1-Nose_1,Angle (degrees) Ear_left_1-Ear_right_1-Center_1,Angle (degrees) Ear_left_1-Ear_right_1-Lat_left_1,Angle (degrees) Ear_left_1-Ear_right_1-Lat_right_1,Angle (degrees) Ear_left_1-Ear_right_1-Tail_base_1,Angle (degrees) Ear_left_1-Nose_1-Center_1,Angle (degrees) Ear_left_1-Nose_1-Lat_left_1,Angle (degrees) Ear_left_1-Nose_1-Lat_right_1,Angle (degrees) Ear_left_1-Nose_1-Tail_base_1,Angle (degrees) Ear_left_1-Center_1-Lat_left_1,Angle (degrees) Ear_left_1-Center_1-Lat_right_1,Angle (degrees) Ear_left_1-Center_1-Tail_base_1,Angle (degrees) Ear_left_1-Lat_left_1-Lat_right_1,Angle (degrees) Ear_left_1-Lat_left_1-Tail_base_1,Angle (degrees) Ear_left_1-Lat_right_1-Tail_base_1,Angle (degrees) Ear_right_1-Nose_1-Center_1,Angle (degrees) Ear_right_1-Nose_1-Lat_left_1,Angle (degrees) Ear_right_1-Nose_1-Lat_right_1,Angle (degrees) Ear_right_1-Nose_1-Tail_base_1,Angle (degrees) Ear_right_1-Center_1-Lat_left_1,Angle (degrees) Ear_right_1-Center_1-Lat_right_1,Angle (degrees) Ear_right_1-Center_1-Tail_base_1,Angle (degrees) Ear_right_1-Lat_left_1-Lat_right_1,Angle (degrees) Ear_right_1-Lat_left_1-Tail_base_1,Angle (degrees) Ear_right_1-Lat_right_1-Tail_base_1,Angle (degrees) Nose_1-Center_1-Lat_left_1,Angle (degrees) Nose_1-Center_1-Lat_right_1,Angle (degrees) Nose_1-Center_1-Tail_base_1,Angle (degrees) Nose_1-Lat_left_1-Lat_right_1,Angle (degrees) Nose_1-Lat_left_1-Tail_base_1,Angle (degrees) Nose_1-Lat_right_1-Tail_base_1,Angle (degrees) Center_1-Lat_left_1-Lat_right_1,Angle (degrees) Center_1-Lat_left_1-Tail_base_1,Angle (degrees) Center_1-Lat_right_1-Tail_base_1,Angle (degrees) Lat_left_1-Lat_right_1-Tail_base_1,Angle (degrees) Ear_left_2-Ear_right_2-Nose_2,Angle (degrees) Ear_left_2-Ear_right_2-Center_2,Angle (degrees) Ear_left_2-Ear_right_2-Lat_left_2,Angle (degrees) Ear_left_2-Ear_right_2-Lat_right_2,Angle (degrees) Ear_left_2-Ear_right_2-Tail_base_2,Angle (degrees) Ear_left_2-Nose_2-Center_2,Angle (degrees) Ear_left_2-Nose_2-Lat_left_2,Angle (degrees) Ear_left_2-Nose_2-Lat_right_2,Angle (degrees) Ear_left_2-Nose_2-Tail_base_2,Angle (degrees) Ear_left_2-Center_2-Lat_left_2,Angle (degrees) Ear_left_2-Center_2-Lat_right_2,Angle (degrees) Ear_left_2-Center_2-Tail_base_2,Angle (degrees) Ear_left_2-Lat_left_2-Lat_right_2,Angle (degrees) Ear_left_2-Lat_left_2-Tail_base_2,Angle (degrees) Ear_left_2-Lat_right_2-Tail_base_2,Angle (degrees) Ear_right_2-Nose_2-Center_2,Angle (degrees) Ear_right_2-Nose_2-Lat_left_2,Angle (degrees) Ear_right_2-Nose_2-Lat_right_2,Angle (degrees) Ear_right_2-Nose_2-Tail_base_2,Angle (degrees) Ear_right_2-Center_2-Lat_left_2,Angle (degrees) Ear_right_2-Center_2-Lat_right_2,Angle (degrees) Ear_right_2-Center_2-Tail_base_2,Angle (degrees) Ear_right_2-Lat_left_2-Lat_right_2,Angle (degrees) Ear_right_2-Lat_left_2-Tail_base_2,Angle (degrees) Ear_right_2-Lat_right_2-Tail_base_2,Angle (degrees) Nose_2-Center_2-Lat_left_2,Angle (degrees) Nose_2-Center_2-Lat_right_2,Angle (degrees) Nose_2-Center_2-Tail_base_2,Angle (degrees) Nose_2-Lat_left_2-Lat_right_2,Angle (degrees) Nose_2-Lat_left_2-Tail_base_2,Angle (degrees) Nose_2-Lat_right_2-Tail_base_2,Angle (degrees) Center_2-Lat_left_2-Lat_right_2,Angle (degrees) Center_2-Lat_left_2-Tail_base_2,Angle (degrees) Center_2-Lat_right_2-Tail_base_2,Angle (degrees) Lat_left_2-Lat_right_2-Tail_base_2
90,75.07,190.73,213.39,185.44,168.7,234.82,276.6,231.38,224.87,359.95,27.19,17.42,173.5,150.14,17.78,303.35,345.12,299.91,293.4,357.8,25.05,15.28,148.82,125.46,16.53,350.11,17.35,7.58,122.02,98.66,6.99,353.69,330.33,166.2,19.76,40.1,155.77,174.79,23.28,64.23,220.92,233.38,2.52,224.3,316.5,12.65,18.47,17.07,34.81,208.23,334.7,347.15,116.3,338.08,334.83,30.98,36.81,21.42,39.15,337.89,295.81,351.96,357.78,348.95,6.69,24.77,245.6,263.34,354.42,344.96
91,76.19,191.85,214.76,186.57,169.69,235.11,276.9,231.67,225.16,0.17,27.45,17.59,174.31,150.67,17.96,303.35,345.14,299.91,293.41,357.76,25.05,15.19,148.53,124.89,16.43,350.07,17.35,7.49,121.95,98.31,6.89,353.68,330.03,166.1,19.71,8.23,155.53,174.55,21.73,52.81,206.75,213.3,178.26,199.08,316.22,12.29,15.54,16.23,29.26,211.51,350.76,357.31,322.27,343.09,334.83,30.9,34.15,20.79,33.83,341.18,311.37,7.44,10.69,9.79,22.83,212.39,244.98,258.01,356.47,347.56
92,34.52,192.1,214.9,186.82,169.76,242.52,261.48,238.74,230.1,0.28,27.55,17.68,174.7,150.81,18.05,341.16,0.12,337.38,328.73,357.78,25.05,15.17,148.66,124.76,16.43,354.19,21.46,11.59,148.91,125.01,11.34,353.68,329.78,166.1,19.7,7.83,155.41,174.42,20.15,39.52,204.95,211.43,175.85,200.58,316.06,11.44,9.78,15.13,21.39,215.83,350.9,357.38,321.81,346.54,334.83,30.21,28.56,19.8,26.06,347.5,311.51,6.89,5.23,9.02,15.28,218.01,243.99,250.25,2.03,353.42
93,33.71,191.29,213.74,186,168.74,240.46,259.31,236.68,227.92,0.19,27.41,17.58,174.38,150.29,17.95,341.16,0.01,337.38,328.62,357.82,25.05,15.21,149.07,124.97,16.51,354.24,21.46,11.63,149.08,124.99,11.42,353.69,329.6,166.18,19.71,7.31,155.63,174.65,17.84,25.89,203.65,210.04,179.74,204.81,316.21,9.78,2.89,13.33,12.91,218.22,351.16,357.55,327.25,352.32,334.83,28.4,21.52,17.82,17.4,355.07,311.99,5.57,358.68,7.61,7.19,218.36,242.01,241.59,8.88,0.45
94,30.37,187.94,209.98,182.66,165.21,236.85,255.57,233.08,224.19,359.53,26.7,16.94,171.97,147.7,17.26,341.16,359.88,337.38,328.49,357.87,25.05,15.29,149.54,125.27,16.63,354.29,21.46,11.71,149.27,125.01,11.54,353.7,329.44,166.3,19.77,6.54,156.42,175.44,15.12,16.52,201.81,208.05,184.15,206.35,316.82,7.85,358.53,11.22,7.53,215.99,351.62,357.86,333.96,356.16,334.83,25.86,16.53,15.05,11.36,359.2,313.1,4.13,354.8,6.1,2.41,213.83,239.24,235.55,12.05,3.84
95,27.87,182.51,204.29,177.23,159.65,230.44,250.7,226.68,217.81,358.38,25.56,15.9,167.73,143.26,16.11,338.56,358.82,334.81,325.93,357.87,25.05,15.39,149.78,125.31,16.76,353.95,21.12,11.47,147.38,122.91,11.31,353.69,329.22,166.43,19.91,6.04,157.88,176.9,12.76,9.11,199,205.17,184.87,205.67,317.97,6.34,356.36,9.49,4.1,213.71,352.04,358.21,337.91,358.7,334.83,23.2,13.23,12.1,6.7,2.23,314.63,3,353.03,4.75,359.35,211.04,236.28,230.89,13.91,6
96,31.47,182.87,204.85,177.59,159.99,231.54,253.57,227.83,219.12,358.37,25.63,16.06,167.67,142.97,16.32,335.73,357.76,332.02,323.31,357.78,25.05,15.48,149.46,124.75,16.88,353.45,20.71,11.15,145.09,120.38,10.98,353.66,328.95,166.56,20.16,64.89,137.53,142.26,97.04,134.13,197.8,203.96,184.76,204.85,319.28,5.96,356.22,9.12,3.72,212.31,263.45,269.6,250.41,270.5,326.74,13.42,3.68,16.49,11.09,247.8,315.93,2.61,352.87,4.26,358.86,209.55,234.48,229.08,13.89,6.09
97,32.5,183.36,206.66,178.07,160.57,228.98,251.66,225.3,216.8,358.35,25.77,16.27,167.8,143.1,16.48,335.35,358.03,331.67,323.17,357.63,25.05,15.54,147.94,123.24,16.95,353.13,20.55,11.05,144.07,119.37,10.85,353.62,328.92,166.63,20.42,67.45,140.09,144.82,101.95,137.16,199.85,206,189.33,207.27,319.74,6.09,356.2,9.38,3.74,212.49,263.45,269.6,252.93,270.87,326.74,13.08,3.2,16.24,10.59,245.57,315.93,2.27,352.39,4.01,358.36,207.14,234.23,228.59,14.35,6.46
98,23.85,174.83,201.59,169.55,152.26,208.28,232.1,204.6,196.19,356.21,23.83,14.27,160.97,136.78,14.06,335.44,359.26,331.76,323.35,357.42,25.05,15.49,144.29,120.1,16.86,352.96,20.58,11.03,142.78,118.59,10.8,353.63,329.44,166.53,20.52,66.93,139.57,144.3,102.68,136.65,203.78,209.93,192.81,211.2,320.23,6.88,356.69,10.31,4.18,215.76,263.45,269.6,252.48,270.88,326.74,13.39,3.19,16.71,10.58,245.57,315.93,2.58,352.38,4.48,358.35,208.84,234.7,228.57,15.29,7.24
99,28.99,169.73,203.63,164.45,147.48,203.56,235.46,200.01,192.58,354.75,22.56,12.74,155.97,132.91,12.21,326.44,358.33,322.88,315.45,357.23,25.05,15.22,137.05,113.99,16.48,351.54,19.35,9.52,133.36,110.29,9.06,353.72,330.65,166.15,20.25,52.04,124.68,129.41,87.79,121.68,196.66,202.81,185.69,204.08,318.41,5.06,354.93,8.15,2.04,211.63,263.45,269.6,252.48,270.87,326.74,13.39,3.26,16.71,10.6,245.63,315.93,2.58,352.45,4.48,358.37,208.9,234.7,228.59,15.35,7.3
100,26.99,165.49,210.84,160.21,143.66,199,235.04,195.6,189.48,353.49,21.33,10.92,151.8,130.29,9.95,324.93,0.97,321.53,315.41,357.2,25.05,14.64,125.73,104.22,15.7,350.78,18.63,8.22,128.62,107.11,7.4,353.88,332.37,165.37,19.34,42.41,115.05,119.78,156.15,112.19,182.83,188.98,216.4,190.52,316.31,227.47,352.64,218.89,359.38,6.36,263.45,269.6,297.03,271.15,326.74,237.89,3.07,229.79,10.28,8,315.93,227.08,352.26,217.56,358.04,4.71,87.78,228.27,351.21,354.58
