,Angle (degrees) Ear_left_1-Ear_right_1-Nose_1,Angle (degrees) Ear_left_1-Ear_right_1-Center_1,Angle (degrees) Ear_left_1-Ear_right_1-Lat_left_1,Angle (degrees) Ear_left_1-Ear_right_1-Lat_right_1,Angle (degrees) Ear_left_1-Ear_right_1-Tail_base_1,Angle (degrees) Ear_left_1-Nose_1-Center_1,Angle (degrees) Ear_left_1-Nose_1-Lat_left_1,Angle (degrees) Ear_left_1-Nose_1-Lat_right_1,Angle (degrees) Ear_left_1-Nose_1-Tail_base_1,Angle (degrees) Ear_left_1-Center_1-Lat_left_1,Angle (degrees) Ear_left_1-Center_1-Lat_right_1,Angle (degrees) Ear_left_1-Center_1-Tail_base_1,Angle (degrees) Ear_left_1-Lat_left_1-Lat_right_1,Angle (degrees) Ear_left_1-Lat_left_1-Tail_base_1,Angle (degrees) Ear_left_1-Lat_right_1-Tail_base_1,Angle (degrees) Ear_right_1-Nose_1-Center_1,Angle (degrees) Ear_right_1-Nose_1-Lat_left_1,Angle (degrees) Ear_right_1-Nose_1-Lat_right_1,Angle (degrees) Ear_right_1-Nose_1-Tail_base_1,Angle (degrees) Ear_right_1-Center_1-Lat_left_1,Angle (degrees) Ear_right_1-Center_1-Lat_right_1,Angle (degrees) Ear_right_1-Center_1-Tail_base_1,Angle (degrees) Ear_right_1-Lat_left_1-Lat_right_1,Angle (degrees) Ear_right_1-Lat_left_1-Tail_base_1,Angle (degrees) Ear_right_1-Lat_right_1-Tail_base_1,Angle (degrees) Nose_1-Center_1-Lat_left_1,Angle (degrees) Nose_1-Center_1-Lat_right_1,Angle (degrees) Nose_1-Center_1-Tail_base_1,Angle (degrees) Nose_1-Lat_left_1-Lat_right_1,Angle (degrees) Nose_1-Lat_left_1-Tail_base_1,Angle (degrees) Nose_1-Lat_right_1-Tail_base_1,Angle (degrees) Center_1-Lat_left_1-Lat_right_1,Angle (degrees) Center_1-Lat_left_1-Tail_base_1,Angle (degrees) Center_1-Lat_right_1-Tail_base_1,Angle (degrees) Lat_left_1-Lat_right_1-Tail_base_1,Angle (degrees) Ear_left_2-Ear_right_2-Nose_2,Angle (degrees) Ear_left_2-Ear_right_2-Center_2,Angle (degrees) Ear_left_2-Ear_right_2-Lat_left_2,Angle (degrees) Ear_left_2-Ear_right_2-Lat_right_2,Angle (degrees) Ear_left_2-Ear_right_2-Tail_base_2,Angle (degrees) Ear_left_2-Nose_2-Center_2,Angle (degrees) Ear_left_2-Nose_2-Lat_left_2,Angle (degrees) Ear_left_2-Nose_2-Lat_right_2,Angle (degrees) Ear_left_2-Nose_2-Tail_base_2,Angle (degrees) Ear_left_2-Center_2-Lat_left_2,Angle (degrees) Ear_left_2-Center_2-Lat_right_2,Angle (degrees) Ear_left_2-Center_2-Tail_base_2,Angle (degrees) Ear_left_2-Lat_left_2-Lat_right_2,Angle (degrees) Ear_left_2-Lat_left_2-Tail_base_2,Angle (degrees) Ear_left_2-Lat_right_2-Tail_base_2,Angle (degrees) Ear_right_2-Nose_2-Center_2,Angle (degrees) Ear_right_2-Nose_2-Lat_left_2,Angle (degrees) Ear_right_2-Nose_2-Lat_right_2,Angle (degrees) Ear_right_2-Nose_2-Tail_base_2,Angle (degrees) Ear_right_2-Center_2-Lat_left_2,Angle (degrees) Ear_right_2-Center_2-Lat_right_2,Angle (degrees) Ear_right_2-Center_2-Tail_base_2,Angle (degrees) Ear_right_2-Lat_left_2-Lat_right_2,Angle (degrees) Ear_right_2-Lat_left_2-Tail_base_2,Angle (degrees) Ear_right_2-Lat_right_2-Tail_base_2,Angle (degrees) Nose_2-Center_2-Lat_left_2,Angle (degrees) Nose_2-Center_2-Lat_right_2,Angle (degrees) Nose_2-Center_2-Tail_base_2,Angle (degrees) Nose_2-Lat_left_2-Lat_right_2,Angle (degrees) Nose_2-Lat_left_2-Tail_base_2,Angle (degrees) Nose_2-Lat_right_2-Tail_base_2,Angle (degrees) Center_2-Lat_left_2-Lat_right_2,Angle (degrees) Center_2-Lat_left_2-Tail_base_2,Angle (degrees) Center_2-Lat_right_2-Tail_base_2,Angle (degrees) Lat_left_2-Lat_right_2-Tail_base_2
0,65.57,145.78,173.03,121.04,100.16,236.12,255.69,207.5,151.92,281.34,89.67,114.45,80.43,99.41,132.56,301,320.57,272.38,216.8,297.59,105.92,130.7,83.96,102.93,156.69,256.79,65.13,89.91,50.85,69.83,119.77,353.62,12.6,206.02,200.74,65.99,118.8,150.77,97,140.38,217.89,238.54,182.39,208.12,252.95,76.43,185.58,58.84,147.1,217.38,284.5,305.16,249.01,274.74,283.73,107.21,216.36,73.37,161.63,253.94,232.04,55.52,164.67,32.99,121.25,215.95,1.61,89.87,304.94,306.81
1,65.71,139.67,172.99,120.31,99.93,239.17,259.17,208.22,152.75,272.89,108.33,116.87,84.64,99.48,133.11,302.85,322.85,271.9,216.43,293.47,128.91,137.45,88.35,103.18,157.24,244.58,80.02,88.56,52.77,67.61,119.95,8.2,23.03,188.98,196.22,64.95,123.88,158.96,98.39,148.3,215.17,240.32,177.71,210.92,263.68,73.47,191.79,61.3,151.36,224.54,286.03,311.18,248.57,281.78,292.24,102.03,220.34,72.27,162.33,260.98,245.13,54.93,173.24,35.09,125.15,225.86,355.11,85.17,313.47,308.15
2,65.03,139.72,172.74,119.43,99.44,239.72,260.78,208.27,153.48,278.01,106.56,116.64,85.94,99.23,133.64,302.87,323.93,271.42,216.63,298.23,126.77,136.85,89.81,103.09,157.67,250.05,78.59,88.67,53.59,66.87,120.65,4.6,17.88,190.6,194.54,72.53,130.6,166.54,109.39,151.23,221.39,251.3,189.31,216.52,278.01,85.26,193.23,71.98,149.15,225.13,281.2,311.11,249.12,276.33,300.03,107.28,215.25,78.49,155.66,252.42,256.9,64.15,172.12,41.39,118.55,220.16,354.4,71.57,303.93,296.77
3,62.06,135.24,168.85,120.23,97.47,239.67,260.92,213.4,154.05,277.41,114.4,116.93,88.83,99.09,130.54,303.39,324.64,277.12,217.77,299.99,136.98,139.51,94.85,105.11,154.63,249.78,86.77,89.3,57,67.26,115.69,8.47,18.73,182.64,191.17,60.39,124.45,157.56,101.28,140.05,226.46,248.39,193.96,218.23,256.55,83.83,185.42,59.99,139.23,223.62,285.08,307.01,252.58,276.85,278.25,105.53,207.12,68.45,147.69,249.12,237.22,64.5,166.09,38.6,117.85,217.43,3.32,82.56,300.42,304.39
4,61.24,135.79,167.98,119.88,97.5,239.16,260.19,213.05,154.34,278.98,111.75,116.75,88.9,99.5,130.8,303.51,324.54,277.4,218.69,301.12,133.89,138.89,95.39,105.99,155.03,252.16,84.92,89.93,57.59,68.18,116.26,6.45,17.05,185.23,191.54,82.85,147.92,179.63,124.19,162.81,253.19,275.32,222.39,246.4,270.42,90.66,198.49,66.94,148.14,236.4,283.62,305.75,252.82,276.83,278.64,98.88,206.71,67.03,148.23,248.44,240.09,60.33,168.16,38.07,119.26,216.95,0.11,81.3,305.83,305.96
5,62.64,141.79,170.53,121.96,99.83,238.26,259,211.58,154.19,286.22,102.92,115.97,89.44,100.56,131.58,303.69,324.44,277.01,219.62,305.07,121.76,134.82,94.57,105.69,155.27,260.52,77.21,90.27,58.02,69.15,117.57,358.25,9.37,193.68,192.13,95.92,159.93,194.51,137.21,174.65,258.51,284.97,229.55,251.96,283.63,92.66,202.07,71.98,148.32,237.82,281.87,308.33,252.91,275.32,288.04,97.07,206.48,68.76,145.1,245.96,250.19,59.22,168.63,39.03,115.36,214.35,355.29,71.63,306.17,299.9
6,64.02,140.18,172.91,124.47,101.83,236.75,257.27,210.12,153.26,276.19,115.74,118.16,90.4,101.4,131.57,303.71,324.24,277.09,220.23,296.91,136.46,138.88,94.27,105.27,154.7,249.36,88.9,91.32,58.93,69.93,118.07,10.09,21.09,182.53,191.99,65.15,129.04,165.6,106.84,142.76,254.21,282.43,225.96,246.59,279.6,86.63,193.86,65.18,137.67,230.77,281.68,309.9,253.43,274.06,290.35,97.38,204.61,68.45,140.95,243.5,252.56,59.59,166.82,39,111.5,211.77,354.66,67.16,303.93,296.29
7,64.15,142.88,173.44,125.22,102.06,233.54,255.49,208.46,151.89,284.43,107.57,117.31,90.58,101.35,131.12,301.92,323.86,276.83,220.26,303.16,126.3,136.03,94.18,104.95,154.13,259.97,83.11,92.84,59.6,70.38,118.37,1.58,12.35,190.17,191.73,41.4,107.34,141.66,84.34,119.37,227.77,253.39,199.01,219.15,262.77,73.95,178.87,55.02,127.7,218.05,283.16,308.78,254.4,274.54,285.85,97.03,201.95,67.72,140.39,243.12,248.62,59.8,164.72,39.2,111.87,211.66,356.2,68.87,303.1,298.08
8,64.31,144.58,173.06,124.74,101.62,233.37,256.12,208.54,152.46,291.86,99.28,116.61,90.29,101.17,131.57,300.51,323.25,275.68,219.59,308.83,116.24,133.58,94.03,104.9,154.19,268.59,76,93.34,59.52,70.4,118.94,353.68,4.55,198.11,191.84,48.93,98.54,135.13,75.62,109.26,206.94,239.88,168.38,193.16,267.56,72.79,168.95,56.12,119.77,211.64,271.3,304.24,232.73,257.52,298.04,103.28,199.43,74.89,138.55,242.86,256.35,61.59,157.74,36.85,100.5,216.82,353.44,57.09,296.67,288.46
9,65.52,145.26,173.23,124.66,157.38,235.38,258.26,209.84,223.82,293.6,98.06,183.84,90.28,153.62,216.83,299.7,322.58,274.16,288.14,309.7,114.17,199.94,93.83,157.17,238.7,269.74,74.2,159.98,58.96,122.3,203.67,352.1,55.44,283.93,276.29,49.31,103.56,141.86,81.43,114.13,211.36,246.26,173.89,195.9,277.27,79.79,167.8,63.81,120.76,211.72,278.41,313.31,240.94,262.95,308.29,110.82,198.83,82.07,139.02,243.19,264.13,66.66,154.67,41.31,98.27,214.38,352.08,49.03,290.24,280.69
10,68.1,146.82,174.92,126.23,159.44,237.19,259.9,210.98,225.38,293.12,100.04,185.15,91.02,155.08,218.08,299.38,322.09,273.17,287.57,308.5,115.42,200.53,93.67,157.73,239.18,267.83,74.75,159.86,58.4,122.45,204.13,353.28,57.33,283.17,276.81,45.76,97.93,135.29,76.58,109.81,208.82,243.37,170.69,193.39,274.85,78.93,167.01,62.37,120.14,211.19,278.44,312.99,240.31,263.01,309.06,113.14,201.21,84.43,142.2,244.71,262.78,66.86,154.93,40.97,98.74,215.22,352.73,50.51,290.23,281.57
11,70.15,148.01,175.7,127.84,160.74,237.84,260.41,212,226.14,293.25,100.79,186.04,91.69,156.13,218.28,298.55,321.12,272.71,286.85,307.98,115.51,200.77,93.91,158.34,238.69,267.28,74.81,160.07,58.34,122.78,203.66,353.63,58.07,283.01,276.91,54.52,104.98,140.22,82.98,117.68,232.19,264.45,194.36,219.64,279.75,85.04,181.21,65.97,129.97,224.76,274.5,306.76,236.67,261.95,301.89,107.18,203.35,79.96,143.96,246.53,257.86,63.15,159.32,38.91,102.91,218.33,353.3,57.3,297.35,289.33
12,66.99,146.98,174.48,126.64,159.78,237.95,260.22,213.34,226.64,294.28,97.97,185.64,91.03,155.86,217.41,300.7,322.96,276.08,289.38,309.67,113.36,201.04,93.94,158.77,238.83,268.96,72.66,160.33,58.47,123.3,202.4,351.77,56.6,285.13,277.05,74.66,140.8,195.14,114.78,165.75,257.28,289.71,218.28,246.61,297.43,96.89,201.72,79.85,148.42,242.44,303.46,335.88,264.45,292.78,315.35,114.81,219.64,71.62,140.19,265.67,258.03,57.5,162.32,36.21,104.78,221.35,350.61,59.18,304.84,293.7
13,64.24,146.2,174.31,123.7,159.66,240.72,261.68,214.74,228.97,290.84,94.65,185.61,87.36,155.8,219.16,304.13,325.1,278.15,292.39,306.98,110.79,201.75,90.38,158.82,242.2,264.8,68.62,159.57,55.35,123.79,203.5,351.51,59.95,288.91,281.21,66.58,136.77,207.3,119.17,179.84,246.23,285.98,213.95,252.42,296.93,113.78,221.72,82.31,158.75,253.7,303.59,343.33,271.3,309.78,318.3,135.15,243.09,66.53,142.97,276.65,264.9,81.75,189.69,43.91,120.35,237.93,358.76,75.2,303.9,301.99
14,65.56,147.35,177.22,120.51,163.65,244.11,265.29,214.72,234.11,290.16,88.2,190.5,82.55,158.84,226.77,305.36,326.53,275.97,295.35,305.83,103.88,206.18,84.03,160.32,251.25,262.26,60.31,162.6,49.15,125.44,210.24,348.06,64.35,300.54,290.52,87.07,149.06,220.49,119.6,195.59,262.49,297.93,218.93,265.23,300.27,94.07,232.4,75.98,167.77,264.17,305.48,340.92,261.92,308.22,315.58,109.38,247.71,53.32,145.11,288.12,252.09,45.88,184.21,25.81,117.6,238.72,349.17,80.96,329.28,313.91
15,68.73,145.44,179.36,119.01,168.56,243.82,266.95,211.19,237.13,289.1,91.89,198.97,82.9,164.1,234.78,304.14,327.27,271.52,297.45,306.34,109.13,216.21,83.26,164.45,260.2,258.91,61.7,168.78,46.62,127.81,218.96,350.83,72.03,304.63,296.59,104.21,153.51,224.27,126.63,204.33,272.94,303.47,222.64,270.59,301.42,101.35,240.41,80.3,175.85,269.84,306.31,336.85,256.02,303.97,314.57,114.5,253.56,55.65,151.2,290.98,237.56,37.5,176.55,18.86,114.41,237.39,351.83,87.38,329.59,317.69
16,73.62,141.83,190.76,115.06,172.13,244.58,272.34,204.08,239.56,283,95.15,206.35,76.23,158.53,243.92,302.55,330.31,262.05,297.54,302.96,115.12,226.32,70.25,152.55,271.08,248.62,60.77,171.97,37.08,119.37,230.47,356.22,78.51,309.2,305.14,111.38,153.33,214.05,127.61,200.78,279.55,304.08,227.05,270.03,299.62,101.68,238.88,82.06,178.4,268.58,307.3,331.83,254.81,297.78,312.18,114.23,251.44,63.88,160.23,288.38,226.82,28.88,166.08,14.71,111.05,229.81,352.42,88.77,328.44,318.07
17,65.34,137.64,188.55,105.3,168.5,254.98,277.83,211.86,247.85,274.71,87.22,204.56,66.87,153.58,247.62,311.13,333.97,268.01,304,297.01,109.52,226.86,62.32,149.03,278.02,238.18,50.69,168.03,31.55,118.27,229.97,356.22,82.93,316.16,312.45,114.69,152.71,214.81,133,200.52,281.45,303.24,223.01,267.27,297.58,117.19,237.5,88.04,177.87,267.56,309.19,330.98,250.75,295.01,311.11,130.73,251.04,68.86,158.68,285.62,219.95,39.57,159.88,18,107.83,233.19,359.84,89.67,315.18,314.96
18,61.95,126.98,172.38,97.71,157.07,245.74,274.59,206.61,238.53,288.69,78.98,200.38,70.82,154.41,238.31,303.82,332.68,264.7,296.61,315.34,105.62,227.02,75.31,158.9,272.1,256.54,46.83,168.23,33.07,116.66,223.16,345.38,68.97,317.21,302.11,118.82,155.72,215.8,133.96,201.33,290.85,303.4,227.34,265.85,291.68,117.5,232.36,87.19,178.36,264.74,317.41,329.96,253.89,292.41,304.64,130.46,245.32,67.2,158.37,283.47,204.14,29.95,144.81,14.22,105.39,224.72,2.64,93.81,311.25,314.43
19,68.87,136.73,175.84,102.03,162.31,245.44,266.56,201.05,236.16,271.41,75.94,198.01,63.57,156.74,238.73,302.72,323.83,258.33,293.44,293.18,97.71,219.78,65.72,158.89,271.25,238.33,42.86,164.93,28.85,122.02,226.09,351.64,84.81,318.84,311.73,125.41,160.28,219.72,143.55,205.4,294.45,304.38,223.5,266.32,292.1,133.38,233.87,96.22,180.85,267.68,318.92,328.84,247.96,290.78,302.94,144.21,244.71,73.67,158.3,282.31,198.9,40.17,140.67,19.14,103.76,232.49,10.17,94.79,301.37,312.47
20,68.46,142.07,181.95,103.54,160.7,248.34,273.31,206.02,236.8,287.04,71.2,192.16,66.76,149.89,236.67,304.35,329.33,262.04,292.81,305.43,89.6,210.55,65.71,148.85,268.25,254.68,38.85,159.81,29.88,113.01,221.29,340.17,63.3,320.13,304.13,126.78,156.8,220.07,144.29,205.04,299.73,303.94,221.88,264.94,288.84,140.78,233.79,98.17,180.94,267.11,324.74,328.95,246.89,289.95,302.43,154.36,247.37,74.44,157.21,282.19,187.72,39.65,132.66,18.78,101.55,232.8,15.27,98.04,295.31,311.97
21,71.61,135.5,185.23,115.92,164.35,240.8,271.74,210.99,235.64,283.38,97.11,203.35,75.46,152.14,232.72,296.87,327.81,267.06,291.71,304.89,118.61,224.86,72.72,149.4,258.76,251.91,65.63,171.87,38.53,115.21,216.01,357.56,74.24,300.57,296.74,132.22,160.27,225.66,148.04,209.46,308.53,307.62,233.8,266.54,289.44,143.23,234.24,100.52,184.31,265.3,331.44,330.53,256.7,289.44,301.65,155.44,246.45,72.3,156.09,279.76,178.27,32.05,123.06,15.22,99.01,218.88,16.04,99.83,292.1,309.84
22,76.94,148.73,111.06,123.68,169.96,254.28,164.11,220.07,240.18,124.25,99.6,196.12,355.58,347.57,231.9,306.37,216.2,272.15,292.26,140.11,115.45,211.97,358.83,350.82,255.16,85.53,60.88,157.4,356.75,348.75,209.75,1.05,353.04,294.65,88.95,151.31,187.38,240.88,170.59,227.91,311.69,315.2,254.49,274.75,301.73,148.53,241.41,115.14,198.88,269.69,325.67,329.18,268.47,288.73,297.2,144,236.88,76.96,160.71,274.12,187.6,34.41,127.29,17.35,101.09,204.93,13.26,97,293.32,306.87
23,83.06,157.64,117.19,126.26,175.92,252.74,167.1,223.5,243.72,126.3,76.73,200.57,356.12,348.12,234.94,301.84,216.2,272.6,292.81,136.76,87.2,211.04,359.21,351.21,258.13,89.51,39.94,163.78,357.14,349.13,208.73,1.99,353.99,319.55,87.99,169.9,211.08,257.65,188.87,244.56,325.41,320.6,268.37,282.03,298.06,158.6,246.02,121.04,207.14,275.53,330.44,325.64,273.4,287.07,277.59,138.13,225.55,73.22,159.32,271.19,168.33,28.87,116.29,15.34,101.44,196.77,22.21,108.31,290.86,309.19
24,88.74,161.4,122.86,126.7,180.97,259.02,168.43,219.96,245.56,129.5,87.03,201.42,356.61,348.71,241.16,306.79,216.2,267.73,293.32,139.2,96.72,211.12,359.67,351.77,265,85.07,42.6,156.99,357.59,349.7,215.24,1.93,354.04,313.58,89.17,75.04,156.49,197.72,127.31,205.96,254.28,284.41,222.66,274.99,307.12,89.49,249.07,87.05,201.84,274.99,303.96,334.09,272.33,324.67,317.21,99.59,259.16,77.74,192.53,294.22,274.7,57.08,216.66,46.33,161.12,254.16,341.75,96.55,345.45,326.08
25,92.83,161.04,126.95,125.46,184.1,275.2,168.05,210.68,245.69,132.18,109.19,198.17,356.96,349.24,248.11,323.35,216.2,258.83,293.83,144.66,121.67,210.66,0.14,352.41,273.33,69.52,46.53,135.51,358.06,350.34,227.13,1.39,353.67,296.08,91.7,75.73,170.19,214.18,135.75,220.74,248.39,278.8,215.62,273.1,311.42,87.01,255.44,89.91,210.01,279.07,309.67,340.09,276.9,334.38,316.24,91.82,260.26,69.93,190.03,298.27,281.02,56.61,225.05,48.3,168.4,261.4,337.69,97.79,352.02,329.91
26,83.31,155.78,287.64,123.17,185.44,248.15,303.09,165.56,221.64,304.22,118.5,196,69.32,114.76,254.22,321.4,16.34,238.81,294.88,323.24,137.52,215.02,8.79,54.23,281.24,254.32,68.6,146.09,16.77,62.21,262.29,357.4,42.84,291.11,287.99,77.19,184.92,224.29,151.68,233.13,251.33,278.29,221.8,277.75,314.31,94.76,261.5,97.38,219.65,284,315.71,342.68,286.19,342.13,311.88,92.33,259.07,72.12,194.39,296.5,283.9,64.34,231.09,56.55,178.82,264.81,339.61,101.88,350.93,331.77
27,78.78,137.1,294.74,120.58,185.76,253.8,304.58,155.15,216.23,302.51,123.03,194.81,64.75,107.15,258.47,335.76,26.54,237.11,298.2,340.54,161.06,232.84,3.14,45.54,287.25,243.09,63.61,135.4,12.56,54.96,271.93,0.24,42.64,289.68,289.95,81.58,189.68,228.69,154.39,235.36,250.9,277.1,219.53,274.92,315.29,96.61,260.22,100.02,220.5,283.39,316.47,342.68,285.1,340.49,310.09,91.41,255.02,70.39,190.87,295.71,281.72,63.04,226.65,54.82,175.3,263.42,339.3,99.78,349.01,331.03
28,79.9,41.78,301.12,117.42,185.87,300.46,309.52,149.01,215.97,299.3,130.82,194.92,59.69,99.23,263.59,22.56,31.61,231.1,298.07,71.7,263.22,327.33,358.1,37.64,294.3,191.01,22.54,86.64,7.71,47.24,280.72,5.74,45.28,286.72,292.5,86.2,194.91,233.31,158.66,238.87,254.86,277.73,221.4,274.7,307.88,106.69,256.82,102.53,223.08,282.55,319.81,342.68,286.35,339.65,298.92,97.73,247.86,68.51,189.07,293.69,267.82,66.63,216.76,52.94,173.49,259.8,347.99,108.54,339.71,330.53
29,83.8,21.01,309.94,119.09,188.59,327.32,316.83,148.37,218.39,302.82,137.14,196.53,59.24,96.51,268.85,46.63,36.14,227.68,297.7,95.88,290.2,349.59,354.54,31.81,298.99,166.47,0.78,60.18,4.54,41.81,286.6,7.58,44.85,286.87,293.61,87.8,197.34,234.9,163.22,240.29,257.87,277.01,226.17,273.93,296.64,116.19,253.9,103.59,225.03,279.24,323.53,342.68,291.84,339.59,285.22,104.77,242.48,67.41,188.85,288.75,251.23,70.78,208.49,51.83,173.28,252.33,359.74,121.19,329.85,329.66
30,98.06,35.28,324.2,155.32,206.89,349.57,339.08,207.31,241.19,329.21,187.93,225.99,37.62,72.45,242.83,46.63,36.14,264.38,298.25,95.88,314.6,352.66,4.35,39.18,254.6,166.47,25.19,63.25,14.35,49.18,227.49,17.39,52.22,240.05,261.38,87.89,198.99,234.99,160.45,240.63,259.66,275.73,225.72,272.97,287.69,114.17,252.01,99.24,226.43,277.78,326.6,342.68,292.66,339.91,274.45,100.93,238.77,62.22,189.42,289.56,238.95,65.43,203.27,46.65,173.84,249.45,3.77,130.97,330.08,332.79
31,101.9,39.11,153.71,158.99,211.01,352.49,178.97,208.14,244.29,174.02,192.02,231.2,358.26,350.6,246.98,46.63,233.11,262.28,298.43,295.73,313.72,352.9,359.63,351.97,256.67,6.31,24.3,63.48,358.33,350.67,231.48,358.5,350.84,242.83,82.32,88.95,202.79,236.05,160.55,241.93,261.99,275.79,226.2,273.33,283.8,114.12,251.4,98.74,228.23,278.31,328.87,342.68,293.08,340.22,267.48,97.79,235.08,60.49,189.98,290.35,232.45,62.76,200.05,44.92,174.4,248.88,6.27,135.76,330.32,334.36
32,99.11,36.32,150.92,153.3,208.41,349.19,175.67,201.09,241.07,169.01,184.39,226.34,358.24,350.27,247.82,46.63,233.11,258.53,298.51,295.73,311.11,353.06,359.83,351.86,260.38,6.31,21.7,63.64,358.53,350.56,236.04,358.7,350.73,246.25,82.93,90.52,207,237.63,154.71,243.4,264.74,276.62,225.93,274.13,280.75,103.96,250.75,92.14,229.56,277.66,330.8,342.68,291.99,340.19,261.04,84.25,231.04,52.45,189.87,294.1,226.71,49.92,196.71,36.87,174.29,246.29,2.04,139.46,337.56,338.73
33,93.6,30.81,145.41,151.16,202.91,343.22,169.7,201.75,235.13,160.17,179.47,217.52,357.63,349.88,239.03,46.63,233.11,265.16,298.54,295.73,315.02,353.07,359.63,351.88,253.92,6.31,25.6,63.66,358.33,350.58,226.32,358.5,350.75,239.24,80.03,91.62,208.09,238.72,158.05,244.17,265.33,277.21,229.72,274.48,281.64,104.9,251.22,93.12,230.01,276.52,330.8,342.68,295.19,339.95,261.04,84.3,230.61,52.42,189.31,291.05,226.71,49.97,196.29,36.85,173.74,242.29,2.01,138.91,336.72,337.96
34,61.71,108.84,139.99,85.29,138.51,233.33,261.88,186.01,220.38,284.4,76.78,191.06,71.4,152.35,228.8,296.34,324.89,249.02,283.38,322.49,114.87,229.16,96.96,177.92,270.29,253.28,45.67,159.95,30.36,111.31,224.85,345.63,66.58,311.87,298.63,91.47,207.94,238.57,157.34,243.73,264.97,276.85,228.46,273.89,281.6,104.98,250.76,93.26,229.55,276.5,330.8,342.68,294.3,339.72,261.04,84.42,230.2,52.51,188.8,291.51,226.71,50.09,195.87,36.94,173.23,243.07,2.11,138.39,336.48,337.75
35,53.25,91.22,143.12,80.16,127.41,243.85,250.51,177,205.99,232.8,100.45,170.83,61.38,135.28,217.46,315.38,322.04,248.53,277.52,290.39,158.04,228.42,83.53,157.43,260.84,192.98,60.64,131.01,31.35,105.25,219.23,25.03,98.93,271.74,294.36,90.2,221.42,237.3,156.16,242.4,273.05,275.65,229.96,272.65,252.37,110.02,240.45,90.43,228.61,273.9,340.08,342.68,296.99,339.68,220.07,77.72,208.15,50.53,188.71,290.05,191.22,48.87,179.3,34.96,173.14,239.02,26.33,164.51,327.06,338.37
36,57.58,119.36,151.23,87.15,124.67,248.49,246.92,179.33,201.88,211.8,88.74,151.8,56.19,124.56,211.67,312.48,310.91,243.32,265.87,247.09,124.04,187.1,69.35,137.71,245.78,176.39,53.34,116.39,32.08,100.44,212.02,34.12,102.49,269.53,292.35,33.34,228.27,283.81,147.27,240.46,241.21,273.33,204.84,254.7,308.14,96.56,234.27,92.31,184.64,268.61,5.91,38.03,329.54,19.4,270.4,58.82,196.53,18.59,110.92,292.22,279.42,67.83,205.55,51.02,143.36,256.61,343.73,76.06,332.41,317.09
37,72.96,121.46,147,91.04,117.55,185.64,211.7,142.45,166.28,259.27,56.03,149.61,50.8,115.32,195.96,254.05,280.11,210.85,234.68,282.18,78.93,172.51,63.89,128.41,228.37,256.63,53.38,146.96,37.82,102.34,215.59,347.25,51.77,299.02,288.52,30.57,233.64,281.94,144.92,238.4,238.87,270.79,199.79,249.6,302.72,90.99,228.29,86.08,178.61,263.82,9.73,41.65,330.66,20.46,260.93,49.2,186.5,16.16,108.69,290.05,274.27,62.55,199.84,45.87,138.4,253.74,343.53,76.06,332.12,316.86
38,83.06,114.58,136.49,80.95,106.7,165.99,197.62,114.15,146.79,279.6,44.45,140.65,50.1,113.59,190.91,228.27,259.9,176.43,209.07,303.23,68.07,164.27,67.91,131.39,225.76,286.48,51.32,147.52,41.44,104.92,227.21,326.59,30.08,304.06,282.31,32.58,238.31,279.99,167.82,237.83,243.26,272.58,209.46,250.75,297.8,109.8,224.17,93.36,175.49,262.25,11.28,40.6,337.48,18.77,252.97,64.97,179.34,27.19,109.32,270.79,267.42,79.42,193.79,54,136.13,248.56,355.9,78.03,315.34,311.44
39,91.57,112.75,130.99,75.56,101.92,156.78,186.04,99.87,137.58,287.37,44.22,136.37,50.39,114.1,195.09,211.79,241.05,154.88,192.59,309.14,66,158.14,68.92,132.63,227.02,298.52,55.38,147.52,47.28,111,236.13,318.02,21.74,303.83,282.67,33.3,242.29,281.04,167.75,239.46,244.83,273.63,205.64,250.9,299.48,108.84,222.83,94.1,177.2,265.01,14.08,42.88,334.89,20.15,252.68,62.04,176.03,28.02,111.11,273.35,267.59,76.95,190.94,52.88,135.98,252.92,354.09,77.19,316.77,312.04
40,117.64,127.16,143.39,88.81,38.65,157.83,182.58,100.91,63.02,286.8,44.84,70.23,50.47,58.4,99.53,193.82,218.57,136.91,99.01,301.64,59.69,85.08,62,69.92,125.26,297.33,55.38,80.77,49.17,57.1,139.52,316.59,324.51,207.23,188.68,29.34,242.35,280.96,173.66,239.8,240.22,270.6,200.8,246.46,302.96,107.63,221.95,96.22,178.49,262.8,18.28,48.65,338.86,24.52,257.33,62,176.33,30.25,112.52,267.12,272.06,76.73,191.06,53.22,135.49,252.58,351.54,73.8,316.43,309.56
41,115.51,122.11,139.13,86,33.21,155.61,183.69,98.69,60.8,289.73,43.38,68.77,50.8,55.98,96.76,190.14,218.22,133.23,95.33,305.27,58.92,84.31,63.44,68.62,122.25,301.73,55.38,80.77,48.84,54.02,139.52,315.19,320.37,207.23,185.69,24,240.26,279.31,176.52,238.3,235.04,266.49,196.82,241.71,304.91,104.26,220.2,96.23,177.81,259.5,21.51,52.96,343.29,28.18,261.81,61.16,177.1,31.58,113.16,261.88,276.55,75.91,191.85,53.92,135.5,251.11,348.82,70.4,316.99,307.52
