VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
501_MA142_Gi_Saline_0513,Animal_1,Center,My_circle,circle,LAST ROI ENTRY TIME (S),1180.0666666666666
501_MA142_Gi_Saline_0513,Animal_1,Center,My_circle,circle,MEAN ROI BOUT TIME (S),2.074324324324324
501_MA142_Gi_Saline_0513,Animal_1,Center,My_circle,circle,ROI ENTRIES (COUNTS),74.0
501_MA142_Gi_Saline_0513,Animal_1,Center,My_circle,circle,TOTAL ROI MOVEMENT (CM),535.5049886690614
501_MA142_Gi_Saline_0513,Animal_1,Center,My_circle,circle,TOTAL ROI TIME (S),153.5
501_MA142_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,AVERAGE ROI VELOCITY (CM/S),2.561499825734031
501_MA142_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,FIRST ROI ENTRY TIME (S),61.2
501_MA142_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,LAST ROI ENTRY TIME (S),1205.4666666666667
501_MA142_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,MEAN ROI BOUT TIME (S),1.323076923076923
501_MA142_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,ROI ENTRIES (COUNTS),91.0
501_MA142_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,TOTAL ROI MOVEMENT (CM),222.31641440725122
501_MA142_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,TOTAL ROI TIME (S),120.39999999999999
501_MA142_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,AVERAGE ROI VELOCITY (CM/S),4.392221836979373
501_MA142_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,FIRST ROI ENTRY TIME (S),86.83333333333333
501_MA142_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,LAST ROI ENTRY TIME (S),1054.5666666666666
501_MA142_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,MEAN ROI BOUT TIME (S),1.4411522633744855
501_MA142_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,ROI ENTRIES (COUNTS),81.0
501_MA142_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI MOVEMENT (CM),320.98740248810486
501_MA142_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI TIME (S),116.73333333333333
502_MA141_Gi_CNO_0516,Animal_1,Center,My_circle,circle,AVERAGE ROI VELOCITY (CM/S),2.3547628480901994
502_MA141_Gi_CNO_0516,Animal_1,Center,My_circle,circle,FIRST ROI ENTRY TIME (S),234.73333333333332
502_MA141_Gi_CNO_0516,Animal_1,Center,My_circle,circle,LAST ROI ENTRY TIME (S),915.7
502_MA141_Gi_CNO_0516,Animal_1,Center,My_circle,circle,MEAN ROI BOUT TIME (S),1.5517241379310345
502_MA141_Gi_CNO_0516,Animal_1,Center,My_circle,circle,ROI ENTRIES (COUNTS),29.0
502_MA141_Gi_CNO_0516,Animal_1,Center,My_circle,circle,TOTAL ROI MOVEMENT (CM),66.75887823067747
502_MA141_Gi_CNO_0516,Animal_1,Center,My_circle,circle,TOTAL ROI TIME (S),45.0
502_MA141_Gi_CNO_0516,Animal_1,Center,My_polygon,polygon,AVERAGE ROI VELOCITY (CM/S),1.5984811365349
502_MA141_Gi_CNO_0516,Animal_1,Center,My_polygon,polygon,FIRST ROI ENTRY TIME (S),16.233333333333334
502_MA141_Gi_CNO_0516,Animal_1,Center,My_polygon,polygon,LAST ROI ENTRY TIME (S),1204.3333333333333
502_MA141_Gi_CNO_0516,Animal_1,Center,My_polygon,polygon,MEAN ROI BOUT TIME (S),1.93015873015873
502_MA141_Gi_CNO_0516,Animal_1,Center,My_polygon,polygon,ROI ENTRIES (COUNTS),21.0
502_MA141_Gi_CNO_0516,Animal_1,Center,My_polygon,polygon,TOTAL ROI MOVEMENT (CM),53.883061778681196
502_MA141_Gi_CNO_0516,Animal_1,Center,My_polygon,polygon,TOTAL ROI TIME (S),40.53333333333333
502_MA141_Gi_CNO_0516,Animal_1,Center,My_rectangle,rectangle,AVERAGE ROI VELOCITY (CM/S),2.2840207622343187
502_MA141_Gi_CNO_0516,Animal_1,Center,My_rectangle,rectangle,FIRST ROI ENTRY TIME (S),66.53333333333333
502_MA141_Gi_CNO_0516,Animal_1,Center,My_rectangle,rectangle,LAST ROI ENTRY TIME (S),878.4666666666667
502_MA141_Gi_CNO_0516,Animal_1,Center,My_rectangle,rectangle,MEAN ROI BOUT TIME (S),0.5632478632478632
502_MA141_Gi_CNO_0516,Animal_1,Center,My_rectangle,rectangle,ROI ENTRIES (COUNTS),39.0
502_MA141_Gi_CNO_0516,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI MOVEMENT (CM),38.8122326079214
502_MA141_Gi_CNO_0516,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI TIME (S),21.96666666666667
502_MA141_Gi_Saline_0513,Animal_1,Center,My_circle,circle,AVERAGE ROI VELOCITY (CM/S),2.5052616114008512
502_MA141_Gi_Saline_0513,Animal_1,Center,My_circle,circle,FIRST ROI ENTRY TIME (S),2.2666666666666666
502_MA141_Gi_Saline_0513,Animal_1,Center,My_circle,circle,LAST ROI ENTRY TIME (S),1186.4666666666667
502_MA141_Gi_Saline_0513,Animal_1,Center,My_circle,circle,MEAN ROI BOUT TIME (S),4.537275985663083
502_MA141_Gi_Saline_0513,Animal_1,Center,My_circle,circle,ROI ENTRIES (COUNTS),93.0
502_MA141_Gi_Saline_0513,Animal_1,Center,My_circle,circle,TOTAL ROI MOVEMENT (CM),607.9799998777803
502_MA141_Gi_Saline_0513,Animal_1,Center,My_circle,circle,TOTAL ROI TIME (S),421.9666666666667
502_MA141_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,AVERAGE ROI VELOCITY (CM/S),5.006462571999267
502_MA141_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,FIRST ROI ENTRY TIME (S),301.46666666666664
502_MA141_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,LAST ROI ENTRY TIME (S),886.0333333333333
502_MA141_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,MEAN ROI BOUT TIME (S),0.2833333333333333
502_MA141_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,ROI ENTRIES (COUNTS),2.0
502_MA141_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,TOTAL ROI MOVEMENT (CM),2.267297920883691
502_MA141_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,TOTAL ROI TIME (S),0.5666666666666667
502_MA141_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,AVERAGE ROI VELOCITY (CM/S),3.6528920425210396
502_MA141_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,FIRST ROI ENTRY TIME (S),1.5333333333333334
502_MA141_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,LAST ROI ENTRY TIME (S),863.4333333333333
502_MA141_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,MEAN ROI BOUT TIME (S),6.985185185185185
502_MA141_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,ROI ENTRIES (COUNTS),9.0
502_MA141_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI MOVEMENT (CM),80.9510780161885
502_MA141_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI TIME (S),62.86666666666667
502_MA141_Gi_Saline_0515,Animal_1,Center,My_circle,circle,AVERAGE ROI VELOCITY (CM/S),2.1834523158308397
502_MA141_Gi_Saline_0515,Animal_1,Center,My_circle,circle,FIRST ROI ENTRY TIME (S),120.3
502_MA141_Gi_Saline_0515,Animal_1,Center,My_circle,circle,LAST ROI ENTRY TIME (S),1080.3
502_MA141_Gi_Saline_0515,Animal_1,Center,My_circle,circle,MEAN ROI BOUT TIME (S),4.979166666666667
502_MA141_Gi_Saline_0515,Animal_1,Center,My_circle,circle,ROI ENTRIES (COUNTS),8.0
502_MA141_Gi_Saline_0515,Animal_1,Center,My_circle,circle,TOTAL ROI MOVEMENT (CM),74.40108776267157
502_MA141_Gi_Saline_0515,Animal_1,Center,My_circle,circle,TOTAL ROI TIME (S),39.833333333333336
502_MA141_Gi_Saline_0515,Animal_1,Center,My_polygon,polygon,AVERAGE ROI VELOCITY (CM/S),1.3538618442664643
502_MA141_Gi_Saline_0515,Animal_1,Center,My_polygon,polygon,FIRST ROI ENTRY TIME (S),0.0
502_MA141_Gi_Saline_0515,Animal_1,Center,My_polygon,polygon,LAST ROI ENTRY TIME (S),1207.0
502_MA141_Gi_Saline_0515,Animal_1,Center,My_polygon,polygon,MEAN ROI BOUT TIME (S),3.281326352530541
502_MA141_Gi_Saline_0515,Animal_1,Center,My_polygon,polygon,ROI ENTRIES (COUNTS),191.0
502_MA141_Gi_Saline_0515,Animal_1,Center,My_polygon,polygon,TOTAL ROI MOVEMENT (CM),736.6198770004565
502_MA141_Gi_Saline_0515,Animal_1,Center,My_polygon,polygon,TOTAL ROI TIME (S),626.7333333333333
502_MA141_Gi_Saline_0515,Animal_1,Center,My_rectangle,rectangle,AVERAGE ROI VELOCITY (CM/S),1.4344789476395035
502_MA141_Gi_Saline_0515,Animal_1,Center,My_rectangle,rectangle,FIRST ROI ENTRY TIME (S),1069.8333333333333
502_MA141_Gi_Saline_0515,Animal_1,Center,My_rectangle,rectangle,LAST ROI ENTRY TIME (S),1076.0
502_MA141_Gi_Saline_0515,Animal_1,Center,My_rectangle,rectangle,MEAN ROI BOUT TIME (S),1.7444444444444445
502_MA141_Gi_Saline_0515,Animal_1,Center,My_rectangle,rectangle,ROI ENTRIES (COUNTS),3.0
502_MA141_Gi_Saline_0515,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI MOVEMENT (CM),7.398709526054466
502_MA141_Gi_Saline_0515,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI TIME (S),5.233333333333333
502_MA141_Gi_Saline_0517,Animal_1,Center,My_circle,circle,AVERAGE ROI VELOCITY (CM/S),3.1709406299035727
502_MA141_Gi_Saline_0517,Animal_1,Center,My_circle,circle,FIRST ROI ENTRY TIME (S),386.43333333333334
502_MA141_Gi_Saline_0517,Animal_1,Center,My_circle,circle,LAST ROI ENTRY TIME (S),449.6333333333333
502_MA141_Gi_Saline_0517,Animal_1,Center,My_circle,circle,MEAN ROI BOUT TIME (S),0.3466666666666667
502_MA141_Gi_Saline_0517,Animal_1,Center,My_circle,circle,ROI ENTRIES (COUNTS),5.0
