,Feature_name,Feature_importance
129,Distance_median_7.5  Importance,0.0
130,Distance_mean_7.5    Importance,0.0
131,Distance_sum_7.5     Importance,0.0
132,Distance_median_15   Importance,0.0
133,Distance_mean_15     Importance,0.0
134,Mouse1_width_median_2 Importance,0.0
135,Mouse1_width_mean_2  Importance,0.0
136,Mouse1_width_sum_2   Importance,0.0
137,Mouse1_width_median_5 Importance,0.0
138,Mouse1_width_mean_5  Importance,0.0
139,Mouse1_width_sum_5   Importance,0.0
140,Mouse1_width_median_6 Importance,0.0
141,Mouse1_width_mean_6  Importance,0.0
142,Mouse1_width_sum_6   Importance,0.0
143,Mouse1_width_median_7.5 Importance,0.0
144,Mouse1_width_mean_7.5 Importance,0.0
145,Mouse1_width_sum_7.5 Importance,0.0
146,Mouse1_width_median_15 Importance,0.0
147,Mouse1_width_mean_15 Importance,0.0
148,Mouse1_width_sum_15  Importance,0.0
149,Mouse2_width_median_2 Importance,0.0
150,Mouse2_width_mean_2  Importance,0.0
151,Mouse2_width_sum_2   Importance,0.0
152,Mouse2_width_median_5 Importance,0.0
153,Mouse2_width_mean_5  Importance,0.0
154,Mouse2_width_sum_5   Importance,0.0
155,Mouse2_width_median_6 Importance,0.0
156,Mouse2_width_mean_6  Importance,0.0
157,Mouse2_width_sum_6   Importance,0.0
158,Mouse2_width_median_7.5 Importance,0.0
159,Mouse2_width_mean_7.5 Importance,0.0
160,Mouse2_width_sum_7.5 Importance,0.0
161,Mouse2_width_median_15 Importance,0.0
162,Mouse2_width_mean_15 Importance,0.0
163,Mouse2_width_sum_15  Importance,0.0
164,Mouse1_mean_euclid_distances_median_2 Importance,0.0
165,Mouse1_mean_euclid_distances_mean_2 Importance,0.0
166,Mouse1_mean_euclid_distances_sum_2 Importance,0.0
167,Mouse1_mean_euclid_distances_median_5 Importance,0.0
168,Mouse1_mean_euclid_distances_mean_5 Importance,0.0
169,Mouse1_mean_euclid_distances_sum_5 Importance,0.0
170,Mouse1_mean_euclid_distances_median_6 Importance,0.0
171,Mouse1_mean_euclid_distances_mean_6 Importance,0.0
172,Mouse1_mean_euclid_distances_sum_6 Importance,0.0
173,Mouse1_mean_euclid_distances_median_7.5 Importance,0.0
174,Mouse1_mean_euclid_distances_mean_7.5 Importance,0.0
175,Mouse1_mean_euclid_distances_sum_7.5 Importance,0.0
176,Mouse1_mean_euclid_distances_median_15 Importance,0.0
177,Mouse1_mean_euclid_distances_mean_15 Importance,0.0
178,Mouse1_mean_euclid_distances_sum_15 Importance,0.0
179,Mouse2_mean_euclid_distances_median_2 Importance,0.0
180,Mouse2_mean_euclid_distances_mean_2 Importance,0.0
181,Mouse2_mean_euclid_distances_sum_2 Importance,0.0
182,Mouse2_mean_euclid_distances_median_5 Importance,0.0
183,Mouse2_mean_euclid_distances_mean_5 Importance,0.0
184,Mouse2_mean_euclid_distances_sum_5 Importance,0.0
185,Mouse2_mean_euclid_distances_median_6 Importance,0.0
186,Mouse2_mean_euclid_distances_mean_6 Importance,0.0
187,Mouse2_mean_euclid_distances_sum_6 Importance,0.0
188,Mouse2_mean_euclid_distances_median_7.5 Importance,0.0
189,Mouse2_mean_euclid_distances_mean_7.5 Importance,0.0
190,Mouse2_mean_euclid_distances_sum_7.5 Importance,0.0
191,Mouse2_mean_euclid_distances_median_15 Importance,0.0
192,Mouse2_mean_euclid_distances_mean_15 Importance,0.0
193,Mouse2_mean_euclid_distances_sum_15 Importance,0.0
194,Mouse1_smallest_euclid_distances_median_2 Importance,0.0
195,Mouse1_smallest_euclid_distances_mean_2 Importance,0.0
196,Mouse1_smallest_euclid_distances_sum_2 Importance,0.0
197,Mouse1_smallest_euclid_distances_median_5 Importance,0.0
